Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,6,7,9,11,15,17,20,20,25,34,39,44,48,54,56,59,63,63,64,67,68,68,70,74,77,79,82,86,92,99,106,119,130,141,152,168,175,194,200,211,230,242,253,265,299,311,328,352,363,384,397,420,443,452,472,481,488,508,540,554,575,595,617,633,650,673,695,733,766,798,820,850,894,941,973,1016,1051,1090,1132,1212,1270,1307,1344,1407,1467,1516,1589,1640,1700,1739,1786,1830,1892,1978,2042,2092,2151,2195,2245,2293,2360,2402,2450,2496,2536,2587,2630,2685,2743,2825,2879,2920,2962,3035,3115,3187,3246,3301,3370,3428,3492,3565,3638,3708,3747,3810,3863,3918,3984,4037,4093,4155,4205,4255,4301,4363,4411,4463,4509,4545,4609,4648,4709,4758,4789,4820,4866,4919,4969,5044,5092,5147,5193,5276,5354,5409,5480,5533,5599,5664,5718,5774,5836,5900,5979,6026,6086,6138,6181,6234,6316,6382,6427,6473,6508,6563,6602,6659,6702,6752,6798,6830,6873,6899,6960,7006,7047,7114,7169,7213,7290,7349,7395,7448,7506,7570,7631,7678,7758,7819,7879,7957,8025,8090,8152,8231,8309,8375,8457,8526,8603,8662,8771,8856,8942,9044,9146,9219,9304,9453,9577,9695,9812,9931,10047,10177,10342,10485,10628,10749,10865,10967,11073,11238,11377,11491,11594,11699,11805,11934,12114,12295,12459,12601,12758,12878,13014,13167,13366,13536,13752,13960,14075,14238,14430,14569,14657,14781,14892,14987,15125,15290,15436,15550,15645,15735,15821,15900,15997,16085,16158,16231,16328,16395,16491,16594,16662,16740,16810,16867,16923,16993,17085,17168,17243,17307,17376,17442,17522,17618,17690,17768,17822,17931,18055,18161,18308,18447,18594,18725,18859,18974,19128,19287,19425,19554,19651,19792,19933,20062,20268,20414,20579,20694,20812,20897,20985,21089,21163,21224,21253,21282,21306,21324,21332,21337,21337
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,6,10,13,16,21,26,37,47,62,68,74,90,110,130,154,181,206,243,285,318,371,436,485,538,583,636,689,766,848,958,1037,1126,1198,1286,1364,1436,1528,1606,1699,1818,1896,2000,2071,2143,2240,2334,2425,2515,2586,2698,2857,2987,3081,3191,3289,3400,3509,3653,3751,3897,4016,4137,4265,4372,4557,4671,4791,4954,5093,5248,5407,5561,5666,5783,5917,6024,6133,6252,6358,6451,6579,6739,6871,6997,7108,7260,7394,7523,7680,7844,8004,8132,8278,8403,8532,8734,8873,9024,9142,9298,9509,9648,9781,9958,10099,10283,10436,10569,10697,10878,11069,11272,11405,11555,11676,11853,12007,12167,12365,12491,12645,12774,12896,13031,13158,13315,13437,13565,13687,13811,13969,14082,14189,14275,14397,14507,14598,14727,14823,14920,15025,15165,15287,15383,15515,15629,15734,15818,15912,16020,16130,16258,16362,16457,16541,16647,16735,16834,16945,17053,17145,17236,17336,17436,17530,17655,17748,17842,17954,18069,18179,18292,18439,18573,18672,18771,18888,18967,19072,19175,19250,19332,19408,19479,19546,19600,19664,19763,19827,19919,19993,20069,20168,20244,20319,20387,20452,20544,20629,20715,20818,20895,20990,21074,21172,21276,21356,21478,21568,21630,21703,21804,21927,22029,22173,22260,22351,22449,22552,22659,22753,22871,22992,23095,23208,23311,23414,23525,23609,23696,23791,23879,23969,24069,24234,24346,24432,24532,24647,24757,24856,24937,25041,25153,25243,25364,25483,25625,25815,26026,26234,26461,26697,26988,27216,27473,27763,27998,28214,28436,28662,28913,29171,29494,29826,30049,30289,30543,30831,31103,31453,31742,32014,32312,32572,32810,33058,33337,33597,33780,33998,34230,34455,34708,34886,35057,35206,35401,35626,35879,36094,36340,36479,36648,36886,37193,37475,37773,38090,38341,38574,38790,39004,39193,39433,39634,39813,39981,40152,40347,40493,40661,40821,40969,41111,41223,41326,41452,41581,41665,41777,41844,41892,41920,41945,41968,41983,41988,41988
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,5,6,7,7,8,12,17,22,24,29,35,43,53,57,72,84,102,118,138,158,178,191,197,205,211,223,236,246,254,261,267,272,279,291,296,309,310,322,327,337,345,349,352,355,360,371,386,391,397,403,419,424,432,440,445,456,461,473,484,494,506,515,529,546,553,573,579,592,609,629,643,661,677,693,714,732,742,771,808,838,868,888,922,962,1003,1037,1078,1110,1129,1167,1196,1243,1272,1306,1353,1384,1431,1463,1499,1544,1592,1656,1706,1745,1798,1871,1964,2055,2120,2186,2267,2331,2457,2559,2660,2751,2863,2952,3056,3167,3266,3364,3441,3535,3623,3737,3882,3980,4067,4163,4285,4396,4533,4657,4771,4867,4970,5072,5204,5330,5443,5557,5663,5770,5859,5950,6051,6193,6295,6393,6492,6579,6662,6770,6877,6977,7036,7138,7209,7274,7388,7497,7612,7716,7776,7848,7950,8051,8174,8293,8386,8477,8553,8631,8738,8841,8935,9004,9090,9176,9223,9294,9386,9465,9519,9627,9701,9764,9849,9919,10003,10080,10148,10224,10272,10360,10442,10506,10574,10654,10730,10788,10873,10951,11018,11072,11152,11222,11292,11379,11487,11576,11647,11730,11817,11887,11985,12064,12155,12226,12301,12377,12458,12539,12625,12692,12752,12806,12857,12900,12988,13062,13146,13206,13272,13322,13386,13453,13528,13619,13665,13712,13758,13798,13876,13954,14023,14083,14149,14237,14274,14364,14449,14536,14629,14710,14773,14843,14956,15034,15147,15223,15314,15385,15454,15555,15664,15765,15846,15961,16072,16175,16309,16442,16562,16653,16747,16829,16929,17071,17175,17268,17350,17465,17597,17714,17910,18075,18220,18329,18444,18699,18855,19078,19327,19552,19722,19897,20118,20260,20502,20694,20881,21055,21233,21408,21558,21784,22016,22238,22466,22640,22794,22943,23086,23264,23402,23498,23599,23620,23641,23663,23688,23689,23689
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,4,4,6,6,8,10,10,12,15,16,18,23,29,31,38,42,48,50,54,62,66,73,76,85,91,98,104,110,122,131,144,150,159,174,181,194,200,217,228,250,265,280,301,323,337,344,362,378,407,434,462,476,494,512,535,562,580,599,629,656,683,716,731,774,795,816,835,861,891,917,970,995,1041,1072,1128,1185,1241,1304,1358,1444,1508,1586,1671,1729,1831,1907,1979,2076,2166,2278,2338,2410,2483,2566,2635,2724,2785,2855,2922,2996,3120,3215,3305,3379,3459,3533,3614,3692,3777,3907,4008,4083,4161,4245,4361,4439,4514,4593,4666,4755,4813,4870,4922,4977,5053,5102,5159,5214,5253,5287,5310,5378,5413,5444,5469,5494,5514,5533,5565,5591,5626,5648,5673,5691,5719,5764,5791,5818,5845,5868,5911,5938,5952,5965,5988,6007,6026,6047,6065,6077,6095,6107,6131,6143,6148,6160,6172,6181,6190,6198,6213,6238,6252,6261,6267,6279,6296,6308,6315,6330,6342,6371,6381,6391,6398,6408,6429,6436,6442,6457,6465,6476,6498,6511,6523,6527,6539,6545,6557,6570,6581,6596,6609,6617,6624,6628,6640,6654,6658,6669,6679,6697,6704,6717,6729,6741,6750,6756,6764,6774,6784,6793,6797,6805,6812,6819,6831,6843,6858,6864,6875,6884,6899,6906,6912,6920,6931,6948,6956,6974,6979,6994,7016,7027,7039,7056,7067,7087,7099,7105,7127,7133,7152,7184,7193,7203,7217,7231,7242,7257,7276,7295,7318,7339,7354,7363,7381,7398,7415,7429,7447,7459,7485,7499,7514,7518,7532,7552,7570,7587,7604,7623,7642,7669,7703,7718,7744,7764,7790,7813,7833,7860,7888,7925,7946,7960,7975,7997,8024,8044,8067,8091,8109,8125,8147,8169,8177,8195,8210,8220,8229,8234,8237,8237,8237,8237,8237,8237
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,5,7,10,14,15,19,19,22,26,27,29,31,33,35,39,42,44,46,51,55,56,58,63,65,73,79,88,101,108,116,124,143,148,164,179,190,209,222,237,256,279,305,332,363,387,416,451,473,501,547,606,666,723,782,844,906,983,1067,1123,1240,1322,1415,1514,1613,1750,1850,1981,2095,2186,2304,2422,2523,2625,2759,2852,2935,3031,3153,3272,3371,3462,3529,3639,3711,3802,3898,3976,4083,4149,4201,4254,4332,4412,4473,4546,4614,4665,4713,4772,4815,4868,4923,4973,5011,5061,5094,5132,5187,5205,5250,5283,5331,5424,5453,5494,5554,5581,5644,5684,5717,5755,5782,5821,5849,5884,5907,5934,5957,5986,6000,6022,6052,6082,6117,6169,6191,6216,6235,6257,6290,6306,6331,6348,6361,6374,6393,6412,6434,6478,6496,6509,6517,6533,6550,6569,6580,6584,6590,6599,6611,6620,6641,6652,6665,6681,6690,6701,6726,6741,6751,6763,6776,6788,6793,6806,6818,6827,6832,6842,6854,6866,6877,6888,6904,6918,6935,6945,6953,6959,6978,6989,6994,7001,7010,7020,7028,7039,7048,7055,7059,7065,7075,7081,7088,7101,7105,7114,7119,7127,7131,7137,7142,7148,7155,7157,7165,7174,7179,7184,7186,7187,7193,7195,7195,7198,7202,7206,7209,7209,7217,7221,7227,7239,7246,7251,7262,7266,7274,7279,7297,7306,7317,7323,7329,7334,7348,7355,7363,7368,7373,7377,7393,7406,7421,7433,7439,7464,7474,7494,7508,7527,7544,7573,7584,7603,7628,7641,7660,7681,7710,7727,7745,7762,7788,7812,7839,7855,7867,7872,7884,7905,7933,7953,7971,7989,8008,8041,8076,8121,8156,8191,8231,8271,8321,8353,8398,8448,8483,8525,8564,8590,8632,8663,8686,8716,8740,8760,8778,8809,8840,8853,8863,8867,8874,8879,8881,8884,8887,8888,8889,8889
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,8,10,14,17,18,20,24,29,35,37,46,53,58,68,77,92,108,118,126,141,156,173,196,221,246,267,288,310,346,384,436,487,527,596,635,695,748,813,882,921,982,1034,1090,1157,1245,1317,1371,1439,1506,1568,1633,1701,1773,1869,1946,2003,2072,2148,2231,2302,2366,2459,2539,2640,2712,2776,2842,2898,2971,3028,3095,3168,3237,3287,3339,3418,3473,3527,3570,3638,3696,3743,3805,3852,3923,3971,4022,4076,4129,4200,4257,4296,4337,4390,4481,4525,4592,4640,4688,4767,4837,4901,4976,5063,5149,5266,5346,5431,5503,5586,5694,5775,5867,5940,6073,6151,6232,6346,6423,6550,6631,6742,6829,6917,7070,7164,7265,7325,7433,7525,7631,7735,7816,7892,7988,8077,8183,8273,8382,8452,8550,8629,8730,8820,8888,9023,9130,9215,9295,9380,9552,9626,9743,9842,9926,10081,10179,10264,10354,10469,10582,10701,10790,10909,10992,11095,11205,11370,11458,11555,11640,11759,11831,11943,12021,12105,12229,12327,12400,12477,12606,12729,12813,12939,13073,13185,13367,13526,13639,13740,13861,14053,14173,14349,14593,14787,15000,15382,15675,15937,16214,16702,17071,17471,17865,18363,19099,19523,20247,20826,21352,21985,22552,23134,23620,24362,25037,25455,25953,26457,26797,27276,27906,28280,28670,29016,29466,29775,30267,30640,30913,31201,31533,31835,32106,32377,32620,32926,33127,33327,33518,33714,33948,34180,34360,34573,34837,35178,35349,35485,35641,35788,35915,36034,36144,36240,36320,36444,36574,36651,36730,36810,36909,36988,37077,37155,37226,37331,37415,37501,37577,37662,37737,37802,37857,37921,37984,38063,38111,38171,38230,38300,38375,38441,38511,38594,38651,38713,38792,38912,39010,39107,39216,39339,39399,39483,39568,39645,39752,39836,39907,39982,40057,40155,40232,40294,40393,40457,40531,40597,40662,40727,40777,40823,40851,40871,40885,40900,40908,40913,40913,40915,40915
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,7,9,11,14,18,24,30,30,36,45,52,75,101,126,175,226,273,318,368,432,485,545,633,680,738,820,883,965,1086,1174,1262,1340,1478,1576,1758,1911,2057,2211,2383,2596,2788,3004,3236,3634,3896,4186,4562,4913,5385,5788,6278,6791,7244,8022,8483,8966,9456,10069,10675,11200,11893,12520,13010,13772,14932,15590,16299,17252,18163,18986,19852,20859,21708,22944,24019,24970,25866,26696,28036,29015,29916,31311,32224,33770,34636,35702,36592,37401,38774,39735,40658,41731,42695,43659,44534,46217,47215,48134,49103,50312,51321,52089,53171,54014,55326,56200,57187,57990,58662,59947,60861,61597,62569,63474,64780,65432,66308,67114,67892,68898,70029,70717,71609,72596,73619,75020,75962,76947,77686,78542,79485,80401,81292,82153,83663,84439,85246,86451,87395,88815,89801,90986,92009,92863,94583,95657,96636,97653,98668,99778,100571,101773,102746,103644,104592,105442,106827,107557,108564,109434,110485,111304,112350,113200,113824,115322,116285,117227,118092,119155,120303,121076,122207,123419,124356,126203,127347,128269,129065,130310,131680,132747,133894,135431,136338,137344,138608,140583,141821,142925,144040,145149,145881,147027,148197,149325,150739,151711,152476,153111,154210,155480,156268,157309,158533,159535,160884,162026,163057,164062,165050,166306,167201,168051,169216,170401,171479,173145,174120,174988,175761,177165,178275,179511,180653,181756,183600,184596,186091,187400,188659,190373,191943,193205,194511,196381,198868,200437,202026,203677,204948,206483,208435,210090,211814,213238,214940,216059,218199,219871,221916,223562,225471,227313,228921,230317,232684,235160,237126,238869,240608,242129,244088,245942,248187,250484,252498,256163,258372,260492,263637,266374,269651,272363,275470,278742,281345,286289,292049,296354,300534,304908,309474,312740,318180,322957,327806,333472,338531,343251,346804,352587,358207,362974,367461,372694,376746,381072,385684,389827,393820,398086,401862,405709,409489,415033,419085,423337,428180,433691,438340,443315,450714,457201,462719,468467,474204,479843,485731,492538,498443,503864,509124,515033,519556,523012,528829,533536,539063,543130,547126,550305,552866,557134,560535,563144,565410,567086,568154,568617,569007,569730,569731
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,7,11,13,18,24,27,37,44,53,67,87,101,116,139,151,169,180,192,208,213,229,244,256,266,280,290,300,316,327,344,357,367,380,385,402,416,426,439,450,465,478,489,503,515,537,562,582,590,605,636,662,684,709,736,754,785,812,839,872,919,972,1018,1086,1128,1174,1232,1282,1356,1399,1463,1528,1570,1652,1748,1797,1843,1956,2026,2111,2196,2291,2414,2501,2637,2773,2895,3003,3129,3253,3408,3606,3787,3971,4178,4368,4565,4796,5090,5295,5521,5721,6050,6252,6479,6792,7100,7363,7662,7921,8164,8366,8761,9075,9321,9574,9994,10187,10439,10770,11032,11364,11599,11861,12137,12339,12760,13038,13246,13523,13785,14276,14481,14873,15083,15372,15597,15788,16225,16536,16820,17050,17436,17704,17989,18186,18396,18769,18983,19245,19580,19871,20169,20397,20668,20987,21208,21524,21745,21946,22153,22420,22648,22829,22978,23142,23299,23440,23630,23814,23985,24135,24275,24423,24570,24710,24847,24961,25086,25178,25261,25363,25528,25664,25767,25893,26047,26189,26371,26523,26644,26802,26963,27156,27287,27463,27683,27871,28076,28305,28484,28700,28897,29154,29361,29569,29787,30039,30359,30554,30805,31062,31287,31593,31882,32120,32422,32795,33264,33548,33821,34068,34278,34572,34878,35123,35375,35642,35921,36131,36535,36896,37192,37481,37815,38162,38453,38748,39113,39524,39829,40111,40367,40607,40899,41170,41455,41707,41949,42359,42541,42768,43075,43344,43635,43924,44149,44327,44533,44822,45186,45375,45594,45801,46006,46207,46470,46691,46917,47260,47476,47713,47948,48258,48548,48759,48964,49214,49398,49663,49936,50124,50326,50557,50789,51008,51268,51570,51823,52075,52340,52776,53112,53437,53856,54264,54532,54836,55159,55418,55730,56057,56410,56691,56998,57372,57637,57923,58273,58578,58930,59184,59414,59604,59827,60052,60215,60341,60448,60528,60569,60608,60620,60631,60631
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,6,7,7,7,7,7,7,7,7,8,8,8,8,8,10,13,13,13,15,15,21,22,22,23,24,24,26,27,28,28,31,31,33,35,37,39,40,42,42,45,49,55,58,60,67,76,82,87,92,100,105,114,118,131,136,144,150,153,160,164,169,181,186,197,210,229,241,250,259,271,282,300,316,331,341,353,372,387,407,430,452,460,482,508,534,562,585,599,617,634,662,695,712,739,768,797,821,850,878,915,965,1008,1035,1077,1134,1178,1233,1303,1362,1414,1464,1521,1586,1653,1733,1791,1846,1895,1949,2015,2071,2125,2185,2208,2249,2323,2398,2462,2521,2574,2619,2667,2737,2800,2894,2991,3036,3086,3138,3214,3292,3360,3445,3513,3564,3621,3694,3774,3818,3880,3931,3981,4028,4091,4144,4177,4227,4269,4289,4329,4375,4427,4460,4503,4536,4568,4604,4649,4687,4729,4801,4849,4884,4937,4989,5058,5123,5184,5226,5256,5295,5366,5435,5491,5567,5616,5656,5710,5760,5820,5862,5916,5963,6015,6073,6120,6177,6221,6279,6311,6347,6402,6447,6478,6513,6546,6577,6608,6645,6686,6722,6755,6793,6814,6846,6869,6885,6909,6943,6971,6993,7011,7030,7057,7085,7105,7124,7138,7147,7163,7180,7200,7223,7245,7261,7277,7300,7322,7341,7361,7388,7405,7421,7441,7458,7479,7501,7526,7551,7566,7589,7606,7622,7635,7658,7681,7702,7716,7731,7753,7775,7791,7817,7834,7861,7893,7921,7950,7973,7994,8017,8055,8086,8128,8160,8197,8229,8256,8293,8339,8374,8422,8487,8541,8612,8681,8734,8788,8849,8918,8966,9018,9066,9140,9202,9261,9326,9367,9424,9479,9530,9571,9608,9650,9673,9700,9711,9715,9719,9722,9722,9722,9722
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,6,7,7,7,7,9,10,11,11,11,12,13,14,14,14,15,17,17,17,18,18,20,20,24,28,29,32,38,38,40,40,42,43,48,51,57,62,69,73,83,86,90,91,93,103,109,115,122,130,139,150,158,167,171,177,184,192,201,214,226,233,244,264,282,295,312,331,357,382,406,436,473,504,541,578,651,686,733,792,856,916,966,1021,1069,1127,1185,1229,1278,1348,1400,1441,1502,1552,1609,1670,1710,1797,1885,1954,2008,2091,2174,2249,2307,2365,2444,2488,2537,2589,2640,2735,2809,2860,2930,3019,3081,3133,3195,3279,3379,3434,3496,3575,3640,3769,3860,3914,3963,4040,4105,4177,4253,4334,4394,4475,4543,4630,4710,4804,4868,4938,4980,5046,5129,5200,5306,5397,5473,5532,5623,5705,5767,5865,5970,6051,6179,6248,6321,6403,6481,6583,6705,6785,6877,6963,7073,7205,7333,7415,7479,7580,7659,7754,7823,7914,7982,8050,8126,8188,8239,8318,8393,8472,8554,8637,8721,8839,8918,8997,9086,9158,9258,9336,9410,9548,9620,9711,9834,9988,10107,10241,10445,10590,10764,10913,11094,11359,11505,11767,11955,12129,12347,12562,12740,13006,13317,13682,13919,14165,14421,14629,14905,15222,15488,15733,15913,16190,16409,16693,16962,17155,17405,17582,17810,17967,18178,18459,18788,19031,19249,19385,19551,19794,20076,20347,20620,20778,21061,21211,21420,21634,21833,22028,22202,22382,22584,22745,22983,23150,23273,23379,23482,23576,23675,23815,23950,24064,24189,24285,24379,24479,24622,24748,24851,24924,25008,25095,25212,25299,25351,25398,25481,25560,25650,25732,25848,25917,26001,26075,26197,26311,26409,26570,26705,26831,26920,27054,27161,27331,27448,27547,27643,27724,27871,27972,28068,28179,28277,28376,28444,28524,28597,28673,28752,28798,28839,28864,28877,28884,28888,28889,28898,28898
