Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,6,7,7,8,8,9,9,10,10,13,16,17,17,18,18,18,20,21,22,23,27,27,27,27,29,30,30,34,35,36,41,44,47,49,51,53,56,60,64,67,72,76,80,84,91,94,102,104,107,110,115,119,126,130,134,140,141,143,149,152,161,165,166,170,172,174,177,181,189,193,195,201,207,210,211,214,218,221,226,229,232,234,237,239,243,245,247,255,264,269,273,276,280,283,286,291,294,296,298,304,306,312,319,324,329,332,338,344,349,355,363,369,376,382,386,391,397,400,402,418,425,430,440,446,450,454,463,469,483,489,499,510,516,525,534,541,543,548,554,558,566,571,578,585,593,601,609,622,629,633,641,646,649,655,664,671,676,687,688,691,698,707,712,714,720,723,728,731,738,746,749,755,758,772,777,790,801,812,825,832,842,850,853,858,862,870,877,885,891,907,920,926,936,952,963,973,982,992,1004,1021,1032,1050,1069,1076,1087,1095,1102,1113,1129,1139,1147,1159,1171,1184,1190,1194,1211,1227,1248,1264,1273,1283,1306,1319,1326,1341,1349,1359,1366,1375,1390,1398,1402,1410,1417,1428,1434,1443,1455,1462,1465,1470,1479,1488,1496,1504,1514,1520,1527,1531,1536,1543,1546,1553,1559,1566,1572,1577,1586,1599,1608,1616,1624,1637,1648,1659,1664,1677,1691,1699,1710,1722,1735,1755,1767,1780,1795,1807,1821,1828,1846,1861,1866,1881,1893,1908,1916,1923,1932,1948,1959,1963,1971,1978,1989,1996,1999,2008,2018,2026,2029,2036,2041,2046,2053,2058,2066,2072,2078,2080,2084,2088,2092,2097,2101,2105,2106,2107,2111,2111
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,12,14,19,20,30,35,41,46,53,63,75,84,95,113,124,144,160,177,193,208,225,244,268,286,303,332,353,382,403,425,451,465,495,526,554,579,613,649,678,709,738,775,812,839,870,908,960,994,1035,1056,1082,1111,1143,1180,1213,1243,1280,1298,1331,1360,1392,1421,1446,1475,1499,1537,1566,1597,1615,1644,1666,1698,1724,1754,1777,1795,1822,1845,1868,1882,1901,1922,1946,1968,1992,2017,2037,2054,2082,2113,2135,2160,2187,2215,2250,2292,2322,2345,2368,2399,2425,2450,2468,2488,2497,2521,2546,2565,2589,2613,2630,2651,2673,2689,2717,2733,2758,2779,2795,2818,2833,2848,2865,2888,2918,2932,2944,2957,2977,2985,3002,3023,3029,3041,3061,3076,3092,3122,3141,3153,3165,3177,3191,3204,3221,3232,3242,3251,3265,3274,3296,3311,3328,3345,3354,3368,3381,3389,3410,3421,3437,3446,3455,3467,3474,3493,3504,3516,3528,3540,3553,3563,3569,3580,3591,3610,3620,3625,3637,3648,3655,3666,3672,3678,3684,3691,3703,3716,3720,3728,3737,3745,3753,3769,3776,3786,3793,3804,3811,3822,3832,3843,3854,3863,3878,3885,3903,3919,3929,3943,3951,3958,3972,3993,4015,4025,4041,4056,4071,4081,4098,4111,4126,4139,4152,4167,4177,4191,4203,4217,4234,4264,4287,4309,4337,4363,4387,4408,4447,4476,4500,4530,4566,4603,4630,4668,4704,4737,4776,4801,4845,4887,4933,4969,5003,5044,5085,5141,5179,5229,5291,5342,5389,5446,5497,5546,5598,5652,5706,5754,5811,5866,5911,5953,6012,6048,6089,6137,6190,6246,6293,6334,6376,6422,6456,6495,6540,6576,6618,6651,6685,6729,6764,6807,6851,6880,6902,6939,6972,6999,7026,7043,7073,7100,7122,7146,7176,7198,7213,7233,7254,7266,7288,7309,7332,7353,7368,7377,7389,7399,7415,7426,7438,7441,7452,7459,7474,7482,7492,7503,7510,7513,7519,7525,7531,7537,7542,7547,7552,7558,7564,7568,7570,7570,7570
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,4,4,5,5,5,6,7,8,8,8,9,10,10,10,11,12,14,14,15,15,17,17,18,19,19,19,19,20,20,20,22,22,24,24,25,26,26,26,27,27,28,29,30,30,31,31,32,32,33,33,34,36,36,37,37,37,38,39,41,44,47,47,48,48,49,49,51,53,55,59,63,64,65,66,67,69,69,70,71,72,74,75,78,78,79,84,85,90,94,95,97,99,99,101,104,107,112,119,125,128,132,134,141,143,146,153,157,162,167,174,179,189,195,203,212,225,229,237,243,249,254,262,265,272,281,289,294,308,315,321,330,337,346,356,368,376,384,392,396,403,410,420,423,427,432,440,444,454,460,471,478,481,485,488,489,498,507,510,511,514,519,522,525,525,535,538,543,546,549,552,556,558,561,563,567,571,576,579,581,581,584,589,593,595,599,603,605,607,607,609,610,614,615,618,621,623,627,627,633,634,637,640,643,647,649,649,651,654,657,659,662,665,668,670,670,672,674,675,681,685,686,690,691,694,697,698,699,701,702,703,708,708,711,714,715,715,718,718,723,727,727,728,733,735,738,741,741,742,744,746,748,754,755,757,760,761,762,765,766,774,776,779,783,787,794,799,803,805,810,812,815,816,824,830,836,844,853,858,862,867,874,883,887,894,905,915,922,929,940,949,956,970,973,980,986,996,999,1005,1018,1022,1028,1039,1045,1059,1066,1075,1085,1091,1098,1108,1113,1116,1122,1125,1131,1135,1140,1145,1148,1155,1162,1168,1172,1180,1182,1186,1188,1191,1192,1198,1201,1203,1203,1203,1205,1206,1206,1209,1209,1209,1209
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,4,4,4,5,6,8,8,9,11,13,15,17,18,19,19,22,23,26,30,31,31,33,34,36,38,41,41,44,46,47,52,57,60,62,65,68,72,74,76,77,83,86,92,94,98,101,102,103,105,110,113,116,119,121,128,136,139,140,142,147,154,159,164,167,178,182,187,196,200,205,216,224,231,243,262,276,289,297,311,322,335,346,354,366,386,398,414,434,447,460,473,483,493,510,523,534,551,561,576,584,593,604,615,632,645,654,667,672,683,697,711,730,738,748,760,764,769,776,782,790,795,803,810,821,824,831,835,839,840,844,848,853,855,857,861,863,863,865,876,879,882,884,886,888,890,891,891,893,893,894,897,899,900,902,906,907,909,912,912,914,917,919,922,922,923,924,925,927,928,928,928,929,929,930,931,932,932,933,933,933,933,933,933,933,935,935,935,937,938,939,942,943,943,943,944,944,944,946,946,947,947,947,947,947,947,947,947,947,948,950,950,950,950,951,951,951,951,952,952,952,952,952,954,957,958,958,958,958,958,958,958,958,958,958,959,960,960,961,961,961,961,961,961,961,962,962,963,964,967,969,969,971,972,972,972,972,973,973,974,977,980,980,980,980,981,981,983,983,984,985,985,988,989,989,991,991,992,994,997,999,1000,1001,1003,1004,1006,1008,1008,1009,1010,1010,1012,1014,1016,1017,1018,1018,1021,1021,1022,1023,1023,1025,1029,1033,1033,1035,1036,1037,1040,1042,1044,1047,1049,1050,1051,1051,1051,1052,1053,1055,1057,1057,1058,1060,1060,1060,1060,1061,1063,1065,1066,1067,1067
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,4,4,4,5,5,5,6,7,7,7,7,8,9,10,11,12,16,16,16,19,20,21,23,27,34,39,44,49,52,54,57,61,66,77,83,84,92,100,110,122,126,137,150,162,175,184,199,222,242,258,277,287,311,335,360,375,386,409,421,432,447,468,481,496,505,516,527,543,560,582,594,608,622,647,657,675,686,694,704,718,734,741,759,767,780,793,804,819,828,843,852,863,874,881,884,895,905,910,913,919,924,928,936,939,948,953,959,968,971,979,985,991,993,993,996,1002,1006,1010,1017,1024,1025,1026,1028,1030,1032,1036,1038,1040,1041,1042,1042,1045,1047,1050,1050,1051,1052,1052,1054,1054,1056,1058,1060,1060,1060,1060,1060,1060,1060,1063,1063,1063,1064,1065,1066,1066,1066,1066,1066,1066,1066,1066,1067,1069,1070,1070,1070,1070,1070,1070,1070,1071,1073,1074,1074,1075,1075,1075,1076,1077,1077,1077,1078,1078,1079,1080,1080,1080,1081,1081,1082,1082,1082,1082,1084,1084,1084,1084,1084,1084,1084,1086,1086,1086,1086,1086,1086,1086,1086,1086,1086,1088,1088,1088,1088,1089,1089,1089,1089,1089,1089,1089,1089,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1091,1091,1093,1093,1093,1094,1095,1096,1098,1100,1103,1106,1107,1107,1107,1109,1109,1110,1110,1110,1110,1111,1114,1114,1117,1121,1124,1128,1129,1131,1132,1134,1143,1150,1153,1156,1158,1165,1168,1176,1179,1182,1186,1195,1206,1212,1218,1222,1228,1236,1240,1252,1259,1266,1273,1277,1281,1285,1288,1293,1297,1298,1300,1303,1309,1309,1311,1312,1314,1318,1320,1323,1326,1327,1328,1331,1331,1331,1332,1334,1334,1335,1335,1337,1340,1342,1345,1346,1347,1349,1350,1350,1351,1352,1354,1355,1355
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,13,19,23,24,25,29,32,34,41,45,52,58,63,71,82,89,92,108,117,124,131,138,147,156,171,180,191,202,208,219,237,248,259,272,280,290,305,319,329,334,344,358,374,382,387,398,411,415,425,438,446,458,469,479,485,497,508,517,525,538,555,568,584,595,604,618,627,635,649,658,670,682,690,696,702,708,718,725,731,739,747,751,759,767,774,781,786,795,800,805,817,828,836,849,861,874,883,895,904,909,915,921,926,938,948,955,968,976,985,992,1002,1010,1028,1042,1054,1061,1068,1074,1084,1099,1111,1123,1134,1142,1156,1163,1173,1184,1189,1194,1201,1207,1214,1218,1227,1234,1244,1253,1259,1268,1275,1284,1295,1309,1314,1320,1332,1339,1344,1354,1367,1373,1385,1391,1395,1402,1415,1422,1431,1438,1445,1454,1460,1475,1483,1489,1504,1522,1534,1539,1551,1561,1567,1573,1582,1594,1603,1619,1633,1648,1654,1666,1684,1707,1723,1733,1754,1776,1811,1842,1879,1903,1936,1981,2023,2070,2110,2154,2191,2235,2293,2365,2413,2464,2530,2597,2657,2715,2772,2837,2905,2953,3018,3095,3163,3212,3266,3322,3381,3427,3479,3518,3566,3620,3679,3725,3762,3806,3853,3894,3924,3962,3993,4030,4071,4101,4137,4165,4199,4230,4257,4284,4306,4324,4350,4360,4379,4397,4418,4430,4447,4469,4488,4502,4515,4526,4547,4563,4576,4582,4594,4606,4620,4637,4648,4666,4674,4692,4698,4712,4722,4730,4745,4763,4775,4782,4798,4811,4826,4845,4857,4878,4897,4914,4924,4934,4948,4966,4973,4985,4990,5001,5010,5022,5032,5044,5057,5069,5077,5087,5094,5108,5121,5131,5144,5155,5161,5173,5177,5184,5192,5206,5214,5220,5224,5232,5244,5253,5254,5257,5267,5277,5283,5291,5300,5313,5320,5326,5334,5341,5347,5358,5367,5371,5378,5385,5393,5398,5398,5398
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,5,6,6,7,10,14,17,20,24,32,39,46,53,61,70,86,98,106,124,153,177,192,216,247,278,314,346,382,429,476,540,586,644,712,787,870,940,1007,1117,1228,1337,1421,1512,1612,1722,1836,1931,2039,2139,2248,2348,2482,2610,2747,2890,3023,3182,3342,3485,3604,3763,3902,4026,4165,4301,4439,4570,4714,4851,4968,5123,5270,5392,5543,5684,5815,5964,6088,6232,6373,6492,6618,6754,6903,7026,7133,7274,7392,7508,7622,7705,7810,7909,7994,8071,8147,8242,8340,8416,8480,8567,8661,8745,8827,8913,8996,9083,9178,9251,9330,9393,9477,9567,9645,9736,9835,9914,9988,10067,10148,10221,10302,10360,10434,10493,10568,10654,10732,10796,10845,10927,10993,11054,11132,11213,11289,11373,11451,11519,11603,11659,11731,11793,11856,11915,11977,12045,12098,12153,12211,12274,12338,12395,12451,12524,12589,12662,12716,12771,12832,12901,12960,13018,13095,13158,13216,13277,13344,13416,13480,13545,13602,13663,13732,13799,13858,13917,13983,14045,14104,14165,14224,14281,14326,14387,14453,14520,14579,14644,14711,14765,14829,14891,14943,15006,15066,15130,15204,15268,15311,15370,15431,15504,15561,15634,15687,15751,15796,15853,15906,15969,16038,16097,16166,16234,16310,16367,16427,16496,16552,16618,16680,16754,16813,16884,16955,17016,17100,17174,17241,17308,17377,17450,17518,17582,17670,17754,17834,17904,17995,18074,18158,18239,18329,18420,18519,18618,18712,18809,18905,19014,19120,19218,19330,19465,19579,19673,19792,19895,20021,20173,20303,20437,20578,20725,20873,21026,21181,21360,21540,21717,21884,22078,22265,22456,22648,22838,23017,23212,23431,23642,23836,24043,24247,24428,24634,24870,25090,25316,25552,25791,25991,26218,26433,26665,26941,27191,27424,27669,27913,28160,28416,28674,28952,29241,29506,29758,30025,30291,30577,30887,31129,31358,31587,31854,32090,32337,32547,32766,32955,33127,33302,33484,33665,33851,34002,34152,34308,34452,34617,34750,34907,35043,35160,35276,35387,35521,35656,35755,35868,35974,36081,36191,36303,36412,36515,36607,36707,36819,36902,36984,37085,37163,37224,37254,37254
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,5,6,7,9,10,13,13,14,15,15,15,16,21,22,25,25,25,27,32,34,36,38,40,42,44,44,46,46,46,46,47,49,53,54,57,58,60,61,62,65,65,65,66,69,73,74,74,74,77,78,79,81,87,89,93,93,95,100,101,102,103,105,108,111,118,122,130,137,140,146,155,159,164,172,178,184,195,198,204,208,222,230,235,247,254,267,277,286,304,322,336,350,372,392,403,418,439,454,473,485,502,516,536,560,588,614,633,651,672,695,725,745,767,782,804,817,833,860,880,917,935,969,990,1016,1042,1066,1088,1117,1138,1157,1187,1207,1242,1259,1276,1295,1322,1345,1372,1388,1402,1425,1441,1455,1473,1487,1506,1520,1550,1566,1583,1611,1630,1651,1665,1681,1695,1708,1728,1743,1760,1772,1793,1811,1823,1840,1852,1862,1875,1882,1898,1912,1921,1938,1947,1961,1978,1988,1999,2014,2022,2031,2042,2049,2071,2078,2089,2099,2108,2119,2132,2142,2154,2172,2178,2197,2213,2227,2248,2265,2283,2304,2326,2347,2370,2392,2422,2457,2491,2510,2534,2559,2583,2607,2643,2671,2706,2750,2780,2802,2833,2883,2920,2944,2985,3026,3057,3084,3112,3142,3167,3196,3231,3268,3310,3344,3378,3409,3431,3468,3510,3550,3582,3609,3634,3661,3681,3701,3731,3755,3783,3814,3850,3878,3898,3922,3948,3963,3990,4010,4038,4058,4076,4104,4132,4155,4178,4207,4230,4255,4278,4296,4315,4340,4373,4405,4431,4463,4488,4518,4536,4568,4603,4639,4677,4702,4725,4775,4802,4834,4866,4924,4961,5004,5031,5073,5101,5129,5179,5214,5236,5259,5290,5319,5335,5360,5388,5406,5428,5450,5480,5491,5504,5522,5538,5557,5571,5578,5592,5604,5618,5630,5639,5651,5655,5666,5681,5689,5699,5709,5715,5728,5736,5744,5748,5751,5759,5762,5769,5778,5782,5788,5792,5794,5794
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,6,7,7,7,7,7,7,8,8,8,8,9,10,10,11,11,13,15,16,16,21,21,23,24,24,25,25,28,29,29,30,30,31,33,35,36,36,38,39,40,41,43,45,48,50,53,55,59,62,64,68,69,74,76,80,82,82,85,88,90,90,92,95,98,98,101,105,109,120,126,133,137,143,147,154,157,160,165,173,182,184,194,199,203,211,216,219,228,236,248,252,263,268,276,285,289,298,308,318,327,331,339,346,351,355,366,370,375,382,392,401,409,414,425,432,439,445,453,455,462,473,477,479,487,491,497,500,507,512,517,522,528,532,540,544,550,554,556,562,566,572,579,584,591,593,597,600,603,611,618,621,626,636,642,646,653,656,660,665,670,677,686,689,691,699,706,713,719,723,727,729,735,738,746,751,755,756,759,761,764,764,767,771,776,778,783,785,788,790,792,793,796,798,801,803,804,807,807,807,809,811,813,815,816,817,818,823,825,827,827,828,829,829,830,830,833,834,835,837,839,840,841,842,845,848,849,849,849,849,849,852,853,853,854,857,859,864,865,866,867,868,868,872,875,877,883,887,891,893,904,909,912,915,919,924,927,931,933,939,944,955,958,963,969,971,978,984,992,996,1004,1010,1017,1019,1022,1027,1033,1042,1049,1055,1062,1066,1068,1074,1081,1090,1094,1100,1106,1110,1113,1125,1130,1130,1135,1140,1149,1156,1157,1161,1165,1170,1173,1177,1177,1181,1185,1187,1189,1190,1195,1197,1197,1197
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,8,8,8,9,11,12,12,12,12,12,14,16,16,16,16,17,20,23,25,26,26,26,30,31,31,31,34,37,39,41,46,49,49,52,53,57,58,59,62,65,67,70,73,78,81,88,91,97,103,109,118,120,123,124,127,130,135,140,144,150,152,157,159,162,169,174,176,178,182,186,195,202,209,212,222,229,233,241,245,253,259,266,268,278,280,284,291,292,301,306,310,312,315,321,332,336,341,347,356,365,368,376,382,391,395,401,402,408,415,419,421,423,428,438,441,444,450,455,459,468,473,482,493,500,505,511,517,524,533,537,543,547,551,560,568,572,579,585,590,597,601,614,618,621,627,629,632,636,641,646,651,657,663,667,668,673,680,685,691,694,698,700,709,714,717,720,726,734,740,746,756,762,765,776,782,791,807,812,824,836,846,860,876,892,905,925,935,947,959,973,984,1001,1017,1032,1047,1060,1077,1094,1104,1113,1130,1151,1159,1166,1178,1192,1203,1222,1233,1248,1265,1280,1300,1316,1328,1342,1356,1373,1384,1403,1416,1432,1444,1461,1471,1474,1479,1489,1504,1511,1519,1527,1533,1541,1550,1557,1563,1569,1580,1588,1594,1602,1612,1613,1617,1626,1638,1648,1657,1664,1674,1680,1685,1689,1695,1707,1714,1722,1731,1742,1751,1761,1767,1779,1792,1803,1812,1816,1824,1835,1844,1850,1857,1865,1877,1885,1895,1902,1913,1916,1919,1928,1936,1944,1946,1955,1964,1973,1978,1983,1990,1993,1998,2000,2005,2008,2013,2016,2020,2030,2036,2037,2042,2046,2050,2052,2055,2058,2064,2067,2071,2077,2079,2080,2082,2083,2084,2085,2085
