Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,8,10,12,13,13,13,14,14,14,14,14,15,16,17,18,18,20,21,21,23,24,24,25,25,25,25,25,26,26,28,28,29,29,29,29,30,30,30,30,30,30,30,30,31,32,34,35,36,36,37,37,37,37,40,41,42,42,42,42,42,42,42,47,47,47,48,48,48,48,48,48,50,51,51,51,51,51,51
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,7,12,14,16,16,16,16,19,20,23,26,31,34,39,40,40,43,45,46,47,48,53,56,61,63,65,68,71,79,81,85,93,101,112,116,119,124,133,137,142,148,154,161,169,172,183,185,191,202,208,214,218,222,227,232,238,249,262,266,267,278,285,294,305,311,317,322,327,330,338,344,352,355,365,371,373,376,379,388,395,399,409,410,413,420,429,434,437,443,444,448,457,462,469,471,473,480,483,488,489,494,496,498,500,504,509,512,512,519,522,524,527,530,534,535,535,535,535,535
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,4,5,6,7,7,7,9,9,9,9,10,11,11,11,11,11,11,11,11,11,12,12,14,14,15,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,21,21,21,21,22,22,23,23,24,25,25,25,25,27,27,28,30,31,31,32,34,34,34,37,37,37,37,37,37,38,38,38,39,39,39,39,39,39,40,41,41,43,44,44,46,46,47,49,51,51,51,51,52,54,54,55,55,55,55,58,58,58,60,60,60,60,60
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,6,8,8,8,8,8,8,8,8,8,8,8,9,10,10,13,13,13,13,13,13,14,15,17,18,18,18,21,22,23,23,24,25,25,28,29,29,31,32,32,33,33,36,36,36,39,40,40,41,41,41,41,42,42,42,42,43,43,43,44,44,44,45,45,46,47,47,47,47,48,53,55,58,59,59,60,61,62,65,66,68,69,71,72,75,76,77,78,78,78,79,80,84,88,89,90,92,92,92,92
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,6,6,6,6,6,7,7,7,8,8,9,9,9,10,11,11,12,12,12,12,14,14,14,14,16,17,18,19,19,19,19,19,21,21,22,22,22,23,24,24,25,26,26,26,27,28,29,30,32,33,34,34,34,35,36,37,38,42,45,46,46,47,48,48,50,52,55,56,59,62,63,64,68,68,70,70,71,71,72,72,73,73,73,74,74,74,74,77,77,78,78,78,79,79,79,80,81,82,83,83,85,86,86,90,91,93,93,93,94,95,96,96,96,96
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,8,11,11,12,12,13,16,19,20,24,27,28,29,33,36,39,39,43,47,51,54,58,60,67,70,78,81,82,84,89,91,93,99,103,109,114,117,124,126,132,137,143,146,149,154,159,163,168,178,187,195,198,206,208,214,217,223,228,232,242,248,255,261,265,267,271,278,284,290,293,296,300,305,308,316,319,322,326,333,335,341,342,348,354,357,360,366,370,375,379,381,386,390,392,396,401,402,409,411,414,417,422,426,430,433,435,438,442,445,445,448,452,452,452,452,452
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,4,5,9,14,19,20,23,25,30,34,41,49,55,64,75,84,94,112,123,137,146,157,165,171,183,198,212,227,238,244,258,275,293,311,330,351,366,385,407,431,450,476,497,518,544,577,609,638,666,693,718,754,773,802,839,872,896,918,945,960,983,1004,1023,1039,1060,1076,1092,1112,1134,1157,1176,1194,1222,1258,1281,1303,1328,1340,1363,1381,1409,1433,1460,1480,1492,1505,1523,1552,1572,1594,1608,1638,1660,1676,1699,1725,1747,1761,1780,1797,1814,1830,1847,1865,1878,1895,1913,1928,1945,1960,1982,2006,2022,2039,2048,2060,2070,2080,2084,2090,2092,2092
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,9,11,12,12,13,14,17,18,21,24,25,33,35,39,39,42,45,48,48,52,54,58,62,65,70,71,73,76,76,81,87,87,87,91,94,96,97,100,101,104,106,108,111,113,114,117,119,120,120,127,130,132,135,139,141,143,144,148,152,152,154,154,155,158,160,161,161,165,167,169,170,172,174,178,183,183,185,192,196,196,197,199,201,203,204,207,208,209,209,211,214,215,216,218,221,225,227,230,235,237,241,243,247,251,252,254,255,257,258,262,264,265,270,271,273,274,274,274,274,274
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,4,5,6,6,6,7,7,7,7,7,8,9,9,10,10,10,10,10,11,11,11,12,12,12,12,12,13,15,16,17,18,18,19,21,23,26,27,27,28,30,32,32,32,32,32,33,33,33,34,35,35,38,38,40,41,41,41,41,41,42,42,43,43,45,46,47,47,47,47,47,49,51,52,54,56,56,56,56,56,57,59,59,59,62,65,67,67,69,69,69,69,71,72,72,73,73,74,75,76,77,78,78,78,78
Durango,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,5,5,7,7,8,8,9,9,9,10,10,12,12,12,13,14,17,18,18,20,20,21,21,21,21,22,22,25,26,28,28,30,32,32,33,34,35,36,37,37,37,37,38,40,41,43,43,44,44,48,49,49,50,50,50,51,53,54,56,57,59,60,62,63,64,65,65,65,66,70,72,73,74,74,74,74,76,80,80,80,82,83,83,83,83,83,84,85,85,85,86,88,89,91,91,92,92,94,94,94,94,94,94,95,95,95,95,96,96,96,96,96
