Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,8,8,8,9,9,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,18,18,18,18,18,18,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,24,24,24,24,24,26,27,27,27,27,29,29,29,29,30,30,30
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,4,5,8,9,13,17,26,31,33,43,46,60,72,86,91,100,108,118,129,137,153,162,172,181,191,198,210,223,238,244,255,266,274,280,292,299,303,309,314,319,323,325,327,330,333,334,337,338,339,340,341,341,341,345,345,348,349,350,351,351,353,358,362,363,365,368,370,372,372,372,375,380,382,384,387,388,390,391,392,398,400,402,404,404,408,410,412,412,414,414,417,418,418,418,418,422,423,425,425,425,426,427,428,428,429,430,430,430,430,431,433,437,437,437,437,438,438,438,438,442,442,444,444,445,446,446,448,448,448,449,449,449,449,450,451,453,453,453,453,453,454,454,455,456,457,457,458,458,458,458,458,459,459,459,459,460,460,462,464,466,467,467,467,468,469,470,470,470,471,471,471,472,476,477,478,481,481,483,484,485,486,486,488,488,490,491,493,494,496,496,496,497,500,500,501,501,502,502,504,506,507,507,509,511,511,512,515,517,518,518,518,519,519,519
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,9,10,10,10,13,16,17,18,21,21,23,25,26,28,28,29,31,33,34,35,35,36,37,38,38,39,39,39,40,42,43,44,45,45,45,45,46,47,47,51,51,51,51,52,52,54,54,55,56,56,56,56,57,57,57,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,8,8,8,9,9,10,12,13,14,14,15,17,20,22,26,27,29,32,35,37,38,48,53,59,64,66,69,75,97,110,125,135,147,161,171,180,189,197,209,215,231,237,263,275,283,287,291,301,308,315,323,329,336,343,347,351,353,358,365,367,368,370,372,373,375,375,375,376,377,377,377,377,377,377,378,378,379,379,379,380,380,381,382,382,382,382,382,382,382,382,382,383,383,383,383,383,384,384,384,384,384,384,384,384,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,389,389,389,389,389,389,389,389,389,389,389,389,389,390,390,391,391,391,391,391,391,391,391,391,391,392,392,392,392,392,392,392,392,392,392,392,392,392
Chihuahua,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,7,8,12,13,15,15,19,22,25,29,34,41,43,52,58,66,73,85,101,115,121,139,147,159,167,181,188,200,213,220,229,237,260,270,278,289,302,309,314,322,332,343,344,352,353,357,360,362,363,364,364,365,367,367,368,368,369,371,371,371,371,372,373,374,378,380,381,382,382,383,385,386,387,388,390,392,393,395,395,395,395,396,397,397,398,398,401,405,405,405,407,409,410,415,416,418,419,423,425,426,429,430,432,435,436,436,436,439,441,441,444,446,446,446,448,449,453,454,454,454,454,454,454,454,457,458,458,458,458,460,463,463,463,464,465,467,468,468,470,470,470,470,471,474,476,478,480,480,480,482,484,485,487,488,489,490,492,496,496,498,498,500,504,506,508,511,511,514,517,519,519,519,520,522,522,525,528,529,530,533,533,536,538,539,545,552,562,568,573,580,584,588,596,604,621,634,649,661,682,698,709,714,720,725,729,730,733,734,735,735,735,735
Ciudad de México,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,9,9,9,13,18,21,22,24,24,33,35,42,43,52,59,69,74,82,104,120,134,160,189,229,260,305,351,397,497,546,616,684,760,821,876,957,1031,1082,1153,1285,1357,1435,1489,1580,1648,1702,1791,1872,1990,2063,2137,2203,2277,2380,2430,2491,2571,2605,2685,2737,2780,2816,2875,2948,2997,3047,3106,3141,3186,3232,3316,3369,3413,3453,3523,3554,3603,3649,3676,3712,3746,3793,3819,3851,3883,3904,3923,3952,3986,4016,4042,4082,4097,4118,4144,4177,4191,4214,4252,4272,4294,4324,4331,4345,4356,4365,4372,4379,4388,4397,4409,4417,4421,4428,4442,4457,4462,4468,4476,4489,4499,4504,4513,4520,4526,4538,4552,4562,4570,4574,4582,4596,4599,4610,4616,4627,4635,4642,4645,4646,4654,4661,4665,4672,4686,4696,4704,4711,4721,4729,4739,4747,4750,4752,4765,4776,4788,4795,4800,4806,4818,4829,4847,4855,4866,4871,4880,4885,4890,4900,4908,4923,4934,4940,4941,4954,4964,4968,4974,4983,4988,4999,5004,5009,5018,5027,5032,5037,5042,5049,5052,5055,5069,5074,5080,5083,5084,5090,5092,5098,5105,5107,5112,5119,5129,5131,5138,5143,5146,5152,5159,5159,5160,5161,5161,5161,5161,5161,5161
Coahuila,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,6,7,8,8,9,9,9,9,11,12,12,12,12,13,13,14,15,15,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,21,22,23,23,23,24,27,28,28,29,32,34,36,37,38,40,40,42,43,43,44,44,45,45,49,50,51,52,53,55,56,59,60,61,62,64,66,68,68,70,73,73,74,75,76,81,81,83,85,85,86,89,91,93,93,96,96,98,99,103,105,105,107,109,112,114,117,118,118,120,121,123,124,126,126,128,129,129,129,130,130,130,130,130,131,131,133,133,134,136,136,137,137,141,143,143,143,144,144,146,149,154,156,157,158,158,159,160,160,162,162,162,162,164,165,165,167,169,169,170,170,171,172,172,172,172,172,172,172,173,176,176,177,179,183,184,185,186,191,194,200,210,219,225,227,234,235,237,237,237
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,18,18,18,18,18,18,18
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,7,7,9,9,10,10,11,11,11,11,11,11,13,13,13,13,13,14,14,14,14,14,14,15,15,15,16,16,16,17,17,18,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,25,25,25,25,26,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29
