Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,6,7,9,11,15,17,20,20,25,34,39,44,48,54,56,59,62,62,63,65,66,66,68,72,75,77,80,84,90,97,104,117,128,139,150,166,173,192,198,209,228,240,251,263,297,309,326,350,361,382,395,418,441,450,470,479,486,506,538,552,573,593,615,631,648,671,693,731,764,796,818,848,893,940,972,1015,1050,1089,1131,1211,1269,1306,1343,1406,1466,1515,1588,1639,1699,1738,1785,1829,1891,1977,2041,2091,2150,2194,2244,2292,2359,2401,2449,2495,2535,2586,2629,2684,2742,2824,2878,2919,2961,3034,3114,3186,3245,3300,3369,3427,3491,3564,3637,3707,3746,3809,3862,3917,3983,4036,4092,4154,4204,4255,4301,4363,4411,4463,4508,4544,4608,4647,4708,4757,4788,4819,4863,4916,4966,5041,5088,5143,5189,5272,5350,5405,5475,5528,5594,5659,5713,5769,5831,5895,5974,6021,6081,6133,6176,6228,6309,6375,6420,6466,6501,6556,6595,6652,6695,6745,6791,6823,6866,6892,6953,6999,7040,7107,7162,7206,7283,7342,7388,7441,7499,7563,7624,7671,7751,7812,7872,7949,8017,8082,8144,8223,8301,8367,8449,8517,8592,8651,8760,8845,8931,9033,9135,9208,9292,9440,9564,9682,9799,9918,10033,10163,10328,10470,10612,10731,10846,10945,11051,11214,11352,11465,11561,11660,11764,11891,12071,12252,12415,12557,12712,12832,12967,13121,13319,13488,13703,13910,14024,14186,14378,14517,14602,14726,14837,14932,15068,15230,15373,15485,15580,15668,15750,15827,15918,15999,16061,16122,16178,16214,16251,16283,16306,16317,16321,16323,16324,16324,16324,16324
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,6,10,13,16,21,26,37,47,62,68,74,90,110,130,154,181,206,243,285,318,371,436,485,538,583,636,689,766,848,958,1037,1126,1198,1286,1364,1436,1528,1606,1699,1818,1896,2000,2071,2142,2239,2333,2424,2514,2585,2697,2857,2987,3081,3191,3289,3400,3509,3653,3751,3897,4016,4137,4265,4372,4557,4671,4792,4955,5094,5249,5408,5562,5667,5784,5917,6024,6133,6252,6358,6452,6580,6740,6871,6997,7108,7260,7394,7523,7680,7843,8003,8131,8277,8401,8530,8733,8872,9024,9143,9299,9511,9650,9783,9960,10101,10285,10438,10571,10699,10880,11071,11274,11407,11557,11678,11855,12009,12169,12367,12493,12647,12776,12898,13034,13161,13318,13440,13569,13691,13815,13973,14086,14193,14280,14401,14511,14602,14731,14827,14924,15029,15169,15292,15388,15520,15634,15739,15824,15918,16026,16136,16264,16368,16463,16547,16653,16740,16839,16950,17058,17150,17241,17341,17441,17535,17660,17753,17847,17959,18074,18184,18297,18444,18578,18677,18776,18893,18972,19077,19180,19255,19337,19413,19484,19551,19605,19669,19768,19832,19924,19998,20074,20174,20250,20325,20393,20457,20549,20634,20720,20822,20899,20993,21077,21175,21279,21359,21481,21571,21633,21706,21806,21929,22031,22173,22260,22351,22449,22550,22656,22750,22867,22988,23089,23202,23304,23407,23518,23602,23689,23783,23872,23962,24061,24224,24335,24418,24517,24631,24741,24840,24921,25024,25134,25225,25345,25463,25602,25788,25992,26198,26416,26642,26921,27138,27384,27652,27868,28073,28279,28484,28706,28933,29193,29453,29632,29816,30007,30215,30377,30597,30766,30927,31099,31208,31298,31400,31475,31533,31566,31579,31585,31587,31589,31590,31590
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,5,6,7,7,8,12,17,22,24,29,35,43,53,57,72,84,102,118,138,158,178,191,197,205,211,223,236,246,254,261,267,272,279,291,296,309,310,322,327,337,345,349,352,355,360,371,386,391,397,403,419,424,432,440,445,456,461,473,484,494,506,515,529,546,553,573,579,592,609,629,643,661,677,693,714,732,742,771,808,838,868,888,922,962,1003,1037,1078,1110,1129,1167,1196,1243,1272,1306,1353,1384,1432,1464,1500,1545,1593,1657,1707,1746,1799,1872,1965,2056,2121,2187,2268,2332,2458,2560,2661,2752,2864,2953,3057,3168,3267,3365,3442,3536,3624,3738,3883,3980,4066,4162,4284,4393,4529,4653,4768,4864,4968,5070,5203,5329,5442,5557,5662,5770,5859,5950,6050,6193,6295,6392,6492,6579,6662,6770,6877,6977,7036,7138,7209,7274,7388,7497,7612,7716,7776,7848,7950,8052,8175,8294,8387,8478,8554,8632,8739,8843,8938,9007,9093,9179,9226,9297,9389,9468,9522,9631,9705,9768,9853,9923,10007,10084,10152,10229,10277,10366,10449,10513,10582,10662,10738,10796,10880,10961,11029,11084,11164,11237,11307,11394,11504,11594,11665,11748,11837,11907,12005,12084,12175,12247,12322,12398,12479,12562,12648,12715,12775,12829,12880,12923,13011,13085,13169,13229,13295,13345,13410,13477,13552,13642,13688,13735,13781,13821,13900,13977,14045,14104,14170,14257,14294,14384,14469,14557,14650,14731,14794,14864,14976,15054,15167,15243,15334,15405,15474,15576,15679,15774,15854,15959,16052,16128,16222,16317,16392,16449,16492,16520,16525,16543,16543,16543
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,4,4,6,6,8,10,10,12,15,16,18,23,29,31,38,42,48,50,54,62,66,73,76,85,91,98,104,110,122,131,144,150,159,174,181,194,200,217,228,250,265,280,301,323,337,344,362,378,407,434,462,476,494,512,535,562,580,599,629,656,683,716,731,774,795,816,835,861,891,917,970,995,1041,1072,1128,1185,1241,1304,1358,1444,1508,1586,1671,1729,1831,1907,1979,2076,2166,2278,2338,2410,2483,2566,2635,2724,2785,2855,2922,2996,3120,3214,3304,3378,3458,3532,3613,3691,3776,3906,4007,4082,4160,4244,4360,4438,4513,4592,4665,4754,4812,4869,4921,4976,5052,5101,5158,5213,5252,5286,5309,5377,5412,5443,5468,5493,5513,5532,5564,5590,5625,5647,5672,5690,5718,5763,5790,5817,5844,5867,5910,5937,5951,5964,5987,6006,6025,6046,6064,6076,6094,6106,6130,6142,6147,6159,6171,6180,6189,6197,6212,6237,6251,6260,6266,6278,6295,6307,6314,6329,6340,6369,6379,6389,6396,6406,6427,6434,6440,6455,6463,6474,6496,6509,6521,6525,6537,6543,6555,6568,6579,6594,6607,6615,6622,6626,6638,6652,6656,6667,6677,6695,6702,6715,6727,6739,6748,6754,6762,6772,6782,6791,6795,6803,6810,6817,6829,6841,6856,6862,6873,6882,6897,6903,6909,6917,6928,6944,6952,6970,6975,6990,7011,7021,7033,7049,7060,7078,7090,7096,7118,7124,7143,7175,7184,7194,7205,7219,7229,7243,7260,7275,7293,7300,7303,7308,7311,7316,7316,7316,7316,7316,7316,7316,7316
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,5,7,10,14,15,19,19,22,26,27,29,31,33,35,39,42,44,46,51,55,56,58,63,65,73,79,88,101,108,116,124,143,148,164,179,190,209,222,237,256,279,305,332,363,387,416,451,473,501,547,606,666,723,782,844,906,983,1067,1123,1240,1322,1415,1514,1613,1750,1850,1981,2095,2186,2304,2422,2523,2625,2759,2852,2935,3031,3153,3272,3371,3462,3529,3639,3711,3802,3898,3976,4083,4150,4202,4255,4333,4413,4474,4547,4615,4666,4714,4773,4816,4869,4924,4974,5012,5062,5095,5133,5188,5206,5251,5284,5332,5425,5454,5495,5555,5582,5645,5685,5718,5756,5783,5822,5850,5885,5908,5935,5958,5987,6001,6023,6053,6083,6118,6170,6192,6217,6236,6258,6291,6307,6332,6349,6362,6375,6394,6413,6435,6479,6497,6510,6518,6534,6551,6570,6581,6585,6591,6600,6612,6621,6642,6653,6666,6682,6691,6702,6727,6742,6752,6764,6777,6789,6794,6807,6819,6828,6833,6843,6855,6867,6878,6889,6906,6920,6937,6947,6955,6961,6980,6991,6996,7003,7012,7022,7030,7041,7050,7057,7061,7067,7077,7083,7090,7103,7107,7116,7121,7129,7133,7139,7144,7150,7157,7159,7167,7176,7181,7186,7188,7189,7195,7197,7197,7200,7204,7208,7211,7211,7219,7223,7229,7241,7248,7253,7264,7268,7276,7281,7299,7308,7319,7325,7331,7336,7350,7357,7364,7369,7374,7378,7394,7407,7422,7434,7441,7466,7476,7496,7508,7527,7543,7570,7580,7597,7619,7630,7638,7648,7656,7656,7660,7660,7660,7660,7660,7660,7660
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,6,7,10,12,16,19,20,22,26,31,37,39,48,55,60,70,79,94,110,120,128,143,158,175,198,223,248,269,290,312,348,386,437,486,526,591,630,690,742,807,875,914,974,1026,1081,1147,1234,1304,1358,1426,1493,1555,1620,1688,1756,1849,1925,1980,2047,2119,2192,2262,2323,2408,2485,2581,2651,2712,2776,2830,2903,2960,3027,3100,3169,3219,3271,3350,3405,3458,3501,3569,3627,3674,3736,3783,3853,3901,3952,4006,4059,4130,4187,4226,4267,4320,4411,4455,4522,4570,4618,4695,4765,4829,4904,4991,5077,5195,5274,5359,5430,5513,5621,5702,5794,5867,6000,6078,6159,6273,6350,6477,6558,6669,6756,6844,6994,7088,7189,7250,7356,7447,7553,7656,7737,7812,7906,7993,8096,8186,8295,8363,8460,8538,8638,8727,8794,8928,9033,9118,9198,9281,9452,9525,9642,9737,9820,9972,10067,10150,10236,10348,10460,10577,10662,10780,10862,10964,11072,11233,11316,11411,11494,11612,11681,11789,11867,11950,12067,12160,12233,12308,12433,12556,12639,12763,12892,13004,13176,13332,13441,13539,13657,13836,13947,14109,14314,14494,14703,15073,15360,15596,15863,16336,16696,17089,17466,17946,18644,19046,19707,20262,20756,21357,21910,22475,22937,23650,24279,24650,25112,25580,25886,26337,26937,27286,27622,27928,28304,28582,28993,29327,29567,29816,30102,30370,30610,30846,31061,31322,31495,31671,31830,32004,32212,32409,32561,32742,32984,33298,33442,33563,33701,33828,33939,34037,34134,34217,34292,34404,34518,34584,34652,34720,34809,34876,34945,34999,35045,35105,35153,35193,35229,35250,35265,35272,35274,35274,35276,35277,35277,35277
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,9,11,14,18,24,30,30,36,45,52,75,101,126,175,226,273,318,368,433,486,545,634,681,739,821,884,966,1087,1175,1263,1341,1479,1577,1759,1911,2056,2210,2382,2595,2787,3003,3232,3629,3891,4181,4557,4906,5378,5780,6269,6781,7234,8011,8472,8954,9442,10051,10655,11179,11872,12497,12985,13747,14906,15564,16273,17221,18128,18946,19811,20817,21664,22900,23973,24924,25818,26648,27980,28956,29857,31249,32158,33696,34559,35621,36508,37316,38681,39641,40560,41632,42590,43546,44418,46085,47081,47993,48959,50160,51161,51921,52993,53827,55127,55988,56960,57757,58416,59686,60590,61313,62269,63167,64450,65090,65949,66742,67507,68494,69613,70283,71159,72131,73139,74526,75452,76421,77144,77985,78910,79816,80696,81543,83039,83802,84596,85782,86705,88106,89073,90244,91247,92083,93783,94843,95806,96809,97808,98907,99683,100857,101820,102698,103631,104461,105823,106543,107531,108387,109424,110232,111260,112102,112710,114189,115136,116063,116914,117952,119088,119845,120962,122161,123087,124918,126042,126953,127739,128959,130304,131352,132475,133970,134851,135820,137041,138943,140136,141204,142287,143347,144036,145156,146292,147397,148777,149730,150472,151094,152177,153437,154217,155245,156456,157448,158784,159919,160946,161942,162920,164172,165064,165910,167063,168247,169319,170974,171943,172806,173573,174972,176069,177303,178433,179530,181360,182350,183831,185125,186361,188055,189606,190850,192133,193970,196423,197959,199496,201100,202337,203830,205744,207362,209062,210458,212130,213213,215309,216957,218978,220597,222467,224274,225844,227222,229558,232001,233942,235642,237344,238839,240751,242567,244763,247009,248995,252541,254706,256785,259862,262527,265695,268316,271320,274496,277004,281734,287135,291110,294996,299098,303239,306235,311184,315398,319726,324386,328555,332070,334615,338547,341964,344689,346792,348740,349857,350153,350926,350926
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,7,11,13,18,24,27,37,44,53,67,87,101,116,139,151,168,179,191,207,212,228,243,255,265,279,289,299,315,326,343,356,366,379,384,401,415,425,438,449,464,477,488,502,514,536,561,581,589,604,635,661,683,708,735,753,784,811,838,871,918,971,1016,1084,1125,1171,1227,1276,1349,1392,1453,1517,1559,1641,1737,1786,1832,1945,2015,2100,2185,2280,2403,2490,2626,2762,2884,2992,3118,3242,3397,3595,3775,3959,4166,4356,4552,4783,5076,5281,5508,5708,6037,6239,6466,6779,7086,7349,7648,7907,8150,8352,8747,9061,9308,9560,9980,10173,10425,10756,11018,11351,11586,11847,12123,12325,12747,13025,13233,13510,13771,14261,14466,14858,15068,15355,15579,15770,16207,16515,16797,17027,17411,17677,17961,18157,18366,18738,18951,19214,19550,19841,20140,20368,20637,20957,21178,21495,21715,21913,22120,22387,22615,22796,22944,23108,23265,23406,23596,23780,23950,24099,24239,24387,24534,24674,24810,24923,25048,25140,25222,25324,25488,25624,25728,25853,26007,26149,26331,26484,26605,26763,26923,27116,27247,27423,27643,27830,28035,28264,28443,28658,28854,29112,29320,29527,29747,29998,30317,30511,30760,31016,31240,31546,31834,32071,32373,32746,33214,33497,33770,34018,34225,34518,34822,35064,35312,35539,35813,36002,36388,36723,36978,37219,37520,37824,38084,38351,38684,39046,39311,39541,39751,39963,40240,40492,40735,40955,41168,41557,41714,41915,42199,42438,42703,42962,43164,43332,43528,43790,44128,44279,44471,44652,44837,45025,45244,45426,45605,45886,46054,46222,46381,46548,46656,46707,46761,46790,46801,46803,46803,46803
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,6,7,7,7,7,7,7,7,7,8,8,8,8,8,10,13,13,13,15,15,21,22,22,23,24,24,26,27,28,28,31,31,33,35,37,39,40,42,42,45,49,55,58,60,67,76,82,87,92,100,105,114,118,131,136,144,150,153,160,164,169,181,186,197,210,229,241,250,259,271,282,300,316,331,341,353,372,387,407,430,452,460,482,508,534,562,585,599,617,634,662,695,712,739,768,797,821,850,878,915,965,1008,1035,1077,1134,1178,1233,1303,1362,1414,1464,1521,1586,1653,1733,1791,1846,1895,1949,2015,2072,2126,2186,2209,2250,2324,2399,2463,2522,2575,2620,2668,2738,2801,2895,2992,3037,3087,3139,3215,3293,3361,3446,3514,3565,3622,3695,3775,3819,3881,3932,3981,4028,4091,4144,4177,4227,4269,4289,4329,4375,4427,4460,4503,4536,4568,4604,4649,4687,4729,4801,4848,4883,4936,4988,5057,5122,5183,5225,5255,5293,5364,5433,5489,5565,5614,5654,5708,5758,5818,5860,5914,5961,6013,6071,6118,6175,6219,6277,6309,6345,6400,6445,6476,6511,6544,6575,6606,6642,6683,6719,6752,6790,6811,6843,6866,6882,6906,6940,6968,6990,7008,7027,7054,7082,7102,7121,7135,7144,7160,7177,7197,7220,7242,7258,7274,7297,7320,7339,7359,7386,7403,7419,7439,7456,7477,7499,7524,7548,7563,7585,7601,7617,7630,7653,7676,7694,7704,7719,7738,7756,7766,7782,7793,7796,7798,7798,7798,7798,7798
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,6,7,7,7,7,9,10,11,11,11,12,13,14,14,14,15,17,17,17,18,18,20,20,24,28,29,32,38,38,40,40,42,43,48,51,57,62,69,73,83,86,90,91,93,103,109,115,122,130,139,150,158,167,171,177,184,192,201,214,226,233,244,264,282,295,312,331,357,381,405,434,471,502,539,576,649,684,731,790,854,914,964,1019,1067,1125,1183,1227,1276,1346,1398,1438,1499,1548,1605,1666,1706,1793,1881,1950,2004,2087,2170,2245,2303,2361,2440,2484,2533,2585,2636,2731,2805,2856,2926,3015,3077,3126,3188,3271,3371,3426,3489,3568,3633,3762,3852,3907,3962,4041,4110,4184,4258,4338,4396,4476,4544,4627,4705,4796,4860,4930,4972,5038,5120,5191,5296,5387,5462,5521,5611,5692,5754,5852,5957,6037,6165,6234,6307,6389,6467,6568,6688,6768,6859,6945,7054,7186,7313,7395,7459,7560,7638,7733,7802,7892,7960,8028,8103,8164,8213,8291,8366,8445,8526,8609,8693,8810,8888,8965,9054,9125,9225,9303,9377,9512,9584,9675,9796,9946,10065,10199,10400,10543,10716,10862,11040,11302,11448,11706,11894,12065,12277,12490,12667,12928,13234,13593,13830,14073,14325,14530,14803,15118,15380,15625,15803,16076,16291,16576,16842,17032,17281,17449,17669,17820,18027,18299,18622,18863,19080,19214,19379,19618,19899,20167,20438,20591,20867,21017,21223,21435,21632,21825,21972,22147,22348,22508,22744,22908,23029,23133,23235,23326,23422,23561,23695,23800,23900,23985,24062,24150,24261,24364,24438,24466,24487,24501,24503,24504,24504
