Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020
Aguascalientes,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,6,6,7,8,8,8,8,10,10,10,11,12,14,15,16,18,21,25,28,32,37,42,45,55,64,80,90,100,115,140,159,177,199,223,251,288,316,339,381,417,439,484,512,562,574,604,627,655,685,708,728,751,772,805,851,883,920,949,981,1008,1054,1105,1194,1234,1287,1384,1456,1494,1547,1646,1731,1798,1837,1869,2010,2078,2180,2219,2340,2391,2438,2497,2557,2810,2867,2946,2983,3018,3068,3095,3142,3206,3266,3318,3370,3404,3460,3538,3623,3695,3746,3791,3831,3877,3930,3972,4018,4061,4111,4190,4285,4367,4492,4584,4612,4670,4723,4795,4899,4939,4969,5014,5076,5160,5263,5381,5442,5512,5592,5682,5753,5846,5938,6053,6168,6219,6265,6326,6380,6450,6511,6562,6638,6751,6808,6872,6924,6984,7063,7116,7195,7278,7344,7491,7610,7722,7801,7873,7964,8114,8238,8292,8341,8356,8392,8413,8413,8413,8413,8413
Baja California,3,4,6,7,7,7,10,11,12,13,13,16,17,19,19,19,19,21,21,21,22,22,23,23,23,25,25,27,27,27,28,29,30,30,30,31,31,34,36,42,45,48,50,51,54,59,68,79,95,106,126,134,150,172,201,231,263,304,338,382,430,469,517,542,582,614,640,670,692,719,753,777,807,824,849,880,905,943,993,1023,1051,1093,1138,1169,1195,1239,1276,1308,1366,1401,1444,1485,1518,1553,1591,1637,1666,1699,1746,1800,1828,1878,1931,1992,2028,2076,2146,2196,2259,2325,2386,2428,2466,2520,2557,2596,2664,2732,2800,2900,2994,3072,3175,3271,3325,3390,3447,3518,3596,3669,3821,3909,3976,4022,4120,4176,4241,4346,4425,4526,4602,4679,4757,4840,4948,5046,5113,5184,5255,5349,5425,5515,5611,5656,5740,5810,5865,5928,5994,6070,6185,6257,6341,6396,6453,6541,6601,6665,6715,6794,6847,6925,6998,7051,7101,7160,7212,7264,7338,7419,7476,7540,7589,7638,7678,7727,7760,7786,7810,7824,7832,7839,7841,7843,7843,7843
Baja California Sur,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,5,6,6,7,8,8,8,8,8,8,8,8,8,9,10,13,14,14,15,15,16,18,20,20,21,21,22,25,26,27,30,32,37,43,46,51,63,70,79,88,96,104,117,135,159,176,184,206,228,243,272,302,335,369,407,444,485,516,547,566,594,622,640,662,685,707,720,739,761,775,787,801,814,830,847,859,875,885,900,910,922,939,954,972,986,1005,1044,1055,1074,1090,1105,1119,1132,1147,1156,1168,1186,1201,1209,1240,1272,1301,1318,1349,1370,1399,1437,1465,1502,1533,1572,1599,1652,1702,1751,1816,1883,1935,1979,2002,2046,2082,2134,2188,2256,2304,2359,2448,2512,2566,2637,2689,2763,2832,2908,2972,3039,3103,3191,3249,3321,3416,3525,3654,3718,3789,3840,3906,4011,4093,4197,4303,4361,4418,4516,4638,4741,4848,4945,5033,5120,5208,5368,5464,5563,5659,5736,5802,5869,5993,6117,6228,6318,6363,6388,6425,6449,6449,6449
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,8,8,13,15,18,21,24,29,32,38,44,47,54,58,62,63,67,73,76,83,87,91,98,112,113,140,153,155,164,176,185,205,215,229,233,239,248,278,285,289,300,308,311,332,354,367,378,387,402,412,429,449,457,480,499,521,544,558,590,610,629,653,675,704,727,751,787,819,871,902,945,993,1038,1077,1102,1154,1175,1203,1247,1293,1331,1405,1462,1497,1555,1605,1633,1686,1715,1767,1808,1838,1886,1929,1985,2023,2065,2124,2175,2230,2295,2347,2397,2442,2482,2554,2590,2620,2646,2688,2728,2781,2818,2859,2938,2984,3016,3057,3091,3154,3197,3240,3275,3304,3380,3412,3449,3473,3522,3581,3608,3654,3675,3690,3701,3709,3718,3719,3719,3719,3719
Chiapas,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,6,7,7,7,8,9,11,14,15,18,23,28,31,32,41,45,50,58,67,78,84,98,109,119,127,138,146,164,177,189,195,209,215,219,229,237,256,267,279,290,300,313,326,344,358,374,389,405,429,445,458,478,493,507,520,544,563,571,600,630,642,680,705,738,768,788,810,832,866,890,907,937,968,1006,1032,1069,1097,1121,1160,1189,1222,1256,1291,1325,1353,1380,1414,1439,1469,1501,1552,1576,1601,1623,1651,1690,1716,1749,1765,1784,1802,1825,1839,1853,1872,1885,1904,1931,1955,1984,1995,2017,2033,2049,2060,2074,2095,2116,2131,2149,2165,2174,2195,2208,2230,2245,2252,2264,2271,2304,2325,2342,2361,2381,2410,2428,2461,2476,2492,2529,2544,2556,2584,2617,2648,2673,2705,2730,2751,2770,2780,2788,2792,2796,2796,2796
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,5,5,6,8,8,8,8,10,10,14,15,16,17,18,21,23,25,28,34,40,43,46,54,65,71,85,98,115,133,145,152,160,167,180,199,212,233,247,262,287,302,321,343,365,391,414,435,449,466,493,513,546,581,631,670,703,730,773,829,869,929,978,1017,1084,1157,1217,1270,1342,1425,1463,1505,1559,1622,1697,1760,1816,1872,1924,2015,2068,2118,2177,2227,2305,2348,2404,2460,2518,2592,2634,2699,2742,2799,2856,2926,2984,3039,3084,3128,3177,3218,3251,3303,3354,3406,3436,3487,3525,3563,3617,3661,3701,3746,3781,3861,3899,3956,4000,4032,4073,4125,4161,4219,4261,4315,4381,4430,4481,4528,4568,4622,4674,4725,4780,4858,4908,4965,5031,5088,5159,5214,5262,5318,5355,5406,5444,5475,5499,5515,5529,5543,5552,5561,5562,5567,5568,5568,5568,5568,5568,5568
Ciudad de México,8,19,26,35,40,47,52,55,56,60,64,78,87,93,96,99,101,122,129,136,142,150,155,157,162,162,167,169,172,175,182,190,202,212,233,246,259,276,302,317,336,364,381,404,433,473,519,593,659,719,783,869,959,1036,1130,1221,1308,1436,1525,1619,1778,1913,2084,2262,2443,2585,2722,2932,3150,3458,3685,3953,4223,4496,4841,5179,5497,5810,6212,6466,6826,7273,7676,8198,8606,9036,9413,9811,10508,10935,11401,11877,12406,12972,13486,14223,14901,15483,16270,17388,18004,18583,19480,20341,21081,21810,22717,23393,24342,25237,26024,26776,27500,28724,29419,30166,31395,32247,33899,34655,35590,36350,37111,38536,39450,40328,41358,42307,43191,44011,45772,46730,47755,48728,49929,50782,51570,52818,53870,55806,56986,58168,59058,60022,61738,62846,63974,65205,66504,68198,69051,70238,71280,72367,73872,75376,76207,77430,78831,80489,82744,84151,85624,86585,88005,89510,91099,92452,93843,96704,97923,99293,101349,103037,105615,107502,109602,111121,112383,115398,116947,118412,119853,121406,122804,123800,125161,126394,127478,128291,128859,129069,129123,129189,129190,129190
Coahuila,2,2,2,8,11,15,20,24,24,27,29,34,36,38,41,41,43,46,49,51,52,54,54,55,59,61,67,68,69,69,70,71,74,78,81,87,88,88,92,93,96,97,99,99,102,111,117,123,129,134,139,144,152,165,178,197,218,243,270,294,333,368,418,470,548,623,679,755,827,959,1028,1096,1176,1258,1368,1478,1564,1648,1740,1816,1872,1940,2038,2143,2207,2270,2332,2376,2483,2535,2587,2648,2717,2775,2853,2963,3086,3207,3322,3423,3492,3547,3674,3792,3877,3958,4107,4244,4358,4543,4674,4831,4987,5185,5395,5534,5745,5898,6096,6278,6402,6526,6689,6907,7052,7205,7523,7735,8136,8301,8692,8993,9357,9696,9846,10136,10302,10532,10762,10994,11264,11472,11679,11875,12181,12339,12530,12795,12984,13215,13417,13680,13902,14050,14282,14505,14597,14749,14992,15232,15514,15687,15896,16016,16199,16426,16643,16773,16914,17114,17184,17324,17467,17679,17846,17993,18236,18353,18491,18800,19045,19226,19407,19598,19738,19847,20057,20190,20281,20332,20411,20433,20470,20480,20514,20514
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,4,5,5,5,5,6,8,8,12,14,14,17,17,17,22,25,30,34,37,39,43,45,52,54,59,61,64,65,69,72,75,78,79,83,84,90,92,98,101,103,105,109,114,126,130,136,143,146,151,154,158,163,167,173,181,185,189,193,198,205,213,222,227,235,244,249,258,266,272,279,289,308,325,340,352,369,381,391,399,409,415,428,439,451,463,474,483,492,503,516,535,544,552,566,582,589,600,614,629,637,648,655,664,673,691,710,726,744,755,781,799,806,817,825,834,850,872,890,914,931,951,970,983,998,1025,1055,1082,1094,1113,1134,1162,1185,1210,1232,1253,1282,1322,1366,1401,1441,1470,1493,1521,1562,1590,1622,1661,1689,1700,1711,1731,1745,1749,1749,1749,1749
Durango,0,0,5,6,7,9,9,9,9,10,11,13,14,14,14,14,20,20,22,22,22,22,24,26,26,26,27,27,27,27,28,30,30,30,30,31,31,33,36,38,40,40,40,44,47,47,50,51,54,55,57,60,63,66,69,72,80,84,89,101,113,121,141,153,157,167,183,200,214,233,258,279,295,304,314,323,334,342,358,360,369,384,402,417,432,446,457,474,500,515,535,586,599,609,641,687,703,725,757,789,839,869,895,931,949,975,1009,1029,1077,1117,1146,1163,1189,1232,1256,1278,1316,1358,1410,1432,1460,1505,1553,1637,1738,1863,1936,2022,2064,2116,2278,2354,2453,2545,2677,2764,2873,2998,3140,3284,3432,3517,3632,3730,3880,4002,4092,4214,4344,4485,4536,4631,4719,4848,4935,5027,5134,5219,5338,5445,5597,5677,5766,5846,5955,6084,6212,6331,6444,6602,6695,6811,6938,7087,7191,7308,7401,7517,7613,7814,7926,8044,8140,8275,8380,8508,8650,8768,8850,8900,8935,8977,9015,9023,9024,9024
