Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,7,9,13,15,17,17,22,31,36,41,45,51,53,56,59,59,60,62,63,63,65,69,72,74,77,82,88,93,100,111,121,129,140,156,163,182,188,201,218,230,240,251,281,293,310,334,344,363,374,398,421,430,449,458,465,485,515,529,550,571,592,607,624,646,667,703,735,766,788,818,862,908,939,982,1017,1056,1096,1174,1232,1268,1302,1364,1425,1471,1542,1591,1651,1690,1737,1783,1840,1914,1972,2021,2075,2117,2160,2204,2258,2283,2318,2335,2336,2339,2339,2339,2339
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,7,11,14,17,22,27,38,48,63,69,75,93,113,131,155,182,207,244,285,318,371,435,484,536,581,636,689,764,848,959,1035,1125,1198,1285,1363,1433,1523,1604,1698,1817,1896,1999,2070,2143,2238,2334,2425,2515,2585,2693,2850,2979,3075,3186,3283,3394,3503,3648,3744,3893,4007,4128,4253,4359,4538,4649,4770,4933,5071,5226,5382,5531,5634,5754,5886,5989,6098,6211,6317,6411,6533,6681,6787,6894,6998,7126,7236,7358,7485,7613,7763,7871,7986,8094,8192,8328,8426,8518,8584,8666,8761,8801,8844,8872,8898,8920,8922,8922,8922,8922,8922
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,6,6,7,11,16,21,23,28,34,42,51,55,70,82,100,116,136,156,176,189,195,203,209,221,233,243,251,258,264,269,276,287,293,306,307,319,324,334,343,347,350,353,358,369,385,391,398,404,420,425,436,445,450,461,468,480,494,506,519,529,543,560,567,586,592,605,623,643,657,677,693,709,730,746,756,784,821,850,878,896,930,968,1009,1043,1077,1109,1128,1164,1190,1237,1266,1296,1336,1363,1404,1428,1450,1473,1497,1511,1523,1529,1529,1529,1529
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,4,4,5,5,5,7,7,9,9,10,12,12,14,15,16,17,21,23,24,26,27,31,32,36,42,44,49,51,56,60,64,68,74,84,89,98,104,113,124,129,141,145,155,165,182,197,207,226,244,257,264,280,296,320,346,368,381,397,413,435,459,475,493,521,548,574,607,624,665,685,705,726,754,785,812,861,886,929,957,1011,1064,1119,1179,1231,1315,1376,1446,1528,1582,1660,1717,1764,1816,1846,1879,1894,1898,1908,1911,1915,1916,1916,1916,1916,1916
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,5,7,10,14,15,19,19,22,26,27,29,31,33,35,39,43,45,47,52,56,58,60,66,69,77,83,91,104,111,121,128,148,154,168,183,194,214,228,242,264,289,315,342,375,398,428,465,489,517,565,623,687,742,803,868,932,1010,1095,1151,1270,1351,1450,1547,1647,1783,1888,2026,2148,2240,2358,2476,2578,2684,2819,2911,2999,3099,3218,3333,3429,3519,3585,3699,3770,3862,3949,4022,4121,4183,4221,4267,4318,4375,4408,4438,4467,4480,4486,4488,4489,4489,4489,4489
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,8,9,12,14,15,16,20,24,30,32,41,48,50,60,67,78,92,100,107,116,129,142,155,174,192,209,225,239,270,301,334,374,410,465,496,541,583,637,698,731,778,824,866,916,984,1035,1082,1130,1173,1215,1265,1319,1363,1423,1483,1520,1571,1621,1676,1729,1777,1840,1888,1948,1997,2044,2087,2127,2174,2209,2253,2300,2352,2386,2424,2467,2497,2533,2561,2595,2638,2672,2710,2743,2776,2805,2833,2862,2891,2930,2955,2973,2993,3014,3034,3048,3055,3057,3060,3062,3062,3062,3062,3062,3062
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,5,6,8,13,15,18,20,26,35,40,59,81,100,115,147,180,215,257,280,305,338,391,411,440,488,534,581,661,719,780,832,935,1008,1133,1240,1343,1464,1592,1742,1888,2045,2221,2515,2716,2925,3205,3469,3819,4127,4482,4864,5207,5800,6152,6517,6910,7366,7830,8239,8775,9251,9638,10192,11057,11587,12136,12876,13546,14148,14803,15569,16211,17146,17948,18672,19316,19937,20890,21600,22279,23280,23948,25081,25693,26466,27134,27770,28840,29567,30263,31058,31795,32484,33147,34424,35151,35827,36578,37449,38179,38742,39521,40107,41067,41682,42347,42864,43313,44093,44586,45036,45601,46133,46737,47041,47323,47604,47782,47918,47981,48000,48009,48014,48014
Coahuila,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,6,6,6,8,11,15,17,22,28,31,41,48,56,70,89,104,118,139,150,164,175,187,203,210,224,237,247,255,270,279,287,303,314,330,343,352,366,371,386,399,409,422,434,447,461,471,484,496,518,545,562,571,585,614,637,657,681,709,729,758,787,812,836,880,931,973,1029,1064,1107,1157,1204,1261,1296,1346,1406,1446,1530,1622,1670,1718,1820,1876,1954,2038,2124,2239,2327,2455,2593,2702,2801,2909,3027,3168,3322,3474,3618,3772,3907,4031,4167,4308,4445,4532,4555,4566,4570,4573,4573,4573
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,6,7,7,7,7,7,7,7,7,8,9,9,9,9,11,14,14,14,16,16,22,23,23,24,25,25,27,28,29,29,32,32,34,38,41,44,45,47,47,50,53,59,62,65,71,81,87,91,96,104,109,118,122,134,138,146,152,157,165,167,171,183,188,197,209,228,238,247,254,265,276,292,307,322,331,343,358,373,390,412,432,440,458,481,499,516,532,540,548,548,549,551,551,551,551
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,6,7,7,7,7,9,10,11,11,11,12,13,15,15,15,16,16,17,17,18,18,19,19,23,27,28,31,37,37,38,38,40,42,47,50,56,61,68,72,82,85,90,91,93,103,109,115,122,130,140,151,159,167,171,179,187,197,213,229,242,249,268,288,308,321,336,361,388,412,438,470,511,541,580,614,688,724,766,818,883,941,992,1046,1088,1143,1202,1250,1293,1358,1412,1450,1511,1553,1606,1647,1683,1745,1809,1848,1859,1866,1896,1898,1899,1899
