Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,6,7,7,8,8,8,8,9,9,12,15,16,16,17,17,17,19,20,21,22,26,26,26,26,28,29,29,33,34,35,39,42,45,47,49,51,54,58,62,64,69,73,75,79,85,88,95,97,100,103,108,112,118,123,127,132,133,135,141,145,155,159,160,164,166,168,171,175,183,187,189,195,201,204,205,209,213,216,221,224,227,229,232,234,238,240,242,250,259,264,268,271,274,277,280,284,287,289,291,297,299,305,312,317,322,325,329,334,339,345,353,359,363,368,372,377,383,385,387,403,409,414,424,430,434,438,447,451,465,471,479,491,497,505,514,521,523,529,535,539,548,553,560,567,575,580,588,600,606,610,617,622,625,631,640,647,652,663,664,667,674,683,688,690,696,699,704,707,714,722,725,731,734,747,752,763,774,785,796,803,812,819,822,826,830,838,845,852,858,872,885,891,900,916,927,937,946,956,968,986,997,1014,1033,1040,1051,1059,1066,1076,1092,1102,1109,1121,1133,1146,1152,1156,1173,1189,1210,1225,1234,1244,1267,1281,1288,1303,1311,1321,1328,1337,1352,1360,1364,1371,1378,1387,1393,1402,1414,1422,1425,1430,1439,1448,1456,1464,1474,1480,1487,1491,1496,1503,1507,1514,1519,1526,1532,1537,1546,1558,1567,1574,1582,1594,1604,1615,1620,1631,1645,1654,1665,1676,1687,1707,1719,1731,1745,1757,1770,1777,1795,1810,1815,1830,1841,1857,1865,1871,1878,1893,1903,1907,1911,1913,1921,1924,1926,1926
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,12,14,19,20,30,35,41,46,53,63,75,83,94,111,122,142,158,174,188,203,221,240,264,282,300,328,349,378,400,423,449,463,493,524,552,578,612,648,677,708,737,775,811,838,869,910,962,995,1036,1057,1083,1112,1144,1179,1213,1243,1280,1298,1331,1361,1393,1422,1447,1476,1502,1541,1569,1601,1619,1649,1672,1705,1733,1764,1788,1806,1836,1860,1884,1897,1916,1939,1963,1987,2012,2037,2058,2074,2103,2134,2156,2181,2208,2237,2273,2316,2345,2368,2391,2421,2447,2471,2489,2510,2519,2543,2569,2588,2613,2639,2657,2678,2700,2716,2743,2759,2783,2804,2821,2844,2860,2876,2893,2916,2947,2961,2973,2986,3006,3014,3031,3052,3058,3070,3090,3104,3121,3150,3170,3182,3193,3206,3221,3234,3251,3262,3273,3283,3298,3307,3329,3343,3361,3378,3387,3400,3413,3421,3442,3451,3467,3476,3485,3497,3504,3523,3534,3546,3557,3569,3581,3590,3596,3606,3616,3635,3645,3650,3661,3671,3678,3689,3695,3700,3708,3715,3726,3739,3743,3751,3760,3768,3776,3792,3799,3809,3815,3826,3832,3843,3853,3863,3874,3882,3896,3904,3921,3937,3945,3958,3967,3975,3989,4009,4032,4040,4055,4072,4087,4096,4113,4126,4141,4154,4165,4180,4191,4203,4214,4228,4245,4273,4296,4316,4344,4371,4394,4413,4450,4475,4499,4528,4561,4597,4623,4656,4689,4721,4756,4781,4823,4864,4908,4942,4972,5012,5048,5101,5138,5181,5240,5284,5328,5375,5422,5466,5514,5562,5610,5654,5708,5760,5805,5841,5900,5932,5972,6013,6062,6116,6159,6200,6242,6288,6322,6360,6401,6435,6479,6511,6545,6588,6623,6665,6704,6732,6752,6786,6819,6846,6873,6889,6918,6939,6961,6984,7012,7033,7048,7066,7086,7099,7118,7139,7160,7179,7194,7200,7210,7219,7229,7233,7233
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,4,4,5,5,5,6,7,8,8,8,9,10,10,10,11,12,14,14,15,15,17,17,18,19,19,19,19,20,21,21,23,23,25,25,27,28,28,29,30,30,31,32,33,33,34,34,35,35,36,36,37,39,39,40,40,40,41,42,44,47,50,50,50,50,51,51,53,55,57,61,65,66,67,68,69,71,71,72,73,74,75,76,79,79,80,85,86,91,95,96,98,100,100,102,105,108,113,120,126,130,135,137,144,146,149,156,160,165,170,177,182,192,198,206,215,228,232,240,246,252,257,265,268,275,284,292,297,311,318,324,333,340,350,360,372,381,389,397,401,408,415,425,429,433,438,446,450,460,466,477,484,487,490,493,494,503,512,515,516,519,524,527,530,531,541,544,549,552,555,558,562,564,567,569,573,577,582,584,586,586,589,594,598,600,604,608,610,613,613,615,616,620,621,624,627,629,633,633,639,640,643,645,647,651,653,653,655,658,661,663,666,669,672,674,675,677,679,680,686,690,691,695,696,699,702,703,704,706,707,708,713,714,717,720,721,721,724,724,729,733,733,736,741,743,746,749,749,750,751,753,755,762,763,765,768,769,771,774,775,783,785,788,792,796,804,809,813,815,820,822,825,826,834,840,845,852,860,865,869,875,882,891,895,902,913,923,929,935,946,955,962,976,979,987,992,1002,1004,1010,1021,1025,1031,1042,1049,1063,1071,1080,1089,1095,1102,1112,1116,1119,1125,1127,1133,1137,1143,1143,1143
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,4,4,6,6,7,9,11,13,15,16,17,17,20,20,22,24,25,25,26,27,28,29,32,33,35,37,38,42,47,50,52,54,56,60,61,62,63,68,71,76,77,81,84,86,87,89,93,96,99,102,104,111,120,123,125,127,132,139,144,150,153,162,166,171,181,186,191,202,210,217,229,248,262,275,283,297,308,322,332,340,353,373,386,402,421,435,448,461,472,482,499,514,527,545,556,571,581,590,601,613,630,642,651,664,670,681,696,711,730,737,746,758,762,769,778,783,791,796,803,811,822,825,832,836,840,841,845,849,854,856,858,862,863,863,865,876,879,883,885,887,889,891,892,892,894,894,895,897,899,900,902,906,907,911,914,914,916,919,921,924,924,925,926,927,929,931,931,931,932,932,933,934,935,935,936,936,936,936,936,936,936,938,938,938,939,940,941,944,945,945,945,946,946,946,948,948,949,949,949,949,949,949,949,949,949,950,952,952,952,952,953,953,953,953,954,954,954,954,954,956,959,961,961,961,961,961,961,961,961,961,961,962,963,963,964,964,964,964,964,964,964,965,965,966,967,970,972,972,974,975,975,975,975,976,977,978,980,983,983,983,983,984,984,987,987,988,989,989,992,993,993,995,996,997,999,1002,1004,1005,1005,1007,1008,1010,1012,1012,1013,1014,1015,1018,1020,1022,1023,1025,1025,1028,1028,1029,1030,1030,1032,1036,1038,1038,1040,1040,1041,1043,1043,1043
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,4,4,4,5,5,5,6,7,7,7,7,8,9,10,11,13,17,17,17,20,21,22,25,29,36,41,46,51,54,56,59,65,70,82,89,91,101,109,120,133,137,148,161,173,187,198,213,238,260,276,296,306,331,357,383,398,409,433,446,459,474,496,510,526,537,549,560,578,596,618,630,646,660,686,697,715,728,736,748,763,781,790,808,819,833,847,861,877,887,904,916,928,939,947,950,962,972,978,981,989,995,999,1007,1010,1019,1024,1030,1040,1044,1054,1060,1066,1068,1068,1071,1077,1081,1084,1091,1097,1098,1099,1101,1103,1105,1109,1111,1113,1114,1115,1115,1118,1121,1124,1124,1126,1127,1127,1129,1129,1131,1133,1136,1136,1136,1136,1137,1137,1137,1140,1140,1141,1142,1143,1145,1145,1145,1146,1146,1146,1146,1146,1148,1151,1152,1152,1152,1152,1152,1152,1152,1153,1155,1158,1158,1159,1159,1159,1160,1161,1161,1161,1163,1163,1164,1165,1165,1165,1166,1166,1166,1166,1166,1166,1168,1168,1168,1168,1168,1168,1168,1170,1171,1171,1171,1173,1173,1173,1173,1173,1173,1175,1175,1175,1175,1176,1176,1176,1176,1176,1176,1176,1177,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1180,1182,1182,1182,1183,1184,1185,1188,1190,1193,1196,1197,1197,1197,1200,1200,1201,1201,1202,1202,1203,1206,1207,1211,1215,1219,1223,1224,1227,1228,1230,1239,1246,1249,1252,1254,1260,1263,1270,1273,1276,1280,1289,1298,1303,1308,1312,1316,1323,1326,1335,1343,1350,1355,1359,1363,1367,1369,1374,1378,1379,1381,1384,1388,1388,1390,1391,1393,1398,1400,1402,1404,1405,1405
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,13,19,23,24,25,29,32,34,41,44,51,57,62,70,81,88,91,107,116,123,130,137,146,155,170,179,190,201,207,219,237,249,261,274,282,292,307,321,331,336,345,359,375,383,388,399,412,416,426,440,448,460,471,481,487,499,510,519,526,539,555,569,585,596,605,619,628,636,650,660,671,683,691,697,703,709,719,726,732,740,749,753,761,769,777,784,789,799,804,809,821,833,841,854,866,879,888,901,910,915,921,927,932,944,954,961,974,981,989,996,1006,1015,1033,1047,1059,1066,1073,1079,1089,1104,1116,1128,1139,1147,1161,1168,1178,1189,1194,1199,1206,1212,1220,1224,1233,1240,1250,1259,1265,1274,1281,1290,1302,1314,1319,1325,1338,1345,1350,1360,1373,1378,1388,1394,1398,1405,1417,1424,1432,1439,1446,1453,1459,1474,1481,1487,1502,1519,1531,1536,1549,1559,1566,1573,1583,1595,1604,1620,1634,1649,1655,1667,1683,1706,1722,1731,1751,1773,1805,1835,1870,1894,1926,1970,2009,2057,2097,2136,2172,2216,2274,2345,2391,2442,2507,2574,2633,2691,2747,2812,2881,2929,2993,3068,3134,3182,3233,3289,3347,3392,3441,3480,3528,3582,3640,3684,3722,3764,3811,3853,3883,3921,3951,3988,4026,4056,4091,4119,4152,4183,4208,4234,4256,4273,4299,4309,4328,4346,4366,4378,4395,4417,4435,4449,4460,4471,4492,4509,4522,4528,4540,4552,4566,4584,4595,4613,4620,4637,4643,4657,4666,4673,4685,4703,4716,4723,4737,4745,4754,4771,4780,4797,4814,4827,4837,4843,4856,4870,4876,4887,4891,4901,4910,4922,4929,4940,4953,4964,4970,4977,4983,4993,5005,5015,5024,5033,5038,5046,5049,5054,5060,5069,5074,5079,5080,5082,5082,5082
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,5,5,6,9,13,15,17,21,28,34,40,47,53,59,75,86,92,109,134,158,169,184,210,234,260,282,312,348,384,433,463,508,562,628,697,752,799,884,977,1068,1133,1213,1289,1379,1472,1548,1637,1718,1814,1899,2007,2108,2221,2338,2448,2575,2706,2824,2923,3051,3156,3260,3374,3485,3597,3696,3801,3899,3990,4111,4220,4306,4417,4523,4625,4733,4838,4951,5049,5153,5259,5367,5480,5576,5646,5752,5851,5942,6025,6087,6172,6239,6303,6360,6411,6478,6554,6611,6659,6725,6797,6857,6916,6988,7047,7114,7184,7231,7285,7327,7382,7448,7498,7562,7632,7685,7740,7804,7857,7907,7959,7997,8048,8089,8145,8198,8243,8288,8322,8379,8423,8466,8517,8571,8625,8682,8722,8773,8836,8869,8916,8956,8999,9044,9087,9129,9170,9211,9255,9297,9347,9384,9425,9475,9518,9572,9615,9652,9699,9750,9795,9840,9899,9945,9987,10034,10078,10124,10167,10205,10247,10294,10345,10396,10440,10485,10537,10576,10618,10661,10700,10734,10769,10815,10867,10906,10947,10992,11045,11081,11135,11177,11213,11259,11305,11350,11408,11453,11487,11527,11568,11616,11658,11707,11750,11795,11828,11870,11913,11964,12017,12060,12115,12158,12210,12250,12297,12343,12384,12442,12482,12526,12575,12630,12677,12716,12778,12835,12884,12935,12987,13037,13093,13138,13210,13274,13335,13390,13461,13524,13588,13652,13722,13789,13865,13949,14014,14085,14158,14239,14314,14378,14467,14573,14659,14731,14822,14901,14984,15103,15205,15307,15418,15531,15641,15752,15872,15999,16130,16267,16398,16534,16671,16806,16952,17088,17230,17354,17509,17675,17816,17976,18134,18274,18426,18599,18782,18958,19123,19300,19445,19615,19785,19973,20174,20356,20530,20711,20897,21072,21259,21446,21665,21867,22038,22213,22404,22605,22820,23042,23210,23378,23532,23705,23879,24060,24210,24361,24482,24605,24729,24857,24984,25114,25222,25315,25422,25536,25640,25721,25813,25833,25834
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,5,7,8,10,11,14,14,15,16,16,16,17,22,23,26,26,26,28,33,35,37,39,41,43,45,45,47,47,47,47,48,50,54,55,58,59,60,61,63,66,66,66,67,70,74,76,76,76,78,79,80,82,88,90,93,93,96,101,102,103,104,106,110,113,119,123,131,138,142,147,155,159,163,171,177,184,196,199,205,209,223,231,237,249,256,269,279,287,306,323,337,351,372,391,402,417,437,452,471,483,500,514,534,557,585,611,629,647,667,691,721,741,764,780,801,814,831,858,877,914,933,967,989,1015,1041,1066,1088,1118,1139,1158,1188,1208,1244,1262,1280,1301,1326,1349,1376,1391,1405,1427,1443,1457,1475,1489,1507,1522,1553,1567,1584,1611,1632,1653,1667,1683,1698,1710,1731,1747,1764,1776,1797,1816,1827,1844,1856,1866,1880,1887,1904,1918,1927,1944,1953,1967,1983,1993,2004,2018,2026,2035,2047,2054,2074,2081,2090,2100,2109,2120,2133,2143,2155,2172,2178,2196,2212,2226,2246,2262,2279,2298,2318,2339,2362,2384,2415,2447,2479,2496,2520,2546,2568,2591,2625,2649,2684,2727,2756,2779,2810,2859,2897,2921,2963,3004,3034,3060,3087,3116,3142,3173,3208,3244,3284,3317,3350,3379,3400,3437,3478,3516,3548,3576,3600,3630,3650,3670,3700,3722,3752,3784,3819,3848,3868,3892,3919,3934,3961,3980,4007,4026,4043,4071,4099,4122,4145,4173,4194,4218,4241,4260,4279,4304,4339,4371,4397,4429,4453,4482,4500,4532,4567,4602,4640,4664,4687,4737,4764,4796,4826,4884,4920,4963,4990,5031,5059,5087,5136,5172,5194,5218,5247,5274,5290,5316,5343,5361,5383,5405,5434,5445,5456,5475,5492,5511,5525,5532,5546,5557,5568,5573,5573
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,6,7,7,7,7,7,7,8,8,8,8,9,10,10,11,11,13,14,15,15,19,19,21,22,22,23,23,25,26,26,27,27,28,30,32,32,32,34,35,36,37,38,39,41,43,45,47,51,54,56,60,61,66,67,70,72,72,75,78,79,79,81,84,87,87,90,94,98,109,115,122,126,132,137,144,146,149,154,161,169,170,180,183,187,194,198,202,209,216,226,230,240,245,253,261,265,273,284,293,302,305,312,320,325,329,339,342,347,354,363,372,379,385,396,402,409,414,421,423,430,441,445,445,453,457,463,466,473,478,483,487,493,497,505,509,514,518,520,526,530,536,543,547,554,556,560,562,565,573,580,583,588,598,604,608,615,618,622,626,631,637,646,649,651,658,665,672,678,682,686,688,693,696,702,706,710,711,713,715,718,718,720,724,728,730,735,737,739,741,743,744,747,749,751,753,754,756,756,756,758,759,761,763,764,766,767,772,774,776,776,777,778,778,779,779,782,783,784,786,787,788,789,790,794,797,799,799,799,799,799,802,803,803,804,807,808,811,812,812,814,814,814,818,821,823,829,832,836,838,844,848,849,851,855,860,863,867,869,873,878,889,892,897,903,906,912,916,923,928,934,940,946,948,949,954,960,969,975,981,988,991,993,998,1004,1009,1013,1018,1023,1025,1027,1027
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,7,8,8,9,9,9,10,12,13,13,13,13,13,15,16,16,16,16,17,20,23,25,26,26,26,31,32,32,32,35,38,40,42,46,49,49,52,53,57,58,60,64,68,70,73,75,81,85,92,96,102,108,114,123,125,129,130,133,136,140,145,150,156,158,164,166,168,175,180,182,185,189,193,201,208,215,217,227,234,238,247,251,259,265,271,274,284,286,290,297,298,307,312,316,317,321,329,339,343,347,353,362,371,374,381,387,396,400,406,407,412,418,422,425,427,432,443,446,449,455,460,464,473,478,486,498,506,511,517,523,530,539,543,550,554,558,566,574,578,584,590,596,603,607,619,623,626,631,633,637,640,645,650,656,663,669,673,674,679,686,691,699,702,706,707,716,721,724,727,733,742,748,754,764,770,772,783,787,798,815,821,833,845,855,871,889,906,919,938,950,961,973,987,999,1017,1033,1052,1066,1080,1094,1111,1121,1130,1147,1170,1179,1187,1199,1212,1224,1242,1254,1269,1285,1302,1322,1339,1353,1369,1384,1401,1412,1433,1447,1462,1473,1492,1501,1504,1509,1518,1532,1539,1546,1554,1561,1569,1578,1586,1593,1599,1610,1618,1624,1632,1643,1644,1648,1657,1669,1681,1689,1696,1706,1712,1718,1723,1728,1741,1748,1756,1764,1775,1784,1795,1801,1813,1827,1837,1846,1851,1859,1869,1879,1885,1893,1901,1913,1921,1932,1939,1950,1953,1954,1962,1970,1977,1979,1988,1997,2005,2010,2014,2020,2023,2028,2029,2033,2033,2033
