Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,6,7,9,10,11,15,15,32,36,42,47,50,54,55,55,55,57,57,59,63,64,65,65,68,69,71,80,82,94,101,119,132,135,152,165,176,197,208,209,216,233,265,282,309,313,316,320,370,382,398,422,436,436,440,451,495,509,533,561,564,571,608,629,656,686,710,728,737,776,815,850,895,937,952,972,1034,1092,1152,1196,1257,1279,1307,1380,1447,1510,1573,1633,1667,1690,1772,1830,1904,1968,2038,2053,2079,2147,2200,2250,2319,2375,2392,2403,2442,2481,2560,2631,2699,2710,2718,2809,2928,2981,3024,3101,3122,3154,3236,3318,3400,3485,3558,3580,3595,3646,3743,3795,3868,3940,3958,3979,4048,4111,4170,4228,4291,4327,4344,4405,4476,4525,4566,4609,4631,4650,4728,4779,4837,4900,4953,4968,5001,5091,5171,5237,5292,5358,5398,5433,5499,5568,5669,5727,5797,5840,5863,5955,6015,6094,6170,6218,6237,6260,6336,6392,6454,6511,6563,6577,6590,6658,6674,6697,6800,6855,6883,6908,6994,7061,7142,7218,7272,7294,7309,7404,7499,7584,7638,7711,7726,7743,7848,7941,8010,8085,8164,8183,8207,8323,8414,8505,8603,8699,8719,8751,8906,9020,9130,9242,9381,9426,9458,9620,9814,9987,10151,10322,10360,10386,10614,10788,10916,11029,11198,11227,11270,11408,11520,11719,11933,12084,12120,12154,12195,12459,12726,12967,13185,13239,13288,13546,13802,13999,14186,14345,14397,14437,14636,14823,15018,15164,15287,15320,15368,15507,15628,15758,15857,15952,15970,15994,16107,16229,16315,16383,16465,16479,16498,16616,16723,16768,16788,16794,16802,16803,16805,16805
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,6,10,15,21,24,26,36,45,52,63,79,86,107,136,180,247,277,315,340,360,430,471,529,587,636,668,712,793,897,999,1083,1182,1227,1271,1382,1490,1581,1693,1780,1824,1893,2005,2103,2212,2301,2393,2471,2562,2707,2848,2966,3089,3231,3306,3375,3505,3631,3760,3874,4021,4094,4166,4382,4538,4708,4940,5150,5216,5298,5433,5568,5698,5816,5932,6016,6087,6240,6412,6575,6727,6879,6985,7054,7226,7401,7550,7698,7813,7900,7993,8174,8363,8514,8661,8837,8925,8987,9196,9392,9572,9747,9921,10032,10095,10302,10503,10688,10881,11047,11120,11217,11433,11646,11859,12025,12157,12219,12298,12467,12644,12828,12989,13134,13221,13315,13477,13620,13763,13887,14025,14105,14169,14319,14453,14577,14710,14867,14935,15000,15150,15300,15418,15533,15647,15711,15758,15928,16047,16159,16271,16371,16411,16461,16630,16756,16879,17015,17114,17160,17206,17356,17464,17557,17671,17781,17821,17860,18054,18239,18396,18558,18682,18746,18782,18940,19062,19173,19279,19383,19419,19450,19564,19614,19646,19766,19866,19902,19939,20036,20139,20245,20322,20403,20430,20458,20568,20662,20790,20897,20981,21028,21059,21199,21335,21464,21556,21629,21670,21707,21837,21970,22101,22223,22312,22358,22407,22555,22694,22835,22968,23113,23158,23196,23356,23479,23596,23684,23778,23828,23871,24017,24147,24291,24389,24502,24562,24609,24761,24861,24981,25074,25171,25238,25297,25371,25559,25778,25994,26199,26325,26425,26746,27053,27367,27665,27928,28048,28159,28482,28843,29136,29405,29655,29810,29918,30227,30540,30806,31092,31374,31501,31606,31898,32197,32459,32678,32857,32944,33059,33324,33499,33627,33682,33710,33736,33744,33776,33776
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,8,10,10,12,16,20,21,35,42,47,58,74,79,84,107,131,155,177,186,193,198,213,230,235,244,250,253,261,268,280,285,294,307,312,319,329,333,337,351,353,362,368,375,387,397,408,417,423,433,440,456,469,477,482,493,496,507,522,539,547,562,569,578,595,609,630,648,670,683,691,727,744,760,782,804,818,838,891,929,976,1005,1030,1052,1073,1124,1154,1200,1248,1267,1301,1319,1350,1396,1449,1503,1544,1589,1623,1689,1747,1819,1888,1951,2007,2056,2145,2257,2348,2474,2591,2629,2678,2806,2925,3056,3173,3263,3325,3364,3520,3629,3744,3886,3992,4058,4097,4269,4423,4540,4694,4794,4861,4902,5063,5209,5359,5482,5593,5675,5718,5858,5980,6106,6247,6377,6432,6479,6621,6759,6855,6890,6968,7043,7092,7234,7333,7439,7560,7628,7680,7742,7871,7988,8121,8235,8338,8396,8435,8571,8697,8801,8885,8978,9043,9071,9170,9261,9316,9404,9518,9582,9601,9708,9792,9876,9958,10050,10107,10126,10220,10318,10397,10481,10552,10594,10622,10722,10801,10870,10959,11053,11101,11123,11235,11328,11404,11499,11618,11675,11698,11811,11903,12006,12087,12184,12242,12261,12375,12469,12556,12641,12707,12740,12765,12851,12922,13002,13076,13134,13163,13187,13301,13386,13462,13555,13617,13648,13668,13699,13787,13878,13970,14041,14080,14110,14211,14314,14399,14496,14571,14617,14648,14763,14888,14996,15087,15187,15233,15255,15365,15483,15583,15722,15840,15915,15942,16090,16245,16364,16491,16606,16665,16691,16817,16922,17035,17121,17129,17196,17224,17280,17280
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,7,7,8,8,8,8,10,11,11,14,17,17,17,19,20,25,27,29,33,36,40,43,49,51,56,63,69,76,80,86,94,98,104,112,120,126,137,148,166,175,191,202,216,230,237,261,281,297,309,324,339,354,371,392,416,432,457,474,488,521,557,588,617,637,656,663,701,724,743,782,823,847,870,913,972,1041,1115,1149,1176,1197,1295,1379,1487,1575,1674,1728,1766,1870,1962,2049,2139,2238,2290,2339,2411,2500,2570,2664,2723,2755,2792,2872,2963,3054,3152,3260,3312,3375,3496,3573,3691,3805,3905,3951,4002,4118,4224,4313,4398,4484,4518,4542,4612,4697,4765,4830,4891,4929,4961,5014,5080,5131,5178,5204,5221,5237,5278,5306,5343,5379,5392,5405,5419,5450,5493,5525,5550,5612,5626,5637,5670,5700,5720,5744,5789,5797,5803,5835,5852,5880,5904,5920,5923,5930,5948,5960,5971,5981,6013,6024,6031,6045,6048,6051,6060,6101,6104,6110,6132,6138,6152,6167,6182,6191,6196,6212,6226,6239,6253,6273,6273,6278,6296,6303,6316,6323,6342,6344,6345,6358,6370,6383,6396,6418,6424,6426,6444,6454,6459,6475,6485,6487,6491,6522,6536,6554,6560,6578,6580,6580,6589,6594,6614,6621,6626,6632,6637,6649,6655,6667,6679,6698,6701,6707,6712,6724,6746,6750,6769,6771,6777,6801,6813,6839,6861,6874,6877,6878,6897,6911,6927,6942,6961,6967,6969,6987,6999,7020,7025,7051,7060,7063,7097,7114,7143,7159,7179,7181,7186,7201,7207,7216,7228,7229,7233,7233,7233,7233
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,5,7,7,12,13,13,15,17,21,23,28,29,30,35,37,43,46,49,50,50,55,60,66,69,79,83,90,100,109,120,135,148,157,169,190,199,218,231,250,259,273,304,332,367,402,438,461,482,514,561,629,695,777,817,851,944,1008,1082,1186,1285,1340,1390,1536,1668,1793,1934,2060,2130,2200,2346,2490,2604,2713,2841,2912,2986,3126,3256,3366,3462,3569,3637,3698,3792,3884,3994,4088,4171,4224,4263,4359,4445,4542,4631,4716,4759,4805,4874,4928,4993,5047,5109,5151,5174,5216,5260,5295,5326,5367,5388,5415,5502,5606,5658,5716,5758,5779,5845,5898,5934,5984,6012,6064,6082,6108,6154,6196,6229,6251,6291,6314,6331,6360,6399,6447,6483,6499,6511,6526,6555,6576,6595,6630,6651,6660,6670,6696,6718,6739,6768,6804,6818,6827,6841,6864,6880,6891,6899,6904,6911,6929,6950,6962,6975,6990,6999,7006,7025,7040,7058,7084,7094,7103,7107,7125,7138,7141,7160,7175,7185,7189,7211,7226,7239,7255,7260,7269,7281,7298,7313,7324,7339,7351,7356,7358,7373,7383,7392,7402,7410,7418,7422,7439,7447,7454,7472,7478,7481,7482,7498,7502,7509,7519,7525,7528,7533,7541,7550,7555,7563,7566,7567,7568,7572,7576,7579,7583,7587,7588,7590,7597,7607,7623,7642,7646,7649,7650,7655,7670,7686,7698,7711,7711,7716,7731,7739,7745,7756,7764,7768,7772,7787,7807,7822,7843,7867,7874,7877,7897,7919,7939,7966,7991,7996,8012,8045,8064,8093,8124,8140,8148,8156,8174,8191,8211,8218,8221,8227,8227,8228,8228
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,5,7,10,12,13,13,14,17,20,22,24,29,34,40,48,57,62,72,86,100,109,121,132,145,162,173,194,214,237,268,291,315,342,387,430,470,529,582,624,654,712,771,844,919,975,1026,1059,1123,1212,1288,1364,1429,1478,1530,1607,1666,1751,1830,1903,1960,2015,2105,2179,2255,2358,2439,2508,2539,2636,2706,2777,2835,2926,2954,2993,3077,3163,3225,3276,3354,3397,3426,3504,3565,3639,3706,3757,3782,3807,3865,3948,4006,4069,4135,4174,4200,4260,4320,4386,4439,4523,4560,4583,4664,4756,4864,4959,5040,5076,5117,5209,5303,5405,5486,5616,5676,5710,5839,5940,6056,6166,6264,6315,6358,6476,6586,6719,6849,6958,7011,7061,7164,7282,7396,7518,7606,7678,7720,7824,7946,8062,8162,8275,8347,8391,8485,8612,8708,8827,8936,8995,9035,9140,9242,9358,9471,9576,9630,9667,9789,9927,10104,10230,10331,10398,10444,10579,10759,10900,11013,11105,11153,11194,11334,11452,11580,11683,11790,11848,11867,11990,12111,12183,12292,12447,12509,12572,12754,12905,13045,13165,13305,13361,13416,13602,13822,14015,14202,14398,14486,14569,14903,15239,15582,15971,16404,16715,16889,17301,17959,18647,19246,19847,20278,20505,21253,22096,22676,23282,23819,24130,24396,25065,25647,26043,26434,26903,27123,27344,27685,28110,28543,28935,29256,29408,29536,29870,30194,30513,30891,31183,31330,31425,31572,31908,32181,32460,32757,32866,32947,33147,33364,33560,33755,33913,33996,34067,34225,34382,34506,34609,34696,34741,34781,34875,34996,35124,35223,35287,35346,35376,35460,35547,35653,35740,35804,35833,35866,35901,35958,36004,36017,36020,36026,36030,36032,36032
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,5,5,5,6,7,9,9,10,11,11,14,28,46,71,92,102,129,165,197,261,297,319,338,378,442,488,556,618,679,718,801,860,927,1006,1099,1162,1221,1359,1500,1632,1773,1938,2061,2181,2460,2725,2966,3234,3581,3784,3989,4464,4919,5348,5729,6278,6561,6807,7338,7915,8509,9083,9440,9774,10081,10830,11439,12145,12883,13704,14114,14494,15331,16184,17094,17915,18872,19486,19862,20956,21989,23039,24022,24948,25430,25783,26824,27741,28734,29577,30516,31073,31484,32549,33477,34456,35389,36346,36868,37254,38279,39284,40244,41129,42058,42462,42804,43736,44727,45670,46607,47497,47939,48212,49082,49974,50777,51604,52511,52880,53189,54159,55086,56085,56962,57899,58276,58515,59508,60459,61414,62167,63040,63439,63694,64765,65693,66912,68045,69224,69884,70143,71298,72458,73660,74777,75846,76398,76663,77720,78784,79852,80898,81841,82377,82628,83505,84535,85554,86483,87478,87984,88175,89066,90091,91107,92112,93149,93635,93821,94832,96017,97163,98121,99203,99711,99985,101066,102133,103555,104798,106053,106783,107034,108076,109500,110966,112313,113551,114208,114468,115450,116805,118089,119284,120479,121213,121433,122396,123178,123397,124677,125832,126483,126746,127713,128969,130170,131325,132484,133236,133535,134662,135899,137113,138292,139335,139899,140127,141155,142373,143608,144802,146004,146555,146851,148098,149454,150679,152009,153533,154203,154517,156380,158345,160064,161829,163708,164483,164791,166746,168656,170572,172244,173767,174450,174741,175363,177499,179456,181368,183104,183911,184231,186592,188871,190959,192955,194952,195845,196254,196672,199122,201258,203215,205257,206458,206898,209692,212604,215252,218007,220939,222525,223085,226723,230531,234666,238818,243101,245622,246340,251365,256035,260723,265509,270170,272644,273264,278238,283025,287620,292164,296852,299327,299974,304669,308907,312588,315571,315905,317065,317548,320240,320251
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,6,8,11,15,15,15,16,22,22,25,29,33,41,59,73,94,117,142,153,157,183,191,210,216,230,239,246,261,278,294,300,311,320,329,338,360,374,384,397,400,404,428,446,459,479,494,499,504,530,561,595,618,637,647,662,691,722,739,771,808,825,837,899,947,989,1053,1098,1135,1152,1206,1261,1331,1386,1479,1515,1550,1652,1729,1802,1880,1969,2007,2049,2189,2318,2443,2571,2707,2764,2809,2978,3167,3347,3552,3760,3879,3943,4217,4551,4798,5001,5248,5424,5532,5866,6173,6495,6742,7069,7263,7404,7711,8072,8385,8696,8974,9093,9178,9566,9934,10230,10524,10826,10989,11091,11400,11728,12034,12362,12707,12883,12990,13420,13813,14138,14479,14734,14961,15026,15363,15771,16135,16492,16830,17030,17115,17498,17876,18168,18469,18773,18986,19118,19400,19687,19999,20297,20689,20847,20951,21262,21537,21855,22123,22377,22504,22555,22793,23029,23227,23410,23595,23693,23783,23984,24196,24352,24498,24635,24701,24768,24946,25065,25158,25356,25506,25592,25637,25844,26025,26193,26361,26522,26648,26709,26897,27131,27344,27536,27735,27860,27964,28219,28538,28781,29012,29242,29393,29496,29792,30135,30400,30675,30916,31061,31196,31541,31931,32314,32691,33065,33264,33415,33770,34116,34412,34727,35009,35157,35249,35532,35912,36211,36528,36857,37036,37151,37519,37957,38375,38716,39015,39202,39308,39468,39807,40152,40425,40736,40896,40998,41263,41569,41856,42128,42439,42554,42674,42952,43284,43541,43842,44131,44244,44317,44577,44891,45141,45422,45655,45796,45883,46194,46511,46804,47117,47335,47474,47597,47871,48198,48436,48555,48577,48650,48714,48772,48772
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,7,7,7,7,7,7,7,7,7,7,8,10,10,10,11,13,15,16,17,18,19,20,23,25,26,26,28,28,28,31,32,32,34,37,42,43,44,46,49,50,52,58,62,74,78,81,86,93,100,109,113,120,124,131,138,145,150,157,165,171,175,186,198,209,218,229,240,244,257,272,284,300,313,324,332,347,371,388,406,433,444,461,482,505,526,551,578,595,608,629,651,687,705,739,752,766,799,835,869,907,967,995,1018,1077,1136,1185,1257,1308,1351,1388,1451,1516,1595,1668,1730,1772,1813,1863,1933,1986,2050,2094,2119,2153,2229,2304,2370,2437,2494,2526,2561,2631,2704,2783,2854,2934,2977,3020,3095,3159,3234,3317,3384,3426,3469,3548,3631,3703,3762,3822,3857,3889,3971,4023,4071,4107,4151,4173,4197,4251,4300,4332,4373,4423,4443,4470,4519,4568,4592,4637,4701,4740,4775,4833,4909,4966,5036,5084,5121,5146,5221,5291,5366,5419,5475,5510,5532,5589,5653,5709,5782,5855,5888,5917,5965,6021,6068,6117,6193,6227,6254,6295,6345,6386,6422,6458,6478,6494,6533,6585,6624,6660,6695,6714,6732,6761,6789,6823,6854,6878,6897,6910,6940,6970,7000,7009,7021,7024,7031,7038,7068,7104,7128,7142,7157,7163,7189,7212,7232,7255,7276,7289,7305,7328,7351,7376,7402,7419,7435,7446,7468,7486,7510,7529,7546,7562,7578,7601,7609,7639,7662,7678,7696,7711,7740,7766,7788,7811,7819,7831,7832,7832,7832
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,5,5,5,6,6,7,8,9,9,9,9,9,11,13,14,14,14,15,15,16,16,17,18,18,19,19,19,19,21,23,23,25,35,39,43,45,47,49,54,62,67,70,78,80,86,92,99,102,105,110,121,131,133,134,140,151,161,173,189,192,200,215,222,245,265,289,295,311,338,360,387,410,443,480,492,531,571,604,648,729,751,771,843,914,963,1022,1074,1091,1109,1181,1272,1341,1423,1477,1492,1509,1581,1686,1779,1850,1939,1991,2029,2089,2179,2287,2350,2427,2448,2468,2538,2605,2686,2800,2873,2902,2927,3033,3118,3205,3289,3373,3403,3417,3525,3641,3727,3816,3888,3910,3950,4071,4170,4269,4344,4432,4470,4487,4595,4672,4756,4859,4927,4950,4972,5070,5194,5284,5385,5476,5493,5512,5631,5745,5816,5919,6021,6056,6082,6216,6323,6441,6546,6658,6679,6704,6842,6981,7154,7259,7369,7394,7428,7551,7657,7763,7861,7975,7993,8016,8114,8190,8205,8312,8429,8450,8479,8626,8734,8842,8937,9045,9059,9081,9199,9311,9438,9550,9661,9676,9698,9858,10004,10204,10381,10550,10578,10614,10885,11096,11287,11535,11751,11807,11858,12181,12502,12852,13162,13463,13556,13640,14013,14434,14779,15067,15359,15429,15489,15743,16068,16447,16726,16974,17040,17113,17382,17629,17904,18206,18493,18621,18665,18792,19175,19494,19771,20061,20117,20190,20546,20857,21081,21373,21621,21659,21731,21993,22232,22465,22647,22802,22820,22847,23017,23210,23351,23480,23596,23626,23648,23793,23961,24088,24210,24338,24357,24373,24500,24642,24747,24803,24808,24826,24839,24893,24893
