Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,6,8,10,14,16,19,19,24,33,38,43,47,53,55,58,62,62,63,66,67,67,69,73,76,78,81,86,92,99,107,120,131,141,152,168,175,194,200,211,229,241,251,262,295,307,324,348,359,380,392,415,437,446,465,476,483,503,534,548,569,590,612,627,645,668,689,726,759,790,813,843,886,933,964,1007,1042,1080,1120,1197,1255,1292,1329,1392,1453,1500,1571,1621,1681,1719,1766,1813,1873,1954,2016,2067,2125,2169,2220,2268,2335,2377,2424,2469,2508,2557,2600,2655,2713,2792,2847,2888,2930,3000,3075,3142,3198,3249,3314,3371,3432,3506,3579,3647,3684,3746,3797,3850,3915,3968,4022,4080,4128,4177,4221,4283,4331,4382,4428,4463,4525,4562,4622,4670,4700,4730,4772,4827,4875,4948,4996,5049,5092,5176,5253,5308,5378,5431,5493,5558,5611,5667,5729,5793,5872,5919,5981,6036,6080,6133,6216,6285,6331,6376,6412,6469,6508,6565,6609,6662,6708,6742,6784,6810,6870,6916,6957,7024,7082,7129,7205,7266,7314,7367,7427,7490,7551,7599,7680,7742,7802,7879,7948,8014,8076,8155,8234,8299,8380,8449,8528,8586,8696,8781,8866,8967,9068,9141,9224,9371,9495,9615,9731,9849,9965,10093,10258,10403,10547,10667,10782,10885,10996,11160,11302,11418,11523,11629,11735,11863,12044,12226,12391,12533,12689,12806,12941,13091,13290,13460,13673,13882,13996,14157,14351,14489,14576,14699,14811,14905,15044,15208,15353,15466,15561,15652,15740,15817,15914,16002,16075,16150,16249,16316,16413,16516,16582,16660,16726,16782,16838,16908,17002,17086,17156,17218,17287,17353,17434,17533,17611,17689,17748,17853,17975,18082,18230,18369,18515,18647,18780,18897,19051,19213,19352,19481,19575,19719,19860,19995,20206,20355,20537,20660,20784,20876,20973,21088,21178,21260,21314,21381,21434,21492,21540,21590,21614,21632,21638,21640,21640,21640
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,6,10,13,16,21,26,37,47,62,68,74,92,112,132,156,183,208,245,287,320,373,438,487,539,583,638,691,768,851,963,1040,1129,1201,1289,1368,1439,1532,1613,1707,1828,1906,2009,2081,2155,2252,2348,2440,2530,2601,2713,2873,3004,3100,3211,3310,3423,3532,3677,3774,3924,4042,4163,4290,4397,4583,4696,4817,4982,5123,5281,5442,5598,5703,5822,5958,6065,6175,6295,6403,6501,6631,6800,6933,7064,7176,7331,7470,7600,7755,7920,8081,8209,8355,8478,8609,8817,8959,9113,9229,9385,9601,9741,9877,10055,10197,10383,10538,10668,10798,10979,11170,11373,11505,11656,11776,11956,12111,12272,12470,12597,12752,12884,13007,13145,13272,13429,13552,13679,13800,13924,14082,14198,14305,14392,14514,14624,14718,14847,14945,15042,15148,15289,15413,15511,15645,15760,15865,15949,16045,16155,16264,16394,16499,16594,16678,16787,16875,16973,17086,17197,17290,17379,17479,17579,17675,17802,17896,17992,18104,18219,18330,18446,18598,18733,18834,18934,19051,19131,19236,19339,19414,19496,19571,19642,19709,19763,19827,19925,19989,20081,20157,20236,20335,20410,20484,20551,20615,20708,20793,20881,20987,21064,21159,21243,21341,21444,21525,21650,21740,21802,21875,21977,22099,22201,22347,22435,22529,22628,22732,22840,22938,23059,23181,23287,23402,23507,23609,23724,23812,23903,23999,24087,24177,24277,24440,24553,24639,24739,24854,24968,25069,25153,25260,25371,25463,25587,25705,25850,26042,26258,26468,26705,26943,27249,27478,27734,28033,28272,28490,28716,28945,29201,29461,29782,30115,30349,30592,30848,31137,31411,31761,32054,32329,32629,32894,33143,33404,33690,33955,34142,34365,34602,34831,35091,35270,35446,35602,35806,36036,36296,36513,36768,36910,37084,37326,37638,37923,38220,38543,38798,39037,39256,39477,39668,39914,40116,40304,40482,40664,40874,41033,41210,41390,41548,41713,41838,41954,42096,42245,42353,42484,42574,42655,42719,42791,42857,42944,43011,43049,43074,43080,43083,43083,43083
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,5,6,7,7,8,12,17,22,24,29,35,43,53,57,72,84,102,118,138,158,178,191,197,205,211,223,236,246,254,261,267,272,279,290,296,310,311,323,328,338,347,351,354,357,362,373,389,395,402,408,424,429,440,449,454,465,472,484,498,510,523,533,547,565,572,591,597,610,627,647,661,680,696,712,732,750,760,789,826,856,886,906,940,980,1021,1055,1096,1127,1146,1184,1212,1259,1288,1320,1367,1398,1445,1477,1513,1559,1607,1671,1722,1761,1814,1887,1980,2072,2137,2203,2283,2347,2473,2575,2676,2767,2881,2969,3073,3184,3283,3381,3458,3552,3639,3753,3898,3995,4082,4178,4300,4411,4548,4672,4786,4882,4984,5087,5220,5345,5459,5573,5680,5787,5876,5967,6068,6210,6312,6410,6509,6595,6678,6786,6892,6992,7051,7153,7223,7288,7402,7511,7625,7729,7789,7861,7963,8064,8188,8309,8402,8493,8569,8647,8754,8857,8951,9020,9106,9192,9239,9311,9403,9481,9534,9642,9716,9779,9865,9935,10020,10098,10166,10241,10289,10377,10460,10524,10593,10673,10749,10807,10892,10970,11037,11091,11171,11241,11311,11398,11506,11595,11663,11746,11832,11902,12000,12079,12170,12241,12316,12391,12472,12553,12639,12706,12767,12821,12872,12915,13003,13078,13162,13222,13288,13338,13403,13471,13546,13637,13684,13731,13777,13817,13895,13975,14044,14103,14170,14259,14296,14386,14472,14559,14652,14733,14796,14866,14980,15059,15172,15248,15339,15411,15480,15581,15690,15792,15872,15987,16099,16201,16332,16464,16582,16674,16769,16852,16952,17096,17201,17295,17375,17489,17621,17739,17937,18101,18248,18357,18471,18725,18881,19106,19355,19580,19748,19924,20144,20286,20526,20721,20909,21083,21262,21438,21587,21815,22049,22273,22504,22680,22839,22995,23145,23351,23540,23676,23826,23898,23986,24103,24281,24385,24467,24527,24532,24532,24532,24532
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,6,6,8,8,9,11,11,13,14,15,16,21,23,24,26,27,31,32,36,42,44,49,51,56,60,64,68,74,84,89,98,104,113,124,129,141,145,155,165,182,197,207,226,244,257,264,280,297,321,347,369,382,398,414,436,460,477,495,523,549,577,610,627,669,689,709,730,756,786,813,862,887,930,959,1014,1067,1121,1183,1235,1321,1384,1460,1547,1604,1708,1783,1855,1948,2036,2148,2209,2281,2354,2435,2504,2594,2654,2725,2794,2867,2993,3087,3176,3251,3329,3403,3487,3566,3647,3776,3873,3947,4024,4108,4225,4304,4377,4445,4512,4600,4653,4710,4763,4818,4889,4937,4992,5045,5083,5115,5137,5203,5238,5270,5296,5321,5340,5357,5386,5412,5447,5471,5496,5513,5540,5585,5613,5640,5666,5691,5735,5764,5779,5794,5817,5836,5857,5877,5895,5906,5922,5933,5957,5969,5973,5985,5997,6006,6013,6023,6037,6062,6074,6082,6088,6101,6119,6131,6138,6152,6162,6190,6200,6210,6217,6228,6248,6254,6260,6274,6282,6293,6316,6329,6341,6345,6356,6362,6373,6386,6397,6412,6423,6431,6438,6442,6453,6467,6470,6481,6491,6510,6517,6531,6543,6555,6565,6571,6579,6589,6599,6608,6612,6620,6627,6634,6645,6659,6672,6678,6689,6697,6712,6719,6725,6733,6745,6762,6770,6788,6792,6806,6827,6838,6850,6866,6878,6899,6911,6916,6937,6943,6960,6992,7001,7011,7025,7038,7047,7063,7082,7101,7123,7144,7158,7166,7183,7199,7216,7229,7246,7257,7283,7297,7313,7319,7333,7354,7370,7385,7402,7420,7440,7466,7498,7513,7539,7556,7581,7604,7623,7645,7673,7709,7733,7748,7763,7791,7819,7850,7878,7908,7929,7945,7967,7993,8005,8028,8051,8064,8078,8087,8103,8109,8112,8119,8122,8122,8123,8123,8123,8123,8123
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,5,7,10,14,15,19,19,22,26,27,29,31,33,35,39,43,45,47,52,56,58,60,66,69,77,83,92,105,112,122,129,149,155,169,184,195,215,229,244,267,292,318,346,379,403,433,469,495,524,572,631,695,751,812,877,940,1019,1104,1161,1279,1361,1461,1560,1660,1797,1902,2041,2162,2254,2373,2492,2595,2700,2840,2934,3021,3120,3244,3365,3466,3563,3632,3749,3820,3917,4014,4092,4202,4268,4322,4378,4459,4551,4615,4689,4761,4816,4870,4932,4980,5042,5098,5153,5198,5249,5288,5329,5386,5411,5461,5497,5548,5646,5678,5722,5783,5812,5878,5921,5954,5996,6023,6066,6095,6131,6158,6186,6212,6244,6259,6283,6314,6345,6385,6440,6462,6486,6507,6531,6566,6584,6613,6630,6646,6661,6680,6699,6724,6768,6786,6802,6811,6828,6849,6868,6879,6884,6892,6901,6913,6923,6948,6959,6972,6989,6999,7011,7038,7055,7066,7078,7092,7106,7114,7131,7146,7156,7162,7173,7187,7200,7213,7225,7243,7259,7276,7286,7296,7302,7322,7334,7340,7347,7356,7367,7377,7388,7398,7407,7411,7418,7429,7438,7445,7459,7463,7472,7478,7486,7496,7503,7508,7514,7521,7525,7533,7544,7551,7556,7558,7560,7566,7568,7568,7573,7579,7583,7586,7587,7597,7601,7608,7620,7628,7633,7646,7650,7659,7664,7682,7692,7706,7712,7718,7724,7738,7745,7753,7758,7765,7769,7785,7799,7815,7827,7837,7863,7873,7894,7908,7930,7948,7980,7993,8013,8044,8057,8080,8102,8135,8155,8177,8195,8224,8247,8277,8298,8310,8316,8329,8351,8382,8403,8422,8441,8460,8496,8532,8580,8617,8652,8694,8734,8787,8822,8868,8921,8963,9007,9046,9077,9120,9151,9175,9206,9230,9254,9274,9307,9344,9384,9424,9455,9499,9535,9570,9581,9593,9612,9626,9628,9630,9630,9630,9630,9630
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,6,9,11,15,18,19,21,25,30,36,38,47,54,59,69,78,93,109,119,127,142,157,173,196,220,245,266,287,309,345,384,436,486,526,594,633,694,747,813,882,921,982,1034,1090,1157,1243,1315,1369,1436,1503,1563,1629,1697,1769,1864,1940,1997,2067,2143,2226,2296,2362,2456,2536,2637,2709,2775,2841,2898,2970,3026,3093,3162,3231,3280,3332,3409,3464,3518,3561,3630,3688,3735,3799,3846,3917,3966,4016,4069,4120,4191,4246,4285,4326,4379,4470,4515,4581,4628,4676,4757,4825,4888,4964,5052,5140,5256,5338,5423,5495,5579,5686,5767,5859,5934,6067,6146,6227,6340,6418,6545,6627,6739,6827,6915,7069,7163,7265,7325,7433,7526,7632,7737,7819,7895,7991,8080,8186,8276,8383,8453,8551,8631,8732,8822,8889,9024,9131,9216,9297,9381,9553,9628,9745,9844,9929,10084,10181,10264,10353,10469,10582,10702,10790,10909,10991,11095,11204,11370,11457,11557,11641,11762,11834,11946,12027,12111,12236,12333,12405,12483,12612,12735,12819,12944,13072,13185,13368,13528,13642,13745,13866,14058,14179,14354,14598,14793,15006,15387,15683,15945,16221,16709,17076,17476,17868,18367,19102,19529,20257,20835,21370,22007,22577,23165,23649,24391,25067,25487,25987,26492,26835,27319,27953,28332,28728,29074,29525,29832,30326,30699,30973,31266,31598,31904,32175,32447,32698,33003,33207,33413,33602,33796,34031,34265,34449,34662,34930,35272,35446,35584,35744,35894,36023,36143,36253,36352,36432,36558,36690,36769,36850,36931,37030,37109,37201,37280,37353,37462,37550,37639,37718,37807,37884,37950,38007,38069,38134,38223,38276,38340,38400,38472,38548,38615,38687,38771,38828,38890,38972,39091,39191,39288,39400,39526,39587,39669,39753,39830,39939,40026,40102,40178,40256,40358,40437,40502,40609,40678,40758,40831,40913,40989,41054,41132,41180,41227,41267,41304,41324,41362,41406,41421,41438,41450,41451,41452,41452,41452
Ciudad de México,0,2,4,5,6,7,7,7,7,8,9,9,10,10,10,11,12,13,13,13,14,14,14,14,15,15,15,17,20,20,22,23,24,25,25,26,28,29,32,36,40,44,46,52,61,66,86,108,129,163,204,242,283,331,374,413,459,533,565,608,673,727,788,883,948,1021,1082,1192,1272,1417,1536,1652,1782,1920,2086,2248,2421,2609,2927,3139,3375,3675,3959,4343,4679,5073,5486,5854,6490,6878,7270,7688,8174,8667,9102,9673,10181,10587,11182,12094,12646,13222,14009,14731,15375,16061,16864,17541,18526,19380,20155,20837,21493,22509,23250,23966,25028,25756,26968,27637,28457,29166,29845,30976,31745,32490,33338,34126,34871,35577,36940,37736,38480,39282,40227,41050,41666,42552,43204,44271,44968,45745,46372,46912,47889,48573,49162,49930,50668,51721,52251,52992,53664,54319,55170,56035,56609,57326,58155,59020,60163,60947,61774,62399,63102,63881,64653,65399,66128,67435,68082,68802,69828,70627,71857,72668,73694,74538,75234,76704,77616,78430,79290,80141,81038,81682,82680,83516,84271,85070,85775,86937,87550,88396,89121,89993,90688,91575,92290,92829,94109,94947,95772,96519,97419,98387,99025,100019,101048,101864,103357,104336,105127,105821,106926,108110,109033,110012,111310,112084,112947,113994,115606,116675,117642,118613,119554,120189,121165,122142,123096,124288,125103,125769,126289,127220,128302,128979,129853,130921,131795,132962,133953,134832,135724,136577,137655,138461,139201,140195,141194,142136,143608,144466,145225,145908,147107,148057,149101,150100,151068,152663,153517,154815,155951,157036,158501,159846,160934,162078,163704,165903,167280,168627,170019,171115,172436,174152,175587,177068,178287,179741,180706,182559,184015,185808,187232,188909,190497,191876,193060,195126,197251,198969,200460,201975,203267,204937,206532,208447,210437,212161,215329,217268,219049,221795,224149,227015,229329,231975,234812,237034,241325,246196,249897,253513,257213,261167,264002,268632,272671,276843,281711,286061,290020,293025,297927,302711,306783,310633,315130,318665,322439,326471,330083,333641,337351,340654,344034,347341,352217,355777,359511,363781,368616,372763,377143,383750,389604,394531,399606,404723,409806,415028,421117,426364,431153,435878,441123,445165,448252,453584,457965,463240,466982,470811,473870,476444,480815,484316,487140,489944,492168,494199,495437,497180,499247,500902,502107,502902,503247,503281,503281
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,6,9,13,15,20,26,29,39,46,55,69,89,103,118,142,154,172,183,195,211,217,233,248,259,269,285,295,305,321,332,349,362,372,386,391,408,422,432,445,456,471,484,495,508,520,542,568,585,594,610,640,664,684,709,737,756,784,812,835,860,903,954,998,1055,1096,1141,1198,1251,1318,1359,1419,1482,1523,1603,1700,1747,1796,1911,1978,2060,2148,2241,2361,2446,2580,2721,2845,2950,3071,3201,3361,3557,3733,3911,4109,4292,4488,4717,5007,5206,5432,5629,5963,6166,6394,6706,7013,7277,7576,7828,8069,8275,8660,8969,9212,9467,9883,10075,10325,10649,10916,11246,11480,11740,12018,12226,12647,12929,13137,13415,13676,14161,14367,14758,14967,15259,15489,15682,16117,16432,16719,16948,17334,17603,17892,18094,18306,18686,18900,19168,19506,19797,20091,20319,20591,20911,21134,21452,21677,21879,22092,22368,22600,22781,22932,23097,23255,23402,23593,23782,23955,24101,24246,24397,24547,24688,24829,24944,25068,25161,25248,25352,25517,25654,25761,25889,26044,26187,26375,26525,26647,26800,26960,27156,27289,27466,27687,27877,28083,28316,28498,28719,28921,29183,29395,29607,29837,30091,30408,30608,30866,31127,31356,31674,31967,32208,32513,32898,33379,33678,33959,34212,34427,34726,35043,35322,35612,35889,36202,36406,36821,37185,37476,37778,38115,38452,38739,39041,39412,39825,40138,40412,40669,40905,41203,41481,41770,42020,42259,42678,42854,43085,43391,43665,43964,44246,44467,44645,44856,45150,45520,45710,45928,46127,46329,46534,46797,47024,47251,47595,47814,48056,48293,48608,48895,49108,49318,49572,49761,50027,50297,50478,50679,50905,51132,51353,51611,51912,52164,52418,52682,53114,53449,53774,54195,54610,54877,55179,55502,55764,56077,56406,56758,57041,57346,57724,57992,58282,58626,58934,59302,59560,59796,60000,60236,60506,60692,60860,61039,61191,61305,61446,61596,61699,61778,61810,61826,61826,61826,61826
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,4,6,7,7,7,7,7,7,7,7,8,9,9,9,9,11,14,14,14,16,16,22,23,23,24,25,25,27,28,29,29,32,32,34,38,41,44,45,47,47,50,53,59,62,65,71,81,87,92,97,105,110,119,123,135,139,147,154,159,167,170,174,186,191,202,214,233,244,253,260,272,284,300,316,331,340,352,370,385,403,426,448,456,477,502,527,553,573,586,604,619,649,682,699,726,755,782,807,836,864,902,951,993,1020,1061,1114,1157,1209,1277,1335,1385,1434,1492,1553,1622,1694,1750,1805,1852,1905,1970,2025,2076,2134,2157,2199,2271,2345,2409,2467,2519,2563,2609,2679,2740,2831,2929,2974,3021,3073,3148,3225,3292,3376,3443,3493,3549,3622,3701,3745,3804,3856,3905,3951,4014,4067,4101,4150,4192,4213,4251,4297,4349,4379,4422,4455,4487,4522,4567,4605,4647,4719,4767,4802,4853,4906,4975,5041,5104,5147,5177,5217,5288,5353,5409,5486,5535,5575,5629,5677,5735,5776,5828,5874,5924,5983,6030,6088,6132,6190,6222,6258,6311,6355,6386,6421,6453,6486,6516,6554,6593,6628,6662,6701,6721,6753,6777,6793,6817,6850,6878,6902,6920,6939,6966,6995,7015,7034,7046,7054,7067,7084,7103,7126,7147,7163,7179,7201,7223,7243,7263,7289,7305,7321,7341,7359,7381,7403,7428,7453,7470,7494,7509,7525,7538,7562,7584,7605,7620,7635,7656,7678,7694,7719,7735,7761,7790,7819,7847,7870,7891,7914,7945,7972,8013,8043,8080,8110,8137,8173,8220,8255,8301,8367,8420,8486,8553,8604,8657,8715,8782,8828,8880,8928,9000,9060,9121,9188,9230,9290,9346,9399,9444,9482,9531,9566,9604,9625,9661,9695,9745,9769,9787,9792,9798,9803,9803,9803,9803
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,6,7,7,7,7,9,10,11,11,11,12,13,15,15,15,16,17,18,18,19,19,21,21,25,29,30,33,39,39,40,40,42,44,49,52,58,63,70,74,84,87,92,93,95,105,111,117,124,132,142,153,161,170,174,182,189,199,215,232,245,252,271,292,312,328,344,370,397,425,450,481,520,551,589,623,697,735,785,841,908,968,1020,1074,1117,1173,1234,1282,1324,1388,1445,1488,1552,1610,1671,1729,1771,1860,1954,2022,2081,2165,2246,2321,2382,2440,2518,2564,2615,2668,2713,2814,2892,2945,3012,3105,3168,3223,3289,3367,3473,3529,3593,3670,3731,3862,3950,4004,4050,4124,4196,4267,4345,4428,4487,4565,4633,4722,4799,4891,4951,5023,5068,5136,5219,5289,5389,5483,5556,5613,5705,5790,5853,5953,6057,6137,6265,6334,6407,6486,6562,6662,6787,6866,6958,7044,7147,7278,7404,7484,7549,7651,7728,7819,7888,7976,8043,8112,8189,8248,8299,8376,8452,8530,8608,8691,8773,8887,8966,9045,9137,9209,9309,9386,9461,9600,9671,9758,9880,10030,10146,10277,10479,10619,10788,10929,11107,11374,11516,11772,11955,12125,12338,12552,12725,12988,13289,13650,13875,14117,14373,14580,14853,15184,15451,15694,15884,16158,16384,16660,16931,17131,17378,17565,17820,17993,18210,18495,18831,19068,19297,19435,19606,19847,20128,20405,20682,20844,21124,21279,21488,21709,21914,22105,22285,22469,22668,22823,23057,23226,23349,23461,23568,23667,23763,23906,24037,24152,24278,24376,24466,24566,24705,24836,24941,25015,25099,25182,25300,25390,25447,25495,25581,25666,25753,25837,25955,26027,26115,26191,26320,26438,26539,26705,26836,26961,27053,27186,27293,27468,27587,27691,27790,27874,28022,28123,28215,28336,28436,28540,28614,28702,28776,28859,28962,29026,29088,29162,29205,29250,29302,29372,29422,29443,29461,29474,29474,29474,29474
