Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021
Aguascalientes,4,5,9,14,17,21,26,29,33,39,42,48,65,68,73,73,79,85,91,100,105,109,115,118,126,136,147,154,160,165,167,172,181,189,194,203,208,217,227,230,237,244,250,256,260,267,274,282,294,305,318,333,347,360,383,417,442,460,483,513,547,583,614,637,679,714,736,780,807,856,868,897,920,948,978,1001,1021,1044,1065,1098,1143,1175,1211,1239,1271,1297,1343,1394,1482,1520,1572,1670,1741,1780,1834,1932,2022,2088,2128,2158,2298,2365,2467,2507,2630,2683,2730,2789,2850,3099,3157,3236,3272,3306,3356,3383,3430,3494,3552,3604,3656,3690,3747,3824,3904,3975,4027,4073,4112,4158,4211,4252,4299,4341,4392,4472,4567,4651,4775,4866,4893,4951,5004,5078,5183,5221,5253,5298,5360,5445,5553,5671,5732,5803,5883,5973,6044,6135,6229,6344,6460,6512,6559,6620,6676,6746,6809,6859,6934,7046,7102,7168,7223,7288,7368,7426,7504,7587,7653,7799,7919,8029,8114,8188,8286,8442,8575,8670,8742,8834,9074,9209,9315,9385,9476,9552,9600,9663,9744,9840,10142,10244,10362,10416,10502,10622,10774,10865,10965,11070,11127,11220,11362,11505,11669,11823,11904,11954,12007,12156,12330,12484,12697,12827,12912,12970,13077,13202,13336,13462,13599,13632,13679,13797,13898,13963,14040,14096,14131,14183,14306,14471,14582,14655,14754,14822,14935,15092,15276,15565,15754,15978,16201,16310,16459,16612,16788,17011,17123,17242,17334,17516,17660,17830,17947,18091,18230,18357,18494,18656,18921,19106,19265,19439,19614,19747,19997,20215,20402,20572,20714,20797,20941,21123,21412,21666,21870,22130,22284,22427,22591,22815,23002,23177,23361,23539,23631,23772,23928,24078,24239,24390,24573,24667,24824,25014,25158,25308,25417,25511,25601,25709,25835,26077,26324,26523,26711,26799,26953,27188,27388,27605,27754,27872,28212,28398,28733,28972,29384,29566,29678,29807,29944,30072,30167,30210,30259,30363,30486,30590,30713,30866,30942,31087,31340,31476,31630,31839,32041,32192,32324,32471,32639,32872,33087,33264,33395,33509,33593,33644,33705,33750,33754,33754
Baja California,10,12,19,23,30,32,37,44,47,50,56,62,65,69,70,73,81,85,90,97,103,106,115,123,132,137,137,141,145,154,157,159,162,165,168,176,181,186,188,198,203,206,210,215,220,226,236,251,272,286,312,322,343,368,401,436,471,520,555,602,653,695,745,768,807,839,864,895,917,946,980,1004,1034,1051,1078,1109,1134,1171,1221,1251,1280,1323,1368,1399,1426,1471,1507,1539,1599,1634,1677,1718,1752,1788,1827,1874,1904,1938,1985,2039,2067,2117,2170,2229,2266,2314,2385,2437,2502,2567,2626,2668,2706,2759,2796,2836,2904,2974,3043,3144,3240,3319,3423,3517,3571,3635,3693,3764,3842,3913,4066,4158,4225,4272,4369,4427,4490,4596,4675,4776,4851,4928,5007,5090,5200,5297,5364,5435,5506,5602,5674,5767,5867,5913,5998,6071,6127,6191,6258,6337,6455,6527,6613,6667,6723,6813,6875,6964,7042,7133,7196,7297,7376,7435,7488,7552,7612,7671,7749,7848,7912,7982,8044,8115,8183,8256,8324,8375,8452,8564,8693,8791,8848,8925,8983,9039,9096,9160,9222,9273,9347,9406,9461,9509,9554,9607,9657,9723,9774,9824,9879,9938,9997,10082,10192,10275,10333,10387,10442,10486,10543,10615,10687,10736,10787,10853,10922,10996,11074,11139,11195,11271,11337,11398,11456,11539,11629,11727,11804,11904,12011,12140,12276,12387,12486,12559,12678,12782,12908,13082,13239,13388,13513,13621,13748,13879,14046,14166,14252,14334,14446,14570,14685,14855,14967,15063,15169,15259,15373,15507,15651,15785,15893,15957,16044,16111,16217,16313,16403,16490,16549,16624,16698,16785,16857,16922,16970,17027,17082,17132,17194,17256,17326,17389,17424,17477,17546,17628,17738,17876,17989,18107,18230,18337,18461,18619,18749,18890,19012,19126,19242,19372,19579,19783,19908,20057,20172,20303,20475,20676,20803,20903,21027,21130,21241,21355,21512,21648,21721,21816,21926,22002,22112,22209,22300,22363,22436,22532,22629,22761,22884,22984,23090,23213,23428,23684,23918,24201,24391,24528,24623,24754,24897,25088,25373,25634,25872,26048,26213,26317,26427,26492,26499,26499
Baja California Sur,2,2,8,19,30,35,39,40,47,52,58,62,70,73,76,79,90,95,103,109,119,124,127,133,140,148,155,159,161,163,169,175,183,184,188,193,199,206,221,231,236,249,251,255,264,272,277,285,292,297,308,316,328,347,359,375,386,403,424,443,464,490,511,521,543,564,579,608,639,672,706,744,781,823,854,885,904,932,960,978,1000,1023,1045,1058,1077,1099,1113,1125,1138,1151,1167,1184,1196,1212,1222,1237,1247,1258,1276,1291,1309,1323,1342,1381,1392,1411,1427,1442,1455,1468,1484,1493,1506,1524,1539,1548,1579,1611,1641,1658,1689,1710,1738,1777,1805,1842,1873,1913,1940,1993,2043,2092,2156,2223,2275,2319,2342,2386,2423,2476,2530,2598,2647,2702,2791,2855,2909,2981,3033,3107,3177,3253,3316,3383,3447,3535,3592,3663,3758,3864,3994,4057,4129,4182,4248,4352,4433,4536,4641,4700,4757,4853,4977,5082,5188,5286,5377,5469,5565,5739,5845,5951,6050,6128,6201,6270,6401,6532,6659,6763,6855,6977,7102,7267,7386,7520,7604,7669,7716,7817,8006,8129,8230,8311,8382,8452,8560,8662,8768,8813,8859,8966,9049,9125,9246,9373,9464,9550,9669,9793,9904,10089,10349,10451,10549,10637,10758,10901,11050,11246,11356,11696,11907,12080,12225,12392,12739,12862,12995,13104,13274,13557,13738,13886,14033,14163,14286,14376,14611,14816,14979,15169,15322,15419,15516,15645,15889,16032,16190,16303,16380,16561,16747,16945,17106,17230,17374,17475,17632,17853,18084,18396,18514,18647,18784,18979,19313,19608,19843,20097,20250,20370,20490,21005,21318,21593,21786,21960,22103,22241,22512,22757,23049,23199,23291,23373,23474,23643,23827,24018,24212,24412,24596,24809,25000,25300,25511,25699,25828,25950,26066,26242,26439,26724,26876,27047,27163,27323,27530,27779,27996,28202,28442,28682,29005,29308,29696,30051,30283,30448,30624,30842,31191,31461,31616,31700,31811,31910,32098,32372,32572,32729,32823,32899,33074,33232,33506,33811,34112,34359,34617,34874,35041,35531,35845,36175,36360,36602,36705,36786,36861,36882,36884,36884
Campeche,0,0,1,2,2,3,4,4,4,4,4,5,5,5,5,5,5,6,7,8,9,9,9,9,9,9,11,12,12,12,12,13,15,17,17,18,18,19,19,21,21,21,21,22,25,25,25,25,27,27,27,27,30,33,33,35,35,42,44,50,54,57,63,66,72,78,81,87,91,94,95,100,106,108,114,119,124,131,144,146,172,185,188,198,209,216,234,244,259,265,271,281,311,317,321,332,339,342,361,382,395,409,421,434,446,463,483,491,514,533,555,578,592,623,643,663,686,707,738,762,786,822,856,911,943,986,1035,1079,1121,1146,1202,1223,1252,1296,1336,1374,1447,1501,1535,1592,1641,1668,1717,1745,1798,1839,1868,1916,1958,2015,2052,2093,2152,2206,2261,2326,2377,2427,2473,2514,2587,2625,2655,2682,2726,2765,2819,2860,2903,2984,3032,3067,3109,3144,3208,3246,3289,3323,3350,3432,3465,3502,3528,3579,3638,3671,3731,3772,3804,3842,3875,3995,4044,4090,4122,4161,4192,4231,4289,4332,4412,4462,4532,4567,4612,4710,4797,4882,4962,5028,5166,5227,5266,5305,5374,5479,5531,5577,5653,5731,5792,5829,5932,5963,5989,6016,6066,6101,6163,6209,6261,6342,6386,6423,6464,6504,6577,6613,6667,6748,6798,6922,6972,7029,7058,7092,7166,7218,7260,7323,7372,7460,7511,7563,7589,7629,7688,7722,7768,7816,7891,7957,7979,8000,8027,8103,8186,8251,8281,8318,8363,8435,8470,8553,8595,8635,8709,8759,8791,8842,8897,8927,8946,8993,9026,9058,9112,9212,9254,9290,9325,9363,9417,9457,9509,9562,9593,9634,9665,9710,9777,9866,9976,10013,10060,10113,10163,10253,10308,10383,10464,10525,10623,10744,10806,10876,10911,10942,10991,11063,11116,11194,11267,11316,11398,11462,11537,11640,11691,11754,11821,11877,11930,11966,11997,12026,12070,12111,12156,12220,12278,12364,12423,12441,12518,12576,12635,12698,12801,12877,12981,13077,13232,13345,13391,13427,13443,13463,13479,13487,13494,13495,13495,13495
Chiapas,2,3,4,4,4,5,6,6,7,8,10,11,13,14,15,16,18,21,23,25,25,25,26,26,27,30,30,31,32,34,34,38,39,42,44,46,47,47,50,52,55,57,59,60,63,67,72,77,81,86,94,100,105,111,122,127,135,147,156,170,179,194,209,220,228,239,247,265,279,291,298,312,318,322,330,338,359,370,381,392,402,417,431,447,460,477,494,510,536,553,566,587,603,618,633,657,675,683,713,743,756,796,823,857,887,909,932,955,991,1018,1038,1071,1103,1141,1171,1207,1235,1258,1299,1330,1362,1396,1434,1470,1497,1526,1561,1587,1621,1657,1713,1737,1765,1788,1820,1858,1886,1920,1938,1958,1976,2002,2017,2031,2053,2065,2086,2114,2139,2171,2184,2211,2229,2246,2261,2275,2296,2319,2336,2357,2377,2387,2409,2425,2447,2466,2474,2491,2499,2535,2559,2580,2602,2623,2656,2674,2711,2730,2751,2787,2804,2820,2849,2883,2919,2947,2980,3010,3047,3079,3106,3157,3214,3256,3299,3360,3420,3451,3509,3545,3593,3637,3676,3717,3755,3812,3842,3875,3913,3962,4005,4052,4117,4149,4172,4229,4259,4296,4341,4369,4389,4436,4484,4518,4566,4620,4655,4666,4689,4717,4752,4798,4858,4884,4902,4928,4975,5003,5041,5084,5129,5191,5229,5258,5288,5311,5337,5376,5402,5422,5448,5475,5521,5561,5599,5629,5645,5675,5711,5741,5769,5806,5836,5860,5875,5907,5941,5971,6006,6038,6071,6104,6139,6175,6191,6223,6252,6291,6307,6332,6354,6376,6399,6456,6489,6517,6531,6565,6610,6652,6686,6721,6764,6788,6829,6874,6910,6952,6998,7030,7064,7092,7140,7182,7290,7377,7434,7481,7527,7573,7626,7664,7698,7747,7776,7806,7848,7903,7943,8016,8050,8088,8148,8209,8257,8322,8372,8431,8482,8520,8560,8611,8668,8706,8734,8759,8794,8831,8878,8924,8977,9014,9048,9090,9151,9220,9271,9314,9354,9380,9426,9478,9532,9574,9617,9653,9668,9677,9683,9693,9696,9697,9697,9697
Chihuahua,3,9,14,20,31,46,51,52,59,67,76,84,88,91,97,103,111,115,120,122,122,124,125,127,138,144,146,148,154,159,161,163,165,167,170,173,174,176,178,179,179,180,183,184,189,191,193,196,199,203,207,209,214,220,228,231,238,249,262,268,284,299,315,333,345,353,361,368,380,398,411,432,449,464,489,505,526,549,575,600,623,645,660,679,707,729,764,799,856,899,932,962,1004,1063,1103,1167,1218,1258,1328,1405,1465,1519,1591,1675,1712,1754,1809,1873,1950,2019,2082,2141,2200,2293,2350,2407,2468,2522,2602,2649,2705,2759,2821,2899,2942,3009,3054,3113,3169,3238,3304,3366,3413,3460,3511,3553,3587,3639,3696,3760,3791,3845,3889,3930,3992,4043,4092,4142,4182,4280,4322,4391,4445,4481,4529,4588,4633,4703,4759,4819,4896,4956,5020,5076,5132,5203,5269,5339,5401,5499,5564,5635,5726,5808,5915,6006,6080,6172,6244,6366,6437,6500,6566,6621,6682,6761,6855,6942,6992,7081,7141,7272,7353,7439,7520,7603,7675,7755,7847,7938,8084,8182,8258,8326,8423,8554,8635,8760,8852,8945,9067,9145,9246,9325,9428,9525,9604,9696,9791,9873,10003,10119,10244,10333,10416,10513,10620,10709,10840,10938,11018,11131,11203,11265,11341,11442,11544,11602,11693,11786,11892,12079,12215,12336,12464,12557,12724,12824,12956,13095,13228,13374,13584,13732,13911,14066,14283,14442,14611,14755,14930,15216,15375,15625,15809,15988,16214,16478,16632,16828,17092,17350,17512,17661,17807,17913,18114,18310,18422,18520,18650,18825,18908,19076,19212,19308,19409,19549,19681,19785,19869,20000,20187,20315,20416,20504,20581,20715,20855,20971,21071,21178,21407,21494,21587,21699,21788,21914,21988,22064,22144,22204,22333,22477,22545,22603,22689,22757,22814,22922,23008,23067,23156,23228,23281,23333,23409,23473,23528,23585,23661,23714,23782,23851,23909,23954,23994,24057,24116,24164,24231,24281,24322,24368,24456,24512,24582,24667,24735,24792,24866,24939,24999,25067,25119,25159,25206,25223,25236,25243,25250,25253,25253,25253
Ciudad de México,16,40,61,85,106,125,150,162,171,190,205,232,255,274,291,305,318,347,380,398,422,441,461,474,491,511,525,544,554,561,575,587,614,640,668,689,712,737,776,812,844,878,899,924,965,1014,1080,1161,1227,1287,1349,1435,1519,1618,1728,1831,1918,2034,2119,2216,2396,2532,2692,2860,3021,3146,3272,3465,3661,3926,4125,4380,4617,4851,5143,5424,5696,5956,6296,6517,6819,7187,7532,7973,8314,8679,9007,9343,9921,10287,10670,11088,11541,12035,12441,13040,13614,14098,14759,15681,16212,16715,17493,18203,18802,19400,20150,20703,21496,22224,22889,23541,24151,25168,25733,26341,27373,28099,29465,30095,30873,31503,32150,33350,34101,34813,35664,36469,37181,37888,39366,40175,41042,41909,42914,43637,44282,45334,46225,47861,48839,49815,50566,51403,52839,53738,54677,55691,56808,58270,58998,60026,60925,61870,63148,64438,65161,66224,67405,68814,70691,71912,73166,74028,75278,76576,77956,79138,80358,82852,83959,85182,87006,88499,90835,92601,94544,95950,97106,99922,101386,102797,104220,105757,107377,108501,110173,111807,113296,114911,116376,118614,119822,121490,122992,124740,126092,127813,129123,130160,132727,134372,136006,137530,139190,140954,141999,143716,145682,147268,150123,151913,153338,154668,156727,159165,161355,163464,166313,167878,169494,171660,175243,177911,180295,182495,184608,185877,188009,190153,192424,195086,197042,198407,199414,201207,203181,204225,206049,208082,209562,211683,213431,215349,217074,218703,221044,222256,223473,225524,227633,229806,232835,234631,236024,237330,239659,241715,243809,245617,247650,250312,251563,254141,256646,259144,262099,264628,266630,268902,272644,277842,281355,285004,288399,290474,293048,297210,301125,305109,308474,311273,312816,315464,317585,320861,323840,327081,329873,331807,333526,337233,341377,344868,347622,350530,352332,354677,356992,360840,364542,367794,373707,376815,379610,385043,390198,396375,401403,406667,411457,415150,423966,434328,442214,449831,457625,464409,468387,477549,485553,494272,504670,513241,519489,523882,532811,542466,550517,558164,567215,573409,579833,588555,596447,603895,610739,615158,620638,625479,635287,643419,651561,658734,665293,670747,675529,685137,694157,701918,710109,717288,723555,729491,738689,746657,754307,761307,767944,772224,774144,778695,781635,781637
Coahuila,7,13,24,48,69,88,104,118,122,133,146,159,171,182,194,197,210,237,260,272,277,285,297,306,320,343,361,364,368,374,378,392,408,419,426,437,449,455,470,481,488,492,498,500,508,519,530,541,550,558,572,579,591,618,638,660,684,719,751,776,827,869,929,984,1062,1135,1193,1268,1340,1472,1544,1616,1694,1777,1888,1998,2085,2169,2260,2335,2386,2455,2551,2654,2718,2785,2847,2891,2995,3042,3095,3167,3236,3293,3372,3483,3606,3727,3841,3944,4015,4068,4194,4308,4390,4465,4597,4723,4839,5024,5158,5303,5461,5659,5866,6003,6215,6370,6572,6756,6880,7004,7165,7385,7536,7697,8011,8217,8611,8781,9175,9475,9850,10200,10362,10657,10825,11056,11291,11531,11798,12004,12220,12420,12733,12900,13091,13363,13559,13798,14006,14277,14508,14666,14903,15128,15218,15373,15627,15877,16175,16356,16569,16689,16872,17116,17349,17494,17659,17878,17951,18106,18252,18478,18659,18807,19068,19202,19360,19698,19971,20187,20408,20635,20805,20964,21248,21459,21624,21758,21941,22150,22338,22559,22795,23012,23223,23423,23585,23820,24167,24466,24720,24946,25224,25478,25708,25935,26262,26530,26971,27272,27478,27660,28006,28326,28660,28957,29263,29441,29721,30056,30426,30715,31009,31279,31480,31704,32015,32279,32488,32862,33069,33217,33376,33642,33866,34094,34334,34540,34746,35046,35354,35605,35827,36069,36347,36545,36753,37035,37276,37535,37868,38100,38268,38456,38719,38941,39155,39374,39606,39880,40085,40321,40532,40735,41000,41265,41452,41700,42004,42374,42558,42829,43046,43225,43552,43857,44079,44316,44578,44822,44982,45370,45686,45914,46123,46383,46614,46826,47071,47334,47634,47866,48063,48259,48458,48720,48964,49222,49463,49688,50029,50181,50344,50542,50730,50921,51103,51270,51409,51565,51785,52028,52182,52360,52492,52663,52792,52955,53097,53246,53454,53599,53726,53865,54026,54222,54335,54487,54655,54809,55013,55158,55286,55379,55493,55668,55808,55957,56119,56268,56395,56539,56781,56951,57123,57294,57515,57669,57839,58039,58178,58390,58544,58706,58869,59021,59176,59259,59330,59394,59419,59419
Colima,0,0,2,3,3,5,7,8,8,10,12,13,14,15,15,15,17,18,21,22,22,23,23,23,23,27,28,30,30,30,31,31,33,36,39,43,44,48,51,52,52,57,59,61,62,64,69,70,78,84,87,92,94,98,103,109,115,122,126,130,135,138,145,147,152,154,158,159,163,167,170,173,173,177,178,184,186,192,195,197,199,203,208,219,223,229,236,239,244,246,250,255,259,266,274,279,283,287,292,299,307,315,320,328,337,343,352,360,369,376,386,405,421,435,447,464,476,486,494,504,511,524,535,546,558,568,576,584,593,604,622,630,638,652,668,675,686,700,713,720,730,737,745,754,772,791,807,825,835,860,878,885,896,903,914,930,953,971,994,1010,1030,1049,1062,1077,1101,1131,1157,1169,1190,1216,1246,1270,1299,1326,1354,1385,1425,1469,1506,1547,1580,1605,1635,1680,1710,1745,1780,1809,1823,1839,1870,1913,1955,1994,2019,2047,2078,2124,2165,2205,2255,2283,2316,2350,2394,2439,2481,2521,2547,2579,2616,2643,2673,2699,2734,2763,2794,2826,2860,2888,2913,2948,2971,2991,3013,3037,3062,3081,3107,3131,3149,3168,3197,3214,3229,3259,3277,3297,3316,3331,3352,3385,3415,3440,3460,3488,3533,3557,3584,3627,3670,3700,3734,3761,3795,3834,3878,3917,3956,3980,4017,4069,4109,4156,4197,4231,4283,4327,4362,4409,4466,4521,4572,4607,4649,4685,4722,4779,4836,4892,4930,4963,4999,5071,5137,5189,5223,5268,5310,5354,5397,5444,5482,5517,5542,5585,5615,5655,5706,5757,5794,5828,5870,5909,5960,5996,6047,6099,6144,6180,6226,6280,6345,6400,6450,6496,6559,6590,6646,6690,6738,6774,6811,6836,6882,6935,6978,7023,7066,7104,7140,7175,7208,7241,7267,7285,7311,7351,7388,7448,7493,7527,7562,7593,7665,7723,7769,7830,7876,7923,7969,8023,8064,8111,8153,8198,8237,8263,8306,8336,8346,8352,8355,8355
Durango,0,6,18,24,27,33,37,39,41,47,50,56,63,67,70,76,86,94,100,105,114,117,120,125,127,129,138,144,148,151,158,162,162,164,164,166,169,175,182,189,196,200,202,209,212,213,216,220,227,231,234,239,245,250,255,261,270,275,282,296,312,324,340,352,358,368,384,401,415,432,454,471,486,495,506,515,526,534,550,554,565,580,597,611,626,639,650,667,690,706,726,766,782,792,824,869,885,908,938,971,1018,1049,1076,1117,1137,1169,1218,1248,1296,1337,1360,1386,1410,1452,1480,1502,1539,1581,1627,1650,1676,1715,1763,1842,1935,2041,2116,2209,2254,2302,2460,2530,2616,2699,2819,2905,3013,3133,3262,3399,3551,3637,3743,3839,3980,4091,4181,4297,4410,4537,4589,4677,4753,4871,4955,5046,5154,5233,5339,5443,5579,5650,5735,5809,5907,6027,6153,6267,6372,6519,6611,6721,6851,6993,7085,7199,7285,7399,7492,7689,7794,7912,8011,8148,8258,8389,8545,8684,8773,8859,8974,9109,9227,9367,9475,9585,9677,9779,9899,10010,10187,10296,10403,10494,10597,10717,10876,11009,11154,11237,11376,11479,11575,11725,11840,12002,12119,12218,12334,12454,12557,12697,12853,12987,13080,13213,13352,13478,13606,13748,13870,13979,14070,14139,14226,14342,14423,14514,14610,14712,14833,14949,15057,15188,15326,15402,15527,15645,15762,15919,16061,16195,16341,16442,16582,16733,16935,17061,17186,17310,17414,17647,17806,17997,18145,18325,18470,18601,18739,18896,19103,19326,19470,19583,19707,19843,20036,20233,20383,20550,20675,20857,21002,21164,21349,21501,21620,21721,21825,21932,22036,22196,22396,22524,22624,22705,22781,22939,23098,23248,23422,23540,23740,23855,23973,24129,24256,24401,24510,24660,24804,24889,25025,25173,25296,25382,25480,25551,25642,25773,25888,25991,26098,26193,26284,26365,26483,26618,26711,26786,26881,26953,27045,27141,27224,27283,27349,27409,27489,27595,27729,27819,27904,27964,28106,28218,28321,28432,28553,28672,28763,28880,28966,29113,29243,29339,29456,29537,29649,29710,29740,29769,29785,29785
