Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021
Aguascalientes,4,5,9,14,17,21,26,29,33,39,42,48,65,68,73,73,79,85,91,100,105,109,115,118,126,136,147,154,160,165,167,172,181,189,194,203,208,217,227,230,237,244,250,256,260,267,274,282,294,305,318,333,347,360,383,417,442,460,483,513,547,583,614,637,679,714,736,780,807,856,868,897,920,948,978,1001,1021,1044,1065,1098,1143,1175,1211,1239,1271,1297,1343,1394,1482,1520,1572,1670,1741,1780,1834,1932,2022,2088,2128,2158,2298,2365,2467,2507,2630,2683,2730,2789,2850,3099,3157,3236,3272,3306,3356,3383,3430,3494,3552,3604,3656,3690,3747,3824,3904,3975,4027,4073,4112,4158,4211,4252,4299,4341,4392,4472,4567,4651,4775,4866,4893,4951,5004,5078,5183,5221,5253,5298,5360,5445,5553,5671,5732,5803,5883,5973,6044,6135,6229,6344,6460,6512,6559,6620,6676,6746,6809,6859,6934,7046,7102,7168,7223,7288,7368,7426,7504,7587,7653,7799,7919,8029,8114,8188,8286,8442,8575,8670,8742,8834,9074,9209,9315,9385,9476,9552,9600,9663,9744,9840,10142,10244,10362,10416,10502,10622,10774,10865,10965,11070,11127,11220,11362,11505,11669,11823,11904,11954,12007,12156,12330,12484,12697,12827,12912,12970,13077,13202,13336,13462,13599,13632,13679,13797,13898,13963,14040,14096,14131,14183,14306,14471,14582,14655,14754,14822,14935,15092,15276,15565,15754,15978,16201,16310,16459,16612,16788,17011,17123,17242,17334,17516,17660,17830,17947,18091,18230,18359,18496,18659,18924,19110,19269,19443,19618,19751,20001,20219,20406,20576,20718,20801,20945,21127,21416,21670,21874,22134,22288,22431,22595,22819,23006,23181,23365,23542,23634,23775,23931,24081,24242,24393,24576,24670,24827,25017,25161,25311,25420,25514,25604,25712,25839,26081,26328,26527,26715,26803,26959,27194,27394,27612,27761,27879,28219,28405,28740,28980,29392,29574,29686,29816,29953,30081,30176,30220,30271,30376,30500,30608,30744,30902,30987,31148,31429,31594,31786,32062,32320,32536,32735,32951,33175,33467,33796,34049,34233,34422,34619,34781,34973,35280,35485,35776,35948,36180,36330,36551,36870,37115,37255,37404,37495,37704,37913,38036,38142,38206,38279,38327,38331,38333,38333
Baja California,10,12,19,23,30,32,37,44,47,50,56,62,65,69,70,73,81,85,90,97,103,106,115,123,132,137,137,141,145,154,157,159,162,165,168,176,181,186,188,198,203,206,210,215,220,226,236,251,272,286,312,322,343,368,401,436,471,520,555,602,653,695,745,768,807,839,864,895,917,946,980,1004,1034,1051,1078,1109,1134,1171,1221,1251,1280,1323,1368,1399,1426,1471,1507,1539,1599,1634,1677,1718,1752,1788,1827,1874,1904,1938,1985,2039,2067,2117,2170,2229,2266,2314,2385,2437,2502,2567,2626,2668,2706,2759,2796,2836,2904,2974,3043,3144,3240,3319,3423,3517,3571,3635,3693,3764,3842,3913,4066,4158,4225,4272,4369,4427,4490,4596,4675,4776,4851,4928,5007,5090,5200,5297,5364,5435,5506,5602,5674,5767,5867,5913,5998,6071,6127,6191,6258,6337,6455,6527,6613,6667,6723,6813,6875,6964,7042,7133,7196,7297,7376,7435,7488,7552,7612,7671,7749,7848,7912,7982,8044,8115,8183,8256,8324,8375,8452,8564,8693,8791,8848,8925,8983,9039,9097,9161,9223,9274,9348,9407,9462,9510,9555,9608,9658,9724,9775,9825,9880,9939,9998,10083,10193,10276,10334,10388,10443,10487,10544,10616,10688,10737,10788,10854,10923,10997,11075,11140,11196,11272,11338,11399,11457,11540,11630,11728,11805,11905,12012,12141,12277,12388,12487,12560,12679,12783,12909,13083,13240,13389,13514,13622,13749,13880,14047,14168,14255,14337,14449,14573,14688,14858,14970,15066,15172,15262,15376,15510,15654,15788,15896,15960,16047,16114,16221,16317,16407,16494,16553,16628,16702,16789,16861,16926,16974,17031,17088,17138,17201,17263,17333,17396,17431,17484,17553,17635,17745,17883,17998,18118,18242,18349,18473,18633,18763,18904,19026,19140,19256,19386,19594,19798,19923,20072,20188,20318,20490,20692,20819,20919,21043,21147,21258,21373,21533,21669,21742,21839,21949,22026,22139,22239,22331,22395,22470,22570,22674,22809,22939,23045,23164,23303,23555,23855,24161,24585,24919,25231,25459,25764,26041,26390,26807,27157,27450,27701,27969,28206,28502,28878,29131,29413,29637,29859,30128,30424,30737,31026,31226,31418,31561,31703,31892,32158,32367,32528,32626,32647,32650,32652,32652
Baja California Sur,2,2,8,19,30,35,39,40,47,52,58,62,70,73,76,79,90,95,103,109,119,124,127,133,140,148,155,159,161,163,169,175,183,184,188,193,199,206,221,231,236,249,251,255,264,272,277,285,292,297,308,316,328,347,359,375,386,403,424,443,464,490,511,521,543,564,579,608,639,672,706,743,780,822,853,884,903,931,959,977,999,1022,1044,1057,1076,1098,1112,1124,1137,1150,1166,1183,1195,1211,1221,1236,1246,1257,1275,1290,1308,1322,1341,1380,1391,1410,1426,1441,1454,1467,1483,1492,1505,1523,1538,1547,1578,1610,1640,1657,1688,1709,1737,1776,1804,1841,1872,1912,1939,1992,2042,2091,2155,2222,2274,2318,2341,2385,2422,2475,2529,2597,2646,2701,2790,2854,2908,2980,3032,3106,3176,3252,3315,3382,3446,3534,3591,3662,3757,3863,3993,4056,4128,4181,4247,4351,4432,4535,4640,4699,4756,4852,4976,5081,5187,5285,5376,5468,5564,5739,5845,5951,6050,6128,6201,6270,6401,6532,6659,6763,6855,6977,7102,7267,7386,7520,7604,7669,7717,7818,8005,8128,8229,8310,8381,8451,8560,8662,8767,8812,8858,8966,9049,9125,9246,9372,9463,9549,9668,9792,9903,10088,10348,10450,10548,10636,10757,10900,11049,11246,11356,11696,11907,12080,12225,12392,12739,12862,12995,13104,13274,13557,13738,13886,14033,14163,14286,14376,14611,14816,14980,15172,15326,15423,15521,15650,15894,16037,16195,16308,16385,16566,16752,16950,17111,17235,17379,17480,17638,17859,18090,18401,18519,18652,18789,18985,19319,19614,19849,20103,20256,20376,20496,21011,21324,21599,21792,21966,22109,22247,22517,22762,23055,23205,23297,23379,23480,23649,23833,24024,24218,24418,24602,24815,25006,25306,25518,25706,25835,25957,26073,26249,26446,26732,26884,27055,27171,27332,27539,27788,28005,28211,28452,28692,29015,29318,29706,30061,30294,30459,30635,30853,31202,31472,31627,31712,31824,31923,32113,32388,32588,32745,32839,32915,33091,33250,33523,33828,34131,34380,34642,34901,35074,35583,35924,36291,36506,36794,36971,37143,37509,37829,38189,38627,38852,38969,39121,39350,39694,40053,40291,40456,40527,40575,40672,40960,41169,41330,41478,41508,41508,41508,41508
Campeche,0,0,1,2,2,3,4,4,4,4,4,5,5,5,5,5,5,6,7,8,9,9,9,9,9,9,11,12,12,12,12,13,15,17,17,18,18,19,19,21,21,21,21,22,25,25,25,25,27,27,27,27,30,33,33,35,35,42,44,50,54,57,63,66,72,78,81,87,91,94,95,100,106,108,114,119,124,131,144,146,172,185,188,198,209,216,234,244,259,265,271,281,311,317,321,332,339,342,361,382,395,409,421,434,446,463,483,491,514,533,555,578,592,623,643,663,686,707,738,762,786,822,856,911,943,986,1035,1079,1121,1146,1202,1223,1252,1296,1336,1374,1447,1501,1535,1592,1641,1668,1717,1745,1798,1839,1868,1916,1958,2015,2052,2093,2152,2206,2261,2326,2377,2427,2473,2514,2587,2625,2655,2682,2727,2766,2820,2861,2904,2985,3033,3068,3110,3145,3209,3247,3290,3324,3351,3433,3466,3503,3529,3580,3639,3672,3732,3773,3805,3843,3876,3996,4045,4091,4123,4162,4193,4232,4290,4333,4413,4463,4533,4568,4613,4711,4798,4883,4963,5029,5167,5228,5267,5306,5375,5480,5532,5578,5654,5732,5793,5830,5933,5964,5990,6017,6067,6102,6164,6210,6262,6343,6387,6424,6465,6505,6578,6614,6668,6749,6799,6923,6973,7030,7060,7094,7168,7220,7262,7325,7374,7462,7513,7565,7591,7631,7690,7724,7770,7818,7893,7959,7981,8002,8029,8105,8188,8253,8283,8320,8365,8437,8472,8555,8597,8637,8712,8762,8794,8845,8900,8930,8949,8996,9029,9061,9115,9215,9257,9293,9328,9366,9421,9461,9513,9566,9597,9638,9669,9714,9781,9870,9980,10017,10064,10117,10167,10257,10312,10388,10469,10530,10628,10749,10811,10881,10916,10947,10996,11068,11121,11199,11272,11321,11403,11467,11542,11645,11697,11760,11827,11883,11936,11973,12004,12034,12078,12119,12164,12229,12287,12375,12437,12457,12537,12596,12658,12729,12839,12918,13027,13140,13325,13487,13562,13664,13762,13862,13997,14096,14222,14309,14380,14471,14535,14637,14703,14767,14822,14885,14969,15041,15123,15163,15183,15209,15245,15267,15271,15271,15271,15271,15271
Chiapas,2,3,4,4,4,5,6,6,7,8,10,11,13,14,15,16,18,21,23,25,25,25,26,26,27,30,30,31,32,34,34,38,39,42,44,46,47,47,50,52,55,57,59,60,63,67,72,77,81,86,94,100,105,111,122,127,135,147,156,170,179,194,209,220,228,239,247,265,279,291,298,312,318,322,330,338,359,370,381,392,402,417,431,447,460,477,494,510,536,553,566,587,603,618,633,657,675,683,713,743,756,796,823,857,887,909,932,955,991,1018,1038,1071,1103,1141,1171,1207,1235,1258,1299,1330,1362,1396,1434,1470,1497,1526,1561,1587,1621,1657,1713,1737,1765,1788,1820,1858,1886,1920,1938,1958,1976,2002,2017,2031,2053,2065,2086,2114,2139,2171,2184,2211,2229,2246,2261,2275,2296,2319,2336,2357,2377,2387,2409,2425,2447,2466,2474,2491,2499,2535,2559,2580,2602,2623,2656,2674,2711,2730,2751,2787,2804,2820,2849,2883,2919,2947,2980,3010,3047,3079,3106,3157,3214,3256,3299,3360,3420,3451,3509,3545,3595,3639,3678,3719,3757,3814,3844,3877,3915,3964,4007,4054,4119,4151,4174,4231,4261,4298,4343,4371,4391,4438,4486,4520,4568,4622,4657,4668,4691,4719,4754,4800,4860,4886,4904,4930,4977,5005,5043,5086,5131,5193,5231,5260,5290,5313,5339,5378,5404,5424,5450,5477,5523,5563,5601,5631,5647,5676,5713,5743,5771,5808,5838,5862,5877,5909,5943,5973,6008,6040,6073,6106,6141,6177,6193,6225,6254,6293,6309,6334,6356,6378,6401,6458,6491,6519,6533,6567,6612,6654,6688,6723,6766,6790,6831,6876,6912,6954,7000,7032,7066,7094,7143,7185,7293,7380,7437,7484,7530,7576,7629,7668,7702,7752,7781,7812,7854,7909,7949,8022,8057,8095,8155,8216,8264,8329,8379,8438,8489,8527,8567,8618,8676,8714,8742,8767,8802,8839,8887,8933,8988,9025,9060,9102,9167,9244,9308,9383,9451,9506,9590,9669,9746,9856,9951,10036,10112,10219,10305,10385,10479,10571,10628,10689,10744,10811,10881,10987,11107,11207,11272,11324,11366,11405,11477,11533,11568,11582,11589,11590,11591,11591,11591
Chihuahua,3,9,14,20,31,46,51,52,59,67,76,84,88,91,97,103,111,115,120,122,122,124,125,127,138,144,146,148,154,159,161,163,165,167,170,173,174,176,178,179,179,180,183,184,189,191,193,196,199,203,207,209,214,220,228,231,238,249,262,268,284,299,315,333,345,353,361,368,380,398,411,432,449,464,489,505,526,549,575,600,623,645,660,679,707,729,764,799,856,899,932,962,1004,1063,1103,1167,1219,1259,1329,1406,1466,1520,1592,1676,1713,1755,1810,1874,1951,2020,2083,2142,2201,2294,2351,2408,2469,2523,2603,2650,2706,2760,2822,2900,2943,3010,3055,3114,3170,3239,3305,3367,3414,3461,3512,3554,3588,3640,3697,3761,3792,3846,3890,3931,3993,4044,4093,4143,4183,4281,4323,4392,4446,4482,4530,4589,4634,4704,4760,4820,4897,4957,5021,5077,5133,5204,5270,5340,5402,5500,5565,5636,5727,5809,5916,6007,6081,6173,6245,6367,6438,6501,6567,6622,6683,6762,6856,6943,6993,7082,7142,7273,7355,7441,7522,7605,7678,7758,7850,7941,8088,8187,8263,8332,8429,8560,8641,8766,8857,8950,9072,9150,9251,9330,9433,9530,9609,9702,9797,9879,10011,10129,10256,10347,10430,10528,10635,10724,10855,10954,11035,11151,11227,11289,11365,11467,11570,11629,11722,11816,11923,12113,12249,12371,12499,12594,12766,12868,13002,13150,13290,13443,13661,13814,14006,14164,14387,14553,14724,14873,15058,15361,15531,15788,15976,16159,16390,16656,16818,17019,17288,17558,17722,17878,18025,18132,18334,18538,18652,18758,18901,19090,19175,19362,19521,19630,19749,19901,20060,20184,20284,20439,20671,20806,20916,21013,21097,21237,21381,21500,21601,21711,21943,22033,22128,22241,22336,22470,22545,22622,22703,22766,22897,23044,23115,23177,23269,23342,23400,23511,23598,23663,23756,23832,23887,23944,24022,24093,24152,24218,24297,24357,24434,24513,24580,24637,24694,24769,24846,24906,24997,25066,25117,25184,25300,25372,25484,25606,25715,25809,25933,26043,26145,26298,26410,26511,26614,26699,26829,26942,27076,27224,27326,27451,27522,27597,27679,27779,27903,27988,28074,28129,28179,28231,28284,28363,28419,28449,28461,28464,28465,28466,28466
Ciudad de México,16,40,61,85,106,125,150,162,171,190,205,232,255,274,291,305,318,347,380,398,422,441,461,474,491,511,525,544,554,561,575,587,614,640,668,689,712,737,776,812,844,878,899,924,965,1014,1080,1161,1227,1287,1349,1435,1519,1618,1728,1831,1918,2034,2119,2216,2396,2532,2692,2860,3021,3146,3272,3465,3661,3926,4125,4380,4617,4851,5143,5424,5696,5955,6295,6516,6818,7186,7531,7972,8313,8678,9006,9342,9920,10286,10669,11087,11540,12034,12440,13039,13613,14097,14758,15680,16211,16714,17492,18202,18801,19399,20148,20701,21494,22222,22888,23540,24150,25167,25731,26339,27371,28097,29462,30092,30870,31500,32147,33347,34098,34810,35661,36466,37178,37885,39363,40172,41039,41906,42911,43634,44279,45331,46222,47858,48836,49812,50563,51400,52836,53735,54674,55688,56806,58268,58996,60024,60923,61868,63146,64436,65159,66223,67404,68813,70690,71910,73164,74026,75276,76574,77954,79136,80356,82850,83957,85180,87004,88497,90833,92599,94542,95948,97104,99921,101385,102796,104219,105757,107377,108501,110173,111811,113300,114916,116380,118619,119828,121497,123000,124748,126100,127821,129133,130173,132741,134387,136021,137547,139207,140972,142017,143736,145703,147290,150147,151939,153365,154695,156754,159192,161384,163492,166342,167907,169522,171688,175274,177942,180327,182530,184643,185912,188048,190192,192463,195124,197080,198447,199455,201251,203225,204270,206097,208132,209612,211737,213495,215426,217156,218790,221131,222345,223562,225614,227726,229899,232927,234723,236115,237421,239750,241806,243901,245710,247743,250407,251658,254236,256743,259241,262200,264729,266732,269005,272748,277950,281463,285116,288511,290587,293164,297329,301252,305247,308619,311422,312968,315623,317749,321030,324018,327282,330076,332013,333734,337453,341606,345099,347861,350802,352614,354979,357304,361175,364905,368173,374224,377382,380205,385791,391005,397275,402364,407705,412566,416333,425320,436177,444258,452165,460204,467421,471526,480972,489321,498328,509190,517969,524423,528956,538182,548249,556596,564703,574217,580978,587868,597220,605983,614393,622199,627192,633259,638586,649896,659174,668903,677372,684789,690970,696659,707962,718829,728207,737845,746322,753658,761704,773193,783363,793454,803452,814839,822674,827990,840309,851076,864517,874241,884067,891096,896407,908614,918558,927723,936756,944089,949630,952274,957259,965185,971454,976842,980183,981531,981878,981880
Coahuila,7,13,24,48,69,88,104,118,122,133,146,159,171,182,194,197,210,237,260,272,277,285,297,306,320,343,361,364,368,374,378,392,408,419,426,437,449,455,470,481,488,492,498,500,508,519,530,541,550,558,572,579,591,618,638,660,684,719,751,776,827,869,929,984,1062,1135,1193,1268,1340,1472,1544,1616,1694,1777,1888,1998,2085,2169,2260,2335,2386,2455,2551,2654,2718,2785,2847,2891,2995,3042,3095,3167,3236,3293,3372,3483,3606,3727,3841,3944,4015,4068,4194,4308,4390,4465,4598,4724,4840,5025,5159,5304,5462,5660,5867,6004,6218,6377,6579,6765,6889,7015,7176,7400,7551,7712,8026,8232,8626,8796,9190,9490,9865,10215,10377,10672,10840,11071,11306,11546,11813,12020,12236,12436,12749,12916,13107,13379,13575,13814,14022,14293,14524,14682,14919,15144,15234,15389,15643,15893,16191,16372,16585,16705,16888,17133,17366,17511,17676,17895,17968,18123,18269,18495,18676,18824,19084,19218,19376,19714,19986,20202,20423,20650,20820,20979,21264,21475,21641,21777,21961,22172,22360,22584,22822,23043,23255,23456,23622,23857,24205,24503,24757,24983,25261,25515,25745,25972,26300,26568,27013,27316,27523,27706,28056,28381,28720,29025,29337,29517,29800,30137,30508,30797,31092,31362,31563,31787,32098,32362,32569,32943,33150,33298,33458,33724,33948,34176,34416,34622,34828,35128,35436,35687,35909,36152,36430,36628,36836,37118,37359,37618,37951,38183,38353,38541,38804,39026,39239,39458,39690,39964,40170,40406,40615,40818,41083,41348,41535,41783,42087,42457,42641,42912,43126,43305,43632,43937,44157,44398,44663,44907,45067,45455,45770,45998,46204,46464,46692,46904,47149,47414,47713,47944,48139,48334,48533,48796,49040,49298,49537,49762,50103,50256,50419,50617,50804,50995,51177,51342,51481,51637,51857,52099,52253,52432,52563,52736,52865,53029,53171,53320,53529,53674,53800,53940,54102,54298,54411,54565,54732,54887,55091,55237,55366,55460,55575,55752,55892,56041,56206,56358,56495,56646,56912,57096,57294,57515,57782,57988,58226,58532,58742,59065,59361,59656,59937,60207,60589,60833,61157,61602,61934,62369,62679,62958,63246,63573,63968,64276,64511,64759,64970,65158,65361,65662,65939,66161,66293,66352,66357,66359,66359
Colima,0,0,2,3,3,5,7,8,8,10,12,13,14,15,15,15,17,18,21,22,22,23,23,23,23,27,28,30,30,30,31,31,33,36,39,43,44,48,51,52,52,57,59,61,62,64,69,70,78,84,87,92,94,98,103,109,115,122,126,130,135,138,145,147,152,154,158,159,163,167,170,173,173,177,178,184,186,192,195,197,199,203,208,219,223,229,236,239,244,246,250,255,259,266,274,279,283,287,292,299,307,315,320,328,337,343,352,360,369,376,386,405,421,435,447,464,476,486,494,504,511,524,535,546,558,568,576,584,593,604,622,630,638,652,668,675,686,700,713,720,730,737,745,754,772,791,807,825,835,860,878,885,896,903,914,930,953,971,994,1010,1030,1049,1062,1077,1101,1131,1157,1169,1190,1216,1246,1270,1299,1326,1354,1385,1425,1469,1506,1547,1580,1605,1635,1680,1710,1745,1780,1809,1823,1839,1870,1914,1956,1995,2020,2048,2079,2125,2166,2206,2256,2284,2317,2351,2395,2440,2482,2522,2548,2580,2617,2644,2674,2700,2735,2764,2795,2827,2861,2889,2914,2949,2973,2993,3015,3039,3064,3083,3110,3134,3152,3171,3200,3218,3233,3263,3281,3301,3320,3335,3356,3389,3419,3444,3464,3492,3537,3561,3588,3631,3674,3704,3738,3765,3799,3838,3882,3921,3960,3984,4021,4073,4113,4160,4201,4235,4287,4331,4366,4413,4470,4525,4576,4611,4653,4689,4726,4783,4840,4896,4934,4967,5003,5075,5141,5193,5227,5272,5314,5358,5401,5448,5486,5521,5546,5589,5619,5659,5710,5761,5798,5832,5874,5913,5964,6000,6051,6103,6148,6184,6230,6284,6349,6404,6454,6500,6563,6594,6650,6694,6742,6778,6815,6840,6886,6939,6982,7027,7070,7108,7144,7179,7212,7245,7271,7289,7315,7355,7392,7453,7500,7537,7574,7609,7686,7750,7806,7877,7932,8002,8068,8135,8204,8281,8352,8413,8467,8509,8568,8639,8685,8755,8818,8876,8922,8983,9032,9073,9115,9149,9181,9214,9248,9279,9318,9358,9391,9416,9422,9426,9429,9429,9429
Durango,0,6,18,24,27,33,37,39,41,47,50,56,63,67,70,76,86,94,100,105,114,117,120,125,127,129,138,144,148,151,158,162,162,164,164,166,169,175,182,189,196,200,202,209,212,213,216,220,227,231,234,239,245,250,255,261,270,275,282,296,312,324,340,352,358,368,384,401,415,432,454,471,486,495,506,515,526,534,550,554,565,580,597,611,626,639,650,667,690,706,726,766,782,792,824,869,885,908,938,971,1018,1049,1076,1117,1137,1169,1218,1248,1296,1337,1360,1386,1410,1452,1480,1502,1539,1582,1628,1651,1677,1716,1764,1843,1936,2042,2117,2210,2255,2303,2461,2531,2617,2700,2820,2906,3014,3134,3263,3400,3552,3637,3743,3839,3980,4090,4180,4296,4409,4536,4588,4676,4752,4870,4954,5045,5153,5232,5338,5442,5578,5649,5734,5808,5906,6026,6152,6266,6371,6518,6610,6720,6850,6992,7084,7198,7284,7398,7490,7687,7792,7910,8010,8139,8242,8373,8526,8666,8755,8840,8955,9091,9209,9349,9457,9567,9659,9761,9881,9992,10169,10278,10386,10477,10580,10699,10858,10991,11137,11220,11359,11463,11560,11710,11826,11989,12107,12206,12323,12442,12545,12685,12841,12975,13068,13201,13340,13466,13594,13736,13858,13967,14058,14127,14214,14330,14411,14502,14598,14700,14821,14937,15045,15175,15314,15390,15514,15632,15749,15906,16048,16182,16328,16429,16569,16720,16921,17047,17172,17296,17400,17633,17792,17983,18130,18309,18454,18585,18724,18881,19088,19310,19454,19569,19696,19832,20025,20223,20373,20542,20669,20854,21001,21166,21355,21512,21633,21745,21852,21967,22077,22242,22443,22571,22670,22751,22827,22985,23145,23295,23468,23586,23786,23901,24019,24178,24305,24450,24560,24710,24854,24939,25077,25224,25349,25441,25546,25617,25708,25839,25954,26057,26164,26259,26350,26431,26549,26684,26777,26853,26950,27022,27114,27211,27294,27353,27419,27479,27559,27667,27801,27892,27979,28040,28195,28311,28418,28541,28681,28814,28927,29068,29191,29375,29558,29693,29833,29974,30161,30306,30430,30618,30754,30895,31033,31185,31329,31454,31653,31792,31934,32055,32141,32198,32273,32405,32551,32641,32696,32733,32736,32736,32736
