Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021
Aguascalientes,3,5,18,28,40,50,52,55,58,62,64,75,83,91,97,97,106,109,117,120,132,138,139,143,148,153,161,163,166,170,180,186,192,198,198,199,204,214,223,231,239,245,252,252,255,260,266,275,282,285,286,286,294,303,314,322,325,330,340,346,362,384,417,430,439,454,482,517,546,564,571,583,591,597,605,607,614,617,626,641,648,662,672,686,690,703,712,726,742,758,778,788,794,801,811,823,832,835,838,841,849,859,869,876,892,897,906,911,915,929,935,940,944,950,957,961,969,979,995,1000,1008,1017,1027,1044,1062,1072,1086,1099,1106,1114,1133,1140,1153,1175,1185,1194,1224,1238,1253,1267,1275,1288,1298,1308,1334,1351,1365,1380,1392,1405,1429,1461,1473,1490,1508,1533,1550,1565,1592,1629,1652,1670,1686,1707,1723,1757,1784,1811,1834,1849,1858,1868,1894,1927,1954,1977,1993,2002,2016,2048,2088,2107,2139,2169,2186,2197,2226,2264,2298,2318,2346,2369,2387,2431,2460,2488,2515,2543,2558,2568,2620,2663,2699,2720,2748,2766,2779,2824,2868,2903,2928,2949,2964,2982,3031,3089,3150,3200,3228,3244,3272,3316,3359,3417,3463,3492,3504,3530,3561,3573,3613,3627,3641,3660,3669,3713,3723,3731,3762,3791,3809,3818,3852,3877,3893,3920,3947,3970,3994,4027,4065,4117,4143,4173,4187,4204,4239,4267,4291,4326,4364,4402,4432,4506,4560,4615,4651,4690,4715,4750,4807,4856,4891,4924,4963,4976,5006,5074,5134,5226,5291,5370,5413,5475,5595,5714,5798,5899,5986,6054,6121,6206,6245,6287,6336,6384,6406,6415,6435,6474,6526,6580,6626,6644,6659,6721,6766,6807,6835,6873,6892,6917,6988,7067,7119,7193,7264,7341,7492,7624,7691,7746,7788,7823,7848,7871,7924,7979,8002,8018,8037,8058,8075,8128,8164,8204,8225,8246,8267,8289,8354,8390,8435,8455,8473,8500,8520,8587,8628,8658,8717,8786,8810,8834,8880,8923,8969,9005,9051,9077,9102,9151,9198,9231,9257,9280,9310,9335,9385,9427,9466,9532,9598,9663,9734,9827,9977,10084,10157,10184,10184
Baja California,10,22,35,43,56,64,75,79,79,87,94,104,114,124,130,135,143,152,160,164,172,176,180,182,186,190,193,196,201,204,205,210,214,217,219,221,221,226,230,232,233,235,238,241,244,245,248,254,256,262,267,276,282,298,320,340,375,434,481,557,686,841,995,1144,1291,1444,1612,1867,2082,2338,2538,2767,2957,3154,3454,3709,3966,4225,4538,4800,5057,5385,5641,5901,6136,6393,6622,6851,7197,7399,7571,7744,7916,8089,8197,8325,8423,8493,8567,8665,8754,8836,8928,9018,9101,9169,9256,9339,9445,9529,9610,9691,9775,9907,10008,10071,10191,10301,10455,10540,10637,10743,10847,11001,11078,11180,11296,11417,11497,11586,11750,11849,11954,12021,12120,12208,12288,12391,12459,12563,12659,12758,12841,12952,13056,13156,13246,13335,13426,13558,13661,13780,13884,13997,14065,14183,14268,14349,14453,14547,14654,14730,14810,14888,14989,15087,15169,15242,15308,15377,15443,15522,15603,15670,15753,15823,15900,15989,16054,16168,16228,16280,16334,16396,16487,16554,16620,16677,16735,16780,16841,16918,16969,17041,17087,17140,17194,17252,17315,17385,17462,17508,17561,17603,17652,17698,17755,17809,17875,17903,17963,18024,18081,18148,18239,18291,18367,18414,18490,18544,18634,18738,18839,18903,18968,19054,19129,19193,19294,19357,19412,19463,19519,19558,19619,19691,19758,19833,19890,19963,20020,20081,20158,20227,20285,20330,20377,20420,20482,20538,20581,20641,20700,20761,20826,20907,20992,21056,21130,21180,21230,21293,21343,21418,21492,21552,21599,21685,21747,21849,21948,22031,22104,22181,22268,22345,22448,22580,22678,22777,22861,22943,23055,23179,23322,23438,23532,23633,23740,23823,23926,24061,24194,24299,24399,24513,24633,24762,24907,25056,25163,25305,25482,25638,25786,25983,26142,26320,26467,26641,26816,27015,27267,27458,27616,27782,27993,28194,28368,28661,28870,29070,29259,29471,29658,29879,30119,30308,30488,30645,30793,30922,31054,31193,31282,31369,31479,31581,31713,31811,31942,32010,32089,32175,32281,32365,32438,32538,32610,32674,32739,32799,32862,32915,32981,33032,33079,33120,33170,33212,33265,33324,33355,33409,33463,33499,33524,33558,33609,33649,33680,33717,33743,33777,33803,33838,33866,33882,33895,33902,33902
Baja California Sur,3,4,5,12,22,26,28,28,30,32,37,44,49,55,56,61,62,66,80,83,88,90,103,109,119,125,136,152,156,161,166,173,176,182,190,198,208,218,231,238,246,252,258,264,266,278,289,301,317,325,336,345,361,372,379,381,390,392,399,402,411,417,421,427,437,441,445,459,469,483,493,503,506,515,518,521,530,539,555,566,573,585,589,603,616,626,635,642,648,657,666,670,673,678,681,686,688,692,694,698,699,699,702,704,705,706,706,706,712,713,717,720,721,725,730,732,738,739,743,745,746,750,755,761,764,767,770,773,774,777,782,784,790,801,805,808,810,814,816,820,827,838,838,841,848,851,854,859,865,871,874,879,883,886,892,901,904,908,914,918,925,934,946,953,955,963,967,971,979,985,990,998,1004,1010,1018,1022,1028,1037,1046,1058,1068,1076,1087,1093,1103,1109,1127,1144,1155,1166,1178,1202,1213,1229,1234,1245,1254,1257,1261,1265,1276,1281,1287,1288,1292,1297,1305,1311,1321,1325,1331,1335,1349,1355,1358,1371,1373,1374,1383,1386,1395,1400,1404,1410,1415,1419,1419,1423,1429,1435,1437,1445,1454,1457,1461,1470,1474,1476,1479,1482,1484,1488,1494,1500,1506,1507,1509,1513,1522,1527,1531,1542,1546,1549,1552,1561,1573,1580,1586,1588,1594,1596,1599,1606,1608,1616,1617,1620,1624,1632,1640,1646,1653,1661,1669,1674,1698,1707,1714,1718,1726,1729,1737,1759,1767,1770,1774,1776,1782,1785,1788,1792,1794,1802,1804,1811,1817,1831,1850,1862,1871,1875,1887,1888,1891,1892,1895,1903,1907,1915,1918,1920,1922,1928,1931,1938,1942,1948,1955,1964,1973,1978,1981,1981,1987,1989,1996,2012,2014,2019,2024,2035,2043,2051,2065,2069,2070,2073,2075,2079,2087,2101,2109,2121,2135,2147,2159,2166,2172,2176,2180,2190,2199,2217,2227,2237,2251,2262,2269,2278,2294,2313,2335,2351,2360,2367,2382,2386,2403,2415,2432,2456,2475,2505,2557,2647,2732,2835,2939,2974,2974
Campeche,0,1,1,1,1,2,3,4,5,6,8,8,9,9,9,9,10,10,10,10,10,11,11,11,14,14,14,15,15,15,15,16,17,17,17,17,17,17,17,18,19,21,21,21,22,23,23,24,24,25,25,26,31,32,33,33,35,38,39,41,48,53,63,70,76,81,87,89,95,96,100,102,107,114,122,125,135,141,148,158,165,172,179,193,203,211,217,229,241,259,280,290,312,327,338,352,370,388,410,426,443,453,466,478,491,504,520,534,546,572,581,598,611,625,637,649,663,674,691,704,718,732,746,766,774,787,807,816,824,829,844,860,874,890,917,935,959,987,1004,1034,1057,1080,1114,1135,1180,1220,1252,1298,1340,1394,1443,1493,1538,1587,1630,1668,1724,1795,1865,1924,1990,2031,2086,2132,2170,2226,2268,2303,2351,2405,2451,2481,2521,2557,2592,2620,2646,2677,2702,2733,2754,2769,2778,2798,2826,2843,2877,2894,2910,2923,2934,2960,2974,2994,2998,3004,3009,3022,3036,3042,3058,3071,3082,3089,3092,3103,3114,3123,3127,3132,3139,3152,3159,3165,3177,3193,3204,3212,3221,3228,3245,3260,3268,3271,3277,3285,3289,3299,3309,3315,3323,3328,3333,3338,3350,3355,3361,3371,3378,3386,3400,3414,3425,3437,3448,3451,3458,3461,3467,3474,3479,3485,3487,3494,3501,3504,3511,3519,3523,3525,3534,3542,3543,3546,3548,3551,3559,3567,3572,3580,3585,3593,3599,3603,3607,3612,3617,3625,3630,3631,3636,3638,3641,3650,3656,3661,3669,3677,3678,3679,3683,3689,3695,3698,3705,3709,3712,3721,3723,3728,3733,3740,3779,3785,3795,3801,3805,3815,3823,3827,3831,3835,3838,3846,3847,3849,3850,3852,3858,3863,3865,3868,3878,3882,3901,3907,3917,3926,3930,3932,3939,3943,3954,3960,3968,3972,3980,3986,3991,4005,4015,4023,4034,4040,4052,4061,4074,4078,4084,4091,4092,4094,4103,4118,4124,4129,4130,4140,4149,4165,4171,4191,4200,4207,4218,4224,4228,4241,4258,4276,4296,4347,4368,4386,4407,4435,4453,4478,4486,4487,4487
Chiapas,1,4,6,9,13,16,16,19,21,24,25,28,30,31,32,32,34,36,41,43,45,46,47,47,49,49,51,53,54,55,58,59,61,64,64,64,66,70,95,116,127,136,142,149,155,164,173,183,195,197,201,204,212,228,244,259,264,272,280,296,314,325,339,345,355,368,386,402,416,447,468,488,510,531,556,609,670,694,716,735,763,785,821,849,881,907,932,973,1005,1031,1055,1105,1135,1173,1206,1223,1254,1289,1315,1345,1377,1409,1453,1523,1575,1613,1663,1709,1795,1886,1947,2010,2072,2153,2239,2323,2440,2544,2681,2745,2829,2904,3002,3137,3236,3324,3450,3540,3666,3772,4027,4178,4365,4503,4701,4949,5138,5386,5554,5815,6011,6293,6588,6827,7229,7514,7784,8258,8687,9545,10175,11007,11643,12428,13115,13863,14453,14780,15255,15738,16173,16442,16616,16770,16947,17128,17273,17447,17588,17801,18004,18131,18259,18382,18538,18634,18757,18884,19081,19247,19420,19540,19737,19893,20074,20237,20366,20481,20619,20727,20843,21037,21169,21251,21344,21492,21593,21700,21788,21870,22030,22111,22185,22238,22335,22449,22589,22667,22777,22829,22899,22952,23044,23094,23151,23209,23253,23290,23370,23437,23538,23613,23723,23806,23841,23875,23930,23981,24019,24091,24147,24183,24224,24249,24298,24357,24394,24412,24463,24515,24580,24640,24765,24811,24832,24859,24888,24907,24939,25000,25039,25104,25203,25259,25302,25370,25458,25508,25560,25626,25698,25792,25855,25925,25982,26049,26111,26207,26286,26393,26475,26538,26587,26655,26739,26811,26883,26936,26981,27055,27092,27132,27165,27243,27292,27348,27384,27417,27441,27499,27559,27613,27687,27716,27732,27753,27762,27790,27818,27869,27951,28003,28104,28141,28168,28197,28235,28294,28321,28376,28447,28523,28596,28650,28723,28775,28811,28836,28897,28942,28993,29046,29117,29168,29221,29268,29322,29378,29415,29470,29515,29598,29649,29737,29803,29871,29921,29967,30032,30090,30181,30216,30285,30325,30425,30521,30617,30719,30836,30938,31016,31117,31213,31310,31392,31473,31549,31634,31741,31825,31910,32054,32132,32227,32294,32356,32430,32498,32595,32681,32746,32826,32875,32922,32964,32995,33009,33023,33029,33029,33029
Chihuahua,2,8,8,8,15,19,21,23,25,27,29,31,35,36,39,42,42,44,47,52,52,54,62,64,67,70,73,73,76,77,79,84,88,91,91,94,98,100,108,114,115,116,118,120,121,122,123,124,126,128,132,133,138,140,145,150,155,166,171,180,191,199,231,251,273,301,342,375,401,443,469,494,510,544,575,607,646,681,717,750,788,854,907,951,1001,1052,1099,1138,1195,1242,1275,1305,1339,1357,1382,1417,1435,1450,1469,1515,1538,1554,1574,1595,1616,1634,1658,1677,1705,1713,1732,1736,1751,1763,1777,1789,1797,1803,1811,1814,1822,1829,1830,1842,1846,1853,1860,1862,1867,1872,1877,1882,1887,1894,1897,1903,1906,1914,1918,1923,1925,1927,1930,1932,1935,1937,1938,1941,1946,1956,1963,1967,1970,1976,1984,1993,1995,2002,2015,2023,2031,2038,2042,2047,2053,2057,2063,2070,2075,2081,2088,2091,2093,2093,2098,2102,2106,2115,2120,2130,2137,2141,2144,2147,2150,2155,2162,2165,2168,2172,2176,2185,2189,2195,2199,2203,2208,2216,2221,2228,2235,2248,2259,2266,2269,2280,2290,2294,2302,2305,2310,2315,2322,2325,2334,2344,2349,2360,2364,2371,2377,2383,2395,2401,2410,2418,2428,2438,2448,2463,2471,2480,2484,2495,2511,2525,2540,2547,2552,2562,2568,2584,2597,2612,2621,2631,2649,2662,2683,2697,2711,2733,2760,2794,2815,2842,2888,2923,2943,2963,2989,3030,3065,3116,3148,3196,3248,3285,3328,3365,3422,3467,3493,3524,3555,3587,3641,3680,3713,3747,3794,3832,3858,3923,3960,3995,4017,4040,4066,4097,4121,4150,4178,4204,4224,4249,4266,4296,4324,4342,4359,4374,4403,4418,4440,4461,4482,4513,4529,4543,4564,4584,4610,4635,4656,4674,4682,4702,4713,4739,4759,4780,4805,4824,4852,4872,4893,4926,4939,4960,4984,5007,5032,5044,5064,5079,5090,5111,5122,5134,5149,5159,5171,5188,5221,5236,5256,5278,5297,5307,5327,5337,5348,5366,5386,5400,5418,5432,5447,5462,5472,5497,5512,5536,5560,5590,5611,5628,5671,5691,5740,5785,5813,5848,5895,5983,6022,6047,6065,6068,6068
Ciudad de México,12,36,54,74,99,115,130,140,152,175,197,214,232,249,261,276,294,310,325,338,348,355,369,387,406,421,436,445,460,478,493,511,523,545,558,577,600,623,655,688,712,738,751,761,781,814,854,886,916,945,984,1016,1075,1159,1217,1265,1314,1387,1447,1527,1637,1744,1885,2021,2170,2310,2468,2657,2796,2976,3081,3218,3332,3444,3587,3721,3850,3962,4131,4297,4465,4677,4851,5097,5312,5555,5827,6077,6471,6727,6977,7223,7483,7716,7913,8148,8355,8530,8742,9088,9293,9485,9716,9962,10173,10354,10580,10756,11024,11223,11394,11581,11758,12011,12165,12357,12609,12783,13016,13192,13354,13514,13686,13892,14067,14233,14435,14603,14742,14887,15160,15337,15526,15701,15880,16013,16131,16297,16421,16619,16769,16905,17028,17140,17298,17454,17595,17743,17881,18069,18180,18324,18425,18552,18699,18837,18922,19070,19226,19358,19524,19702,19821,19908,20009,20139,20259,20341,20466,20624,20720,20813,20954,21101,21256,21389,21530,21618,21707,21891,21992,22123,22197,22304,22430,22511,22634,22740,22858,22958,23030,23166,23236,23343,23435,23527,23638,23734,23808,23861,24004,24112,24207,24295,24381,24499,24565,24672,24768,24872,25041,25184,25280,25360,25502,25675,25911,26103,26342,26504,26650,26894,27109,27246,27406,27491,27615,27699,27821,27916,28017,28177,28278,28362,28422,28539,28650,28718,28853,28969,29064,29189,29307,29411,29512,29628,29748,29816,29902,30021,30169,30338,30533,30656,30784,30869,31042,31207,31346,31539,31670,31863,31967,32171,32357,32545,32726,32883,33002,33177,33370,33671,33881,34117,34297,34437,34650,34918,35142,35435,35643,35866,35996,36299,36492,36738,37010,37335,37567,37759,37933,38225,38599,38995,39407,39676,39889,40071,40388,40802,41119,41570,41832,42050,42200,42489,42730,43049,43243,43485,43840,44053,44422,44761,45055,45399,45681,45902,46075,46378,46711,46945,47481,47790,48071,48238,48632,48948,49314,49650,49998,50234,50513,51097,51352,51788,52145,52331,52511,52690,53011,53284,53556,53826,54131,54359,54573,55080,55461,55751,56012,56431,56652,56842,57144,57452,57644,57898,58223,58431,58635,58988,59292,59665,59957,60351,60708,60920,61322,61697,61976,62361,62761,63056,63298,63844,64365,64977,65666,66234,66236
Coahuila,9,16,21,32,53,75,86,94,101,112,125,144,157,174,186,194,202,220,236,254,263,273,280,301,321,335,343,357,362,369,380,390,398,404,409,418,424,430,437,445,451,456,460,464,473,481,486,488,493,499,505,511,522,537,547,563,581,591,614,631,676,725,781,827,878,931,973,1034,1088,1149,1188,1223,1255,1275,1310,1347,1380,1403,1437,1456,1486,1525,1550,1593,1621,1640,1655,1677,1726,1755,1782,1799,1820,1837,1850,1864,1874,1882,1892,1897,1902,1905,1916,1926,1934,1946,1955,1959,1966,1978,1990,2002,2012,2034,2049,2065,2084,2094,2115,2124,2150,2161,2177,2212,2244,2266,2295,2328,2357,2371,2410,2430,2462,2486,2510,2546,2579,2619,2665,2718,2750,2783,2806,2825,2873,2901,2921,2975,2998,3041,3076,3105,3156,3203,3263,3314,3340,3379,3435,3502,3566,3624,3659,3687,3752,3798,3837,3882,3914,3956,3989,4021,4057,4089,4122,4160,4190,4220,4281,4334,4374,4416,4450,4493,4541,4565,4606,4633,4654,4676,4706,4735,4771,4827,4886,4940,4962,4999,5039,5079,5149,5173,5207,5264,5306,5349,5389,5434,5483,5512,5566,5608,5634,5672,5709,5742,5773,5793,5833,5849,5882,5916,5978,6003,6036,6063,6092,6117,6149,6176,6208,6250,6268,6288,6309,6334,6361,6385,6408,6431,6460,6490,6518,6540,6563,6591,6633,6663,6687,6713,6743,6791,6830,6876,6916,6957,7016,7047,7100,7142,7226,7277,7319,7377,7449,7518,7584,7679,7749,7845,7962,8092,8196,8324,8443,8532,8634,8757,8875,8972,9042,9105,9140,9240,9328,9387,9456,9528,9588,9653,9703,9763,9864,9937,10010,10079,10133,10181,10227,10290,10382,10472,10638,10700,10746,10854,10932,11015,11062,11099,11133,11207,11271,11347,11379,11436,11501,11543,11595,11651,11689,11787,11846,11931,11996,12034,12090,12141,12195,12231,12305,12333,12381,12431,12457,12509,12557,12616,12664,12702,12754,12808,12862,12907,13003,13054,13104,13188,13242,13326,13377,13419,13467,13547,13597,13680,13719,13770,13859,13904,13943,13974,14021,14074,14106,14127,14163,14209,14251,14283,14315,14364,14405,14449,14498,14588,14655,14694,14712,14722,14722
Colima,2,2,3,8,12,12,13,14,17,20,20,21,22,25,25,25,30,34,40,42,43,46,48,55,61,69,76,83,88,90,93,98,104,109,113,115,119,122,126,134,135,138,141,143,149,151,157,160,162,164,165,166,172,177,184,189,195,206,213,224,240,259,272,287,304,322,336,349,368,394,408,420,452,472,487,497,516,533,550,568,581,599,613,624,641,664,671,692,701,715,718,724,728,729,734,740,741,741,743,747,748,751,753,757,759,760,766,766,770,772,773,775,776,781,781,787,796,800,801,804,807,809,811,814,814,814,816,818,821,821,824,826,826,827,830,832,834,836,842,846,849,856,859,863,866,869,870,874,880,883,886,890,893,899,902,906,911,914,918,927,936,942,944,947,954,964,976,981,992,998,1006,1011,1019,1027,1032,1034,1043,1051,1056,1059,1063,1069,1075,1079,1087,1089,1091,1097,1101,1102,1111,1127,1136,1138,1142,1148,1150,1161,1162,1166,1171,1175,1180,1181,1186,1188,1190,1191,1192,1199,1204,1214,1219,1225,1230,1234,1240,1245,1254,1264,1273,1285,1296,1305,1313,1330,1345,1355,1370,1378,1382,1391,1395,1402,1407,1410,1416,1426,1434,1441,1451,1458,1469,1477,1479,1484,1494,1500,1506,1514,1520,1525,1530,1537,1543,1547,1554,1559,1561,1564,1570,1577,1578,1580,1587,1590,1595,1602,1606,1609,1614,1618,1618,1619,1626,1629,1635,1640,1646,1652,1657,1664,1667,1671,1680,1685,1688,1690,1690,1690,1694,1698,1699,1701,1703,1704,1708,1713,1717,1719,1721,1724,1728,1730,1733,1733,1737,1737,1739,1740,1742,1745,1748,1751,1751,1753,1754,1755,1756,1759,1759,1759,1764,1768,1770,1773,1775,1778,1779,1782,1785,1791,1796,1798,1800,1801,1805,1806,1807,1807,1810,1812,1812,1813,1818,1822,1825,1830,1834,1836,1842,1845,1853,1865,1877,1892,1899,1908,1928,1939,1947,1960,1965,1973,1983,1997,2008,2016,2029,2036,2049,2072,2099,2125,2170,2205,2242,2265,2268,2269,2269
Durango,4,6,8,14,18,21,23,24,26,28,33,41,45,51,55,60,68,77,85,89,92,95,97,100,107,111,122,127,128,132,133,135,142,144,147,151,154,159,159,167,168,169,173,174,176,180,183,186,188,191,194,195,196,204,206,209,214,221,222,224,233,240,247,261,272,281,288,297,311,314,317,319,321,326,330,333,337,339,342,342,346,355,356,360,365,369,372,381,385,389,400,410,417,422,430,435,437,439,442,445,446,446,449,451,452,457,463,464,469,477,483,489,491,496,505,511,514,519,522,524,527,530,538,548,554,564,572,579,580,582,594,608,624,635,644,648,653,670,682,695,699,709,717,720,729,741,749,756,766,781,785,796,812,861,924,994,1017,1078,1086,1094,1109,1114,1121,1129,1136,1141,1149,1163,1171,1181,1185,1188,1198,1208,1214,1217,1221,1227,1242,1255,1262,1272,1292,1308,1326,1344,1353,1362,1369,1370,1374,1381,1392,1406,1414,1415,1426,1436,1440,1447,1461,1474,1479,1486,1494,1508,1517,1524,1532,1538,1547,1552,1559,1566,1572,1577,1592,1596,1607,1615,1621,1637,1658,1667,1673,1682,1692,1702,1723,1733,1745,1755,1770,1773,1777,1794,1804,1805,1811,1820,1826,1840,1850,1865,1872,1879,1889,1899,1906,1914,1920,1926,1940,1951,1955,1966,1982,2002,2012,2025,2037,2051,2063,2076,2095,2132,2156,2188,2213,2240,2264,2301,2335,2363,2388,2401,2422,2476,2532,2573,2594,2612,2627,2664,2691,2710,2727,2751,2786,2847,2892,2929,2964,2980,2996,3005,3033,3080,3100,3122,3151,3170,3186,3200,3222,3256,3292,3314,3331,3342,3344,3358,3377,3396,3408,3428,3433,3445,3450,3468,3489,3507,3541,3556,3595,3606,3632,3651,3675,3687,3701,3709,3720,3737,3752,3760,3764,3767,3779,3789,3803,3815,3828,3838,3867,3892,3917,3942,3976,3987,4001,4006,4015,4031,4045,4068,4093,4103,4112,4130,4145,4209,4245,4271,4302,4328,4342,4351,4365,4373,4386,4397,4411,4420,4437,4457,4493,4501,4508,4523,4523
